cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,local_risk,strong_fixed_alpha,strong_fixed_risk,phase_early_alpha,phase_late_alpha,phase_risk,safe_risk,safe_charged_shadow_risk,safe_to_local_ratio,safe_to_fixed_ratio,phase_to_fixed_ratio,safe_checkpoint_valid,safe_early_alpha_mean,safe_late_alpha_mean,safe_uses_nonzero,safe_uses_shadow,safe_environment_used,safe_message_used
H0-I0.5-N0.1-S0.5-T0.6-D3,0.0,0.5,0.1,0.5,0.6,3,0.006598358041790273,0.75,0.002893010367748436,0.25,0.75,0.002729261464539458,0.0027510435986705293,0.006424717334532242,0.4169285117974764,0.9509276666753199,0.943398438859927,True,0.3333333333333333,0.75,True,False,240,17
H0-I0.5-N0.1-S0.5-T0.9-D0,0.0,0.5,0.1,0.5,0.9,0,0.014676404620922352,1.0,0.009172753177919685,0.0,1.0,0.009172753177919685,0.008498073767599383,0.01359691679285593,0.579029672940791,0.9264474474311197,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.1-S0.5-T0.9-D1,0.0,0.5,0.1,0.5,0.9,1,0.014676404620922352,0.75,0.008261423092580471,0.5,0.75,0.008261258456231511,0.008398695619249021,0.01359691679285593,0.572258385904408,1.0166160872201102,0.9999800716720213,True,0.5833333333333334,0.75,True,False,240,18
H0-I0.5-N0.1-S0.5-T0.9-D3,0.0,0.5,0.1,0.5,0.9,3,0.014676404620922352,0.75,0.006212912742476648,0.25,0.75,0.006062854068108713,0.00607031226226833,0.01359691679285593,0.4136103098176122,0.9770477252588174,0.9758472908621412,True,0.4166666666666667,0.75,True,False,240,17
H0-I0.5-N0.1-S0.9-T0-D0,0.0,0.5,0.1,0.9,0.0,0,0.0020408170931363327,1.0,0.0018877558691197506,0.0,1.0,0.0018877558691197506,0.0018877571453329541,0.0020408183685622365,0.9250006537488591,1.0000006760478006,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.1-S0.9-T0-D1,0.0,0.5,0.1,0.9,0.0,1,0.0020408170931363327,0.5,0.0015884350006250478,0.5,0.5,0.0015884350006250478,0.0016437822482995462,0.0020408183685622365,0.805452999108988,1.0348438857445972,1.0,True,0.3333333333333333,0.5,True,False,240,17
H0-I0.5-N0.1-S0.9-T0-D3,0.0,0.5,0.1,0.9,0.0,3,0.0020408170931363327,0.5,0.0011170977796483622,0.25,0.5,0.0011102649648331514,0.0011306050302891913,0.0020408183685622365,0.5539962567403209,1.0120913772159505,0.9938834227945905,True,0.19999999999999998,0.5,True,False,240,17
H0-I0.5-N0.1-S0.9-T0.6-D0,0.0,0.5,0.1,0.9,0.6,0,0.006598358041790273,1.0,0.006103481246624646,0.0,1.0,0.006103481246624646,0.0059428636888552095,0.006424717334532242,0.900657959331165,0.9736842711103173,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.1-S0.9-T0.6-D1,0.0,0.5,0.1,0.9,0.6,1,0.006598358041790273,0.5,0.005135694594718679,0.5,0.5,0.005135694594718679,0.005270525730200062,0.006424717334532242,0.7987632221257969,1.026253729265762,1.0,True,0.3333333333333333,0.5,True,False,240,17
H0-I0.5-N0.1-S0.9-T0.6-D3,0.0,0.5,0.1,0.9,0.6,3,0.006598358041790273,0.5,0.003589423663046897,0.25,0.5,0.003586397081889169,0.003601990885167619,0.006424717334532242,0.545892002579224,1.0035011810531316,0.9991568058156838,True,0.25,0.5,True,False,240,17
H0-I0.5-N0.1-S0.9-T0.9-D0,0.0,0.5,0.1,0.9,0.9,0,0.014676404620922352,1.0,0.013575674332321822,0.0,1.0,0.013575674332321822,0.012577148187804622,0.01359691679285593,0.8569638486169101,0.9264473999542073,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.1-S0.9-T0.9-D1,0.0,0.5,0.1,0.9,0.9,1,0.014676404620922352,0.5,0.011423060644128437,0.5,0.5,0.011423060644128437,0.011546824852748534,0.01359691679285593,0.7867611415051641,1.0108345926259013,1.0,True,0.3333333333333333,0.5,True,False,240,17
H0-I0.5-N0.1-S0.9-T0.9-D3,0.0,0.5,0.1,0.9,0.9,3,0.014676404620922352,0.5,0.007971515644203049,0.5,0.5,0.007971515644203049,0.007807317888687387,0.01359691679285593,0.531963930563583,0.9794019402527212,1.0,True,0.3333333333333333,0.5,True,False,240,17
H0-I0.5-N0.5-S0-T0-D0,0.0,0.5,0.5,0.0,0.0,0,0.010204082374020726,1.0,0.002551021173191607,0.0,1.0,0.002551021173191607,0.0025510224459931777,0.010204083607457299,0.25000018154381043,1.0000004989380662,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0-T0-D1,0.0,0.5,0.5,0.0,0.0,1,0.010204082374020726,1.0,0.0025511230039583525,0.5,1.0,0.0025507618088694175,0.002551083327537223,0.010204083607457299,0.2500061479346934,0.999984447468402,0.9998584172192503,True,0.75,1.0,True,False,240,18
H0-I0.5-N0.5-S0-T0-D3,0.0,0.5,0.5,0.0,0.0,3,0.010204082374020726,0.75,0.0022276190561397236,0.25,0.75,0.002059604987459185,0.0020914345105042735,0.010204083607457299,0.20496056713820737,0.9388654243820994,0.924576839914589,True,0.4166666666666667,0.75,True,False,240,17
H0-I0.5-N0.5-S0-T0.6-D0,0.0,0.5,0.5,0.0,0.6,0,0.03299178711729042,1.0,0.008247947359009033,0.0,1.0,0.008247947359009033,0.008030896153455685,0.03212357843730732,0.2434210709745648,0.9736842154652856,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0-T0.6-D1,0.0,0.5,0.5,0.0,0.6,1,0.03299178711729042,1.0,0.008248046845363753,0.5,1.0,0.008247033498398606,0.008248029168791299,0.03212357843730732,0.25000249727207563,0.9999978568777814,0.9998771409784467,True,0.9166666666666666,1.0,True,False,240,18
H0-I0.5-N0.5-S0-T0.6-D3,0.0,0.5,0.5,0.0,0.6,3,0.03299178711729042,0.75,0.006797608838167426,0.25,0.75,0.006645042600156995,0.006689908232981432,0.03212357843730732,0.20277495757346736,0.9841561043375616,0.9775558962507819,True,0.5333333333333333,0.75,True,False,240,18
H0-I0.5-N0.5-S0-T0.9-D0,0.0,0.5,0.5,0.0,0.9,0,0.07338202001295083,1.0,0.018345505582924134,0.0,1.0,0.018345505582924134,0.016996145476360296,0.06798457572892577,0.23161185087792255,0.9264473742375455,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0-T0.9-D1,0.0,0.5,0.5,0.0,0.9,1,0.07338202001295083,1.0,0.018345600913908723,0.5,1.0,0.01834343165561067,0.018345578410301478,0.06798457572892577,0.2500010003412792,0.9999987733513145,0.9998817559420249,True,0.9166666666666666,1.0,True,False,240,18
