persistence,rho,delay,seed,decision,alpha_m,transitions_before,persistence_upper,certified_upper,covered_so_far,remaining_before,block_budget,gap,num_agents,eta,updates,observations,exact_radius
0.9,0.9,2,118,3,0.0008333333333333334,3174,0.9207786223935279,0.921,True,15872,2000,23,1,0.028194317162749328,62,1442,0.9638849767294485
0.9,0.9,2,118,4,0.0005,4616,0.9163210651613922,0.917,True,13872,2000,19,1,0.02681325657372623,71,1361,0.9656264690119871
0.9,0.9,2,118,5,0.0003333333333333333,5977,0.9181942767934625,0.919,True,11872,2000,22,1,0.028068853307151836,64,1424,0.9640449787800236
0.9,0.9,2,118,6,0.0002380952380952381,7401,0.9190664039889004,0.92,True,9872,2000,20,1,0.026959945799938757,68,1388,0.9654365139208739
0.9,0.9,2,118,7,0.00017857142857142857,8789,0.916776255989205,0.917,True,7872,2000,20,1,0.027408881629370472,68,1388,0.9648771723364431
0.9,0.9,2,118,8,0.0001388888888888889,10177,0.9144848170252735,0.915,True,5872,2000,20,1,0.027667874596959543,68,1388,0.9645547850993564
0.9,0.9,2,118,9,0.00011111111111111112,11565,0.9124462023745494,0.913,True,3872,2000,19,1,0.027375559820478176,71,1361,0.9649260356433732
0.9,0.9,2,118,10,9.090909090909092e-05,12926,0.9120963784848677,0.913,True,1872,1872,22,1,0.028536257839959913,60,1332,0.963463947613656
0.9,0.9,2,119,1,0.005,128,0.9334769023584397,0.934,True,19872,2000,26,1,0.027514048216763863,57,1487,0.9647245069447506
0.9,0.9,2,119,2,0.0016666666666666668,1615,0.9259609468201901,0.926,True,17872,2000,23,1,0.02752557901685323,62,1442,0.964717456447091
0.9,0.9,2,119,3,0.0008333333333333334,3057,0.9159110073510238,0.916,True,15872,2000,20,1,0.02751326370902535,68,1388,0.9647472139738489
0.9,0.9,2,119,4,0.0005,4445,0.9130768358269221,0.914,True,13872,2000,19,1,0.027257635739261463,71,1361,0.9650728420361211
0.9,0.9,2,119,5,0.0003333333333333333,5806,0.9091350836266934,0.91,True,11872,2000,19,1,0.02778189573515978,71,1361,0.9644205301796354
0.9,0.9,2,119,6,0.0002380952380952381,7167,0.9104848291044584,0.911,True,9872,2000,20,1,0.02814417515647168,68,1388,0.9639624763214831
