persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,online_error,oracle_error,static_error,worst_mixing_error,online_to_oracle,first_updating_gap,final_gap,median_selected_q,final_transition_count
0.5,0.0,0,53,True,0.9709825274717332,0.0002978830975920475,0.0002495536009429936,2.5653309670537548e-05,7.655341239517966e-05,1.1936637919325954,4,3,32.0,1864
0.5,0.0,0,54,True,0.9706796525142437,0.00029859269314174406,0.0002495536009429936,2.6247318318440787e-05,7.655341239517966e-05,1.1965072514018846,4,3,32.0,1864
0.5,0.0,0,55,True,0.9708949708778352,0.0002983933539165793,0.0002495536009429936,2.5650902550853533e-05,7.655341239517966e-05,1.1957084681969479,4,3,32.0,1904
0.5,0.0,0,56,True,0.9704513333246538,0.0002881700648591762,0.0002495536009429936,2.6247276007147043e-05,7.655341239517966e-05,1.1547421626867402,4,2,32.0,1792
0.5,0.0,0,57,True,0.9707616224721032,0.00029839335573925293,0.0002495536009429936,2.5646601695494764e-05,7.655341239517966e-05,1.195708475500684,4,3,32.0,1904
0.5,0.0,0,58,True,0.9709465323518405,0.00029738437588752714,0.0002495536009429936,2.5645874009816465e-05,7.655341239517966e-05,1.1916653366803538,4,3,32.0,1784
0.5,0.0,0,59,True,0.969773921672583,0.00029829936112146116,0.0002495536009429936,2.5652651839207964e-05,7.655341239517966e-05,1.1953318244828801,6,3,32.0,1984
0.5,0.0,0,60,True,0.971377653906289,0.0002983933504408502,0.0002495536009429936,2.5655528333554543e-05,7.655341239517966e-05,1.195708454269162,3,3,32.0,1784
0.5,0.0,0,61,True,0.9702538941488115,0.0002996931503520207,0.0002495536009429936,2.5646394079948447e-05,7.655341239517966e-05,1.2009169541916591,5,3,32.0,1904
0.5,0.0,0,62,True,0.971014821604848,0.00029774016251555283,0.0002495536009429936,2.5070249875145815e-05,7.655341239517966e-05,1.1930910289031118,4,3,32.0,1864
0.5,0.0,0,63,True,0.9709825274717332,0.00029812236577380404,0.0002495536009429936,2.564474389162812e-05,7.655341239517966e-05,1.194622576662018,4,3,32.0,1864
0.5,0.0,0,64,True,0.9716006789530512,0.0002973843758778523,0.0002495536009429936,2.5661212136998062e-05,7.655341239517966e-05,1.1916653366415852,3,3,32.0,1784
0.5,0.0,0,65,True,0.970118496409705,0.000297959471978229,0.0002495536009429936,2.5645602977809236e-05,7.655341239517966e-05,1.1939698359483617,5,3,32.0,1944
0.5,0.0,0,66,True,0.9706796525142437,0.00028894783185497077,0.0002495536009429936,2.624733450492521e-05,7.655341239517966e-05,1.1578587957181035,4,2,32.0,1752
0.5,0.0,0,67,True,0.971014821604848,0.0002881700690694049,0.0002495536009429936,2.6250711906132773e-05,7.655341239517966e-05,1.15474217955778,4,2,32.0,1752
0.5,0.0,0,68,True,0.9696067535367979,0.00028744257755622437,0.0002495536009429936,2.5645602977809236e-05,7.655341239517966e-05,1.1518270081860524,6,2,32.0,1872
0.5,0.0,0,69,True,0.9708949708778352,0.0002977401707513495,0.0002495536009429936,2.5649908443338893e-05,7.655341239517966e-05,1.1930910619052268,4,3,32.0,1904
0.5,0.0,0,70,True,0.9704513333246538,0.00030080773206656383,0.0002495536009429936,2.5656354760272733e-05,7.655341239517966e-05,1.205383256061604,4,3,32.0,1984
0.5,0.0,0,71,True,0.9695141170656112,0.0002976098144263475,0.0002495536009429936,2.6247433799000063e-05,7.655341239517966e-05,1.1925687038847077,6,3,32.0,1904
0.5,0.0,0,72,True,0.9704513333246538,0.00029928732673507543,0.0002495536009429936,2.5650389142867632e-05,7.655341239517966e-05,1.1992907559905042,4,3,32.0,1864
0.5,0.0,0,73,True,0.9697285289506388,0.000299287330644704,0.0002495536009429936,2.5645136557492394e-05,7.655341239517966e-05,1.1992907716569927,6,3,32.0,2024
0.5,0.0,0,74,True,0.971377653906289,0.0002976098166895897,0.0002495536009429936,2.6247263789362578e-05,7.655341239517966e-05,1.1925687129538705,3,3,32.0,1784
0.5,0.0,0,75,True,0.9709465323518405,0.00029788309331628773,0.0002495536009429936,2.6247570232247175e-05,7.655341239517966e-05,1.1936637747989627,4,3,32.0,1824
0.5,0.0,0,76,True,0.9709465323518405,0.0002998376620688641,0.0002495536009429936,2.624737033460204e-05,7.655341239517966e-05,1.2014960350636537,4,3,32.0,2024
