persistence,rho,seed,decision,persistence_upper,certified_persistence,rho_upper_before,gap,probes,collision_trials,collisions,cumulative_tv_bias,p_trials,jointly_covered_so_far,spent
0.5,0.9,20290282,3,0.5543117322697304,0.556,1.0,3,153,431,406,1.9075239808888473,1818,True,6128
0.5,0.9,20290282,4,0.5525678683906479,0.554,1.0,3,153,584,552,2.1966278848888634,2288,True,8128
0.5,0.9,20290282,5,0.547818404129367,0.548,1.0,3,153,737,696,2.399674796888867,2758,True,10128
0.5,0.9,20290282,6,0.5432012290928483,0.544,1.0,3,153,890,843,2.556072620888896,3228,True,12128
0.5,0.9,20290282,7,0.5449088391383679,0.546,1.0,3,153,1043,990,2.7347815168888685,3698,True,14128
0.5,0.9,20290282,8,0.5430435974665226,0.544,1.0,3,153,1196,1136,2.8911793408888977,4168,True,16128
0.5,0.9,20290282,9,0.5383618763164546,0.54,1.0,2,166,1362,1293,4.48477934088887,4508,True,18128
0.5,0.9,20290282,10,0.5352499773928197,0.536,1.0,2,156,1518,1447,5.697835340888836,4820,True,20000
0.5,0.9,20290283,1,0.6709108235462167,0.672,1.0,5,133,133,126,0.9610259457146925,798,True,2128
0.5,0.9,20290283,2,0.5802861799805166,0.582,1.0,3,153,286,268,1.9733375937146862,1268,True,4128
0.5,0.9,20290283,3,0.5471612048776657,0.548,1.0,3,153,439,415,2.1763845057146898,1738,True,6128
0.5,0.9,20290283,4,0.5468887735283245,0.548,1.0,3,153,592,563,2.3794314177146934,2208,True,8128
0.5,0.9,20290283,5,0.5306425024370922,0.532,1.0,2,166,758,719,3.3993354177146813,2548,True,10128
0.5,0.9,20290283,6,0.5300714504296591,0.532,1.0,2,166,924,876,4.419239417714669,2888,True,12128
0.5,0.9,20290283,7,0.5287739978717358,0.53,1.0,2,166,1090,1037,5.315639417714644,3228,True,14128
0.5,0.9,20290283,8,0.5325667199352859,0.534,1.0,2,166,1256,1198,6.467015417714579,3568,True,16128
0.5,0.9,20290283,9,0.5355385198828351,0.536,1.0,2,166,1422,1353,7.757831417714543,3908,True,18128
0.5,0.9,20290283,10,0.5323055143819224,0.534,1.0,2,156,1578,1504,8.839847417714482,4220,True,20000
0.5,0.9,20290284,1,0.6344582199550199,0.636,1.0,4,142,142,138,1.165883670527998,708,True,2128
0.5,0.9,20290284,2,0.557463179947927,0.558,1.0,3,153,295,284,1.524109302527993,1178,True,4128
0.5,0.9,20290284,3,0.5474651828114674,0.548,1.0,3,153,448,429,1.7271562145279966,1648,True,6128
0.5,0.9,20290284,4,0.5485468392554824,0.55,1.0,3,153,601,576,1.9566562145280053,2118,True,8128
0.5,0.9,20290284,5,0.5403111478991296,0.542,1.0,3,153,754,723,2.092681782528022,2588,True,10128
0.5,0.9,20290284,6,0.5361181127394576,0.538,1.0,2,166,920,880,3.530905782528023,2928,True,12128
0.5,0.9,20290284,7,0.5375232270070811,0.538,1.0,2,166,1086,1033,4.969129782528073,3268,True,14128
0.5,0.9,20290284,8,0.5333304803299932,0.534,1.0,2,166,1252,1187,6.120505782528008,3608,True,16128
0.5,0.9,20290284,9,0.528725614737279,0.53,1.0,2,166,1418,1346,7.016905782527983,3948,True,18128
0.5,0.9,20290284,10,0.5291337260692168,0.53,1.0,2,156,1574,1494,7.85930578252796,4260,True,20000
0.5,0.9,20290285,1,0.6709108235462167,0.672,1.0,5,133,133,129,0.9610259457146925,798,True,2128
0.5,0.9,20290285,2,0.5543040839205364,0.556,1.0,3,153,286,275,1.2834569217147052,1268,True,4128
0.5,0.9,20290285,3,0.5573342019095948,0.558,1.0,3,153,439,415,1.6416825537147002,1738,True,6128
0.5,0.9,20290285,4,0.5463168936154275,0.548,1.0,3,153,592,557,1.8447294657147038,2208,True,8128
0.5,0.9,20290285,5,0.5360592532880961,0.538,1.0,2,166,758,715,3.2829534657147046,2548,True,10128
0.5,0.9,20290285,6,0.532810613977194,0.534,1.0,2,166,924,869,4.4343294657146854,2888,True,12128
0.5,0.9,20290285,7,0.5349881089175537,0.536,1.0,2,166,1090,1029,5.725145465714649,3228,True,14128
0.5,0.9,20290285,8,0.5365804945528283,0.538,1.0,2,166,1256,1187,7.163369465714724,3568,True,16128
0.5,0.9,20290285,9,0.5327448469269744,0.534,1.0,2,166,1422,1348,8.31474546571466,3908,True,18128
0.5,0.9,20290285,10,0.5315400399941508,0.532,1.0,2,156,1578,1497,9.273209465714787,4220,True,20000
0.5,0.9,20290286,1,0.6709108235462167,0.672,1.0,5,133,133,125,0.9610259457146925,798,True,2128
0.5,0.9,20290286,2,0.5617483998371844,0.562,1.0,3,153,286,274,1.398596153714709,1268,True,4128
0.5,0.9,20290286,3,0.5526420814751236,0.554,1.0,3,153,439,420,1.6877000577147017,1738,True,6128
0.5,0.9,20290286,4,0.5331448808783967,0.534,1.0,2,166,605,578,2.8390760577147103,2078,True,8128
0.5,0.9,20290286,5,0.532459508701228,0.534,1.0,2,166,771,732,3.990452057714719,2418,True,10128
0.5,0.9,20290286,6,0.529629867308776,0.53,1.0,2,166,937,893,4.8868520577146946,2758,True,12128
0.5,0.9,20290286,7,0.534174094670617,0.536,1.0,2,166,1103,1055,6.1776680577146585,3098,True,14128
0.5,0.9,20290286,8,0.5321095744913371,0.534,1.0,2,166,1269,1213,7.329044057714594,3438,True,16128
0.5,0.9,20290286,9,0.5320862168155549,0.534,1.0,2,166,1435,1374,8.480420057714529,3778,True,18128
0.5,0.9,20290286,10,0.5311919247240391,0.532,1.0,2,156,1591,1524,9.438884057714656,4090,True,20000
0.5,0.9,20290287,1,0.6922951498051697,0.6940000000000001,1.0,6,125,125,118,0.6397224997854726,878,True,2128
0.5,0.9,20290287,2,0.5776201758851245,0.578,1.0,3,153,278,260,1.5109999717854699,1348,True,4128
0.5,0.9,20290287,3,0.5609288300317481,0.562,1.0,3,153,431,406,1.948570179785488,1818,True,6128
0.5,0.9,20290287,4,0.5629324167622478,0.5640000000000001,1.0,3,153,584,553,2.4298665637854597,2288,True,8128
0.5,0.9,20290287,5,0.5573683933430034,0.558,1.0,3,153,737,701,2.7880921957854548,2758,True,10128
0.5,0.9,20290287,6,0.5511338691255259,0.552,1.0,3,153,890,845,3.046248483785464,3228,True,12128
0.5,0.9,20290287,7,0.5449088391383679,0.546,1.0,3,153,1043,990,3.2249573797854363,3698,True,14128
0.5,0.9,20290287,8,0.5435819863884102,0.544,1.0,3,153,1196,1136,3.3813552037854655,4168,True,16128
0.5,0.9,20290287,9,0.53860091179601,0.54,1.0,2,166,1362,1292,4.974955203785438,4508,True,18128
0.5,0.9,20290287,10,0.5341443004679733,0.536,1.0,2,156,1518,1434,6.188011203785404,4820,True,20000
0.5,0.9,20290288,1,0.6564517604415314,0.658,1.0,5,133,133,129,0.6286056976389139,798,True,2128
0.5,0.9,20290288,2,0.5802861799805166,0.582,1.0,3,153,286,276,1.6409173456389077,1268,True,4128
0.5,0.9,20290288,3,0.5643623924932668,0.5660000000000001,1.0,3,153,439,421,2.1687600016389044,1738,True,6128
0.5,0.9,20290288,4,0.5514613652264999,0.552,1.0,3,153,592,564,2.4269162896389136,2208,True,8128
0.5,0.9,20290288,5,0.5558742723666588,0.556,1.0,3,153,745,710,2.7493472656389284,2678,True,10128
0.5,0.9,20290288,6,0.5505179309471544,0.552,1.0,3,153,898,851,3.0075035536389376,3148,True,12128
0.5,0.9,20290288,7,0.5442667027104675,0.546,1.0,3,153,1051,998,3.18621244963891,3618,True,14128
0.5,0.9,20290288,8,0.540545319917749,0.542,1.0,3,153,1204,1144,3.322238017638927,4088,True,16128
0.5,0.9,20290288,9,0.5358345301402887,0.536,1.0,2,166,1370,1305,4.613054017638929,4428,True,18128
0.5,0.9,20290288,10,0.5382738037306429,0.54,1.0,2,156,1526,1452,6.110654017638903,4740,True,20000
0.5,0.9,20290289,1,0.6993419954966986,0.7000000000000001,1.0,6,125,125,120,0.7680000000000037,878,True,2128
0.5,0.9,20290289,2,0.5753765789459926,0.5760000000000001,1.0,3,153,278,268,1.5739599360000007,1348,True,4128
0.5,0.9,20290289,3,0.5587242761800486,0.56,1.0,3,153,431,410,1.9705359359999897,1818,True,6128
0.5,0.9,20290289,4,0.5520217573457544,0.554,1.0,3,153,584,555,2.259639840000013,2288,True,8128
0.5,0.9,20290289,5,0.5426022836470481,0.544,1.0,3,153,737,698,2.4160376640000423,2758,True,10128
0.5,0.9,20290289,6,0.537786578733467,0.538,1.0,2,166,903,856,3.854261664000043,3098,True,12128
0.5,0.9,20290289,7,0.5343619454068342,0.536,1.0,2,166,1069,1012,5.1450776640000155,3438,True,14128
0.5,0.9,20290289,8,0.531796197366434,0.532,1.0,2,166,1235,1173,6.1649816640000035,3778,True,16128
0.5,0.9,20290289,9,0.5317198261748346,0.532,1.0,2,166,1401,1331,7.184885663999991,4118,True,18128
0.5,0.9,20290289,10,0.5328003108700974,0.534,1.0,2,156,1557,1476,8.266901663999931,4430,True,20000
0.5,0.9,20290290,1,0.6780795109382056,0.68,1.0,5,133,133,127,1.2063002112000043,798,True,2128
0.5,0.9,20290290,2,0.5543040839205364,0.556,1.0,3,153,286,275,1.528731187200019,1268,True,4128
0.5,0.9,20290290,3,0.5479446315295593,0.548,1.0,3,153,439,418,1.7317780992000227,1738,True,6128
0.5,0.9,20290290,4,0.5417394062368674,0.542,1.0,3,153,592,564,1.8678036672000395,2208,True,8128
0.5,0.9,20290290,5,0.5383146314808882,0.54,1.0,2,166,758,720,3.4614036672000146,2548,True,10128
0.5,0.9,20290290,6,0.5402389544945607,0.542,1.0,3,153,911,858,3.5974292352000314,3018,True,12128
0.5,0.9,20290290,7,0.5419822235889635,0.542,1.0,3,153,1064,1004,3.7334548032000483,3488,True,14128
0.5,0.9,20290290,8,0.5359080148664781,0.536,1.0,2,166,1230,1159,5.024270803200028,3828,True,16128
0.5,0.9,20290290,9,0.5354566805831193,0.536,1.0,2,166,1396,1316,6.315086803199992,4168,True,18128
0.5,0.9,20290290,10,0.53692749891456,0.538,1.0,2,156,1552,1464,7.666670803200062,4480,True,20000
0.5,0.9,20290291,1,0.7063480729282505,0.708,1.0,6,125,125,116,0.9717650062049256,878,True,2128
0.5,0.9,20290291,2,0.5988612128453139,0.6,1.0,4,142,267,254,1.3125650062049197,1458,True,4128
0.5,0.9,20290291,3,0.5620089203503735,0.5640000000000001,1.0,3,153,420,400,1.7938613902049219,1928,True,6128
0.5,0.9,20290291,4,0.5541596026966547,0.556,1.0,3,153,573,548,2.1162923662049367,2398,True,8128
0.5,0.9,20290291,5,0.5491967610691162,0.55,1.0,3,153,726,694,2.3457923662049454,2868,True,10128
0.5,0.9,20290291,6,0.5531237642795175,0.554,1.0,3,153,879,842,2.634896270204972,3338,True,12128
0.5,0.9,20290291,7,0.5440926187476494,0.546,1.0,3,153,1032,988,2.8136051662049444,3808,True,14128
0.5,0.9,20290291,8,0.5384229431652654,0.54,1.0,2,166,1198,1147,4.407205166204917,4148,True,16128
0.5,0.9,20290291,9,0.5377395507798657,0.538,1.0,2,166,1364,1306,5.845429166204991,4488,True,18128
0.5,0.9,20290291,10,0.5388827082136851,0.54,1.0,2,156,1520,1453,7.343029166204965,4800,True,20000
0.5,0.9,20290292,1,0.7202373881324629,0.722,1.0,7,117,117,110,0.5969774294363722,958,True,2128
0.5,0.9,20290292,2,0.5587635813025826,0.56,1.0,3,153,270,254,0.9935534294363781,1428,True,4128
0.5,0.9,20290292,3,0.5487962349459576,0.55,1.0,3,153,423,397,1.2230534294363868,1898,True,6128
0.5,0.9,20290292,4,0.5420385053470351,0.544,1.0,3,153,576,542,1.379451253436382,2368,True,8128
0.5,0.9,20290292,5,0.5419632891992114,0.542,1.0,3,153,729,688,1.515476821436399,2838,True,10128
0.5,0.9,20290292,6,0.5369819350508915,0.538,1.0,2,166,895,844,2.9537008214364,3178,True,12128
0.5,0.9,20290292,7,0.5358953995539459,0.536,1.0,2,166,1061,999,4.244516821436424,3518,True,14128
0.5,0.9,20290292,8,0.5340682310414295,0.536,1.0,2,166,1227,1156,5.535332821436388,3858,True,16128
0.5,0.9,20290292,9,0.5319668266678506,0.532,1.0,2,166,1393,1317,6.555236821436376,4198,True,18128
0.5,0.9,20290292,10,0.529191468279038,0.53,1.0,2,156,1549,1463,7.397636821436352,4510,True,20000
0.5,0.9,20290293,1,0.6637015798253265,0.664,1.0,5,133,133,126,0.7573770108764154,798,True,2128
0.5,0.9,20290293,2,0.5468430495309922,0.548,1.0,3,153,286,273,0.960423922876419,1268,True,4128
0.5,0.9,20290293,3,0.5408884571037689,0.542,1.0,3,153,439,418,1.0964494908764308,1738,True,6128
