persistence,rho,seed,joint_simultaneous_coverage,final_p_upper,final_rho_upper,collision_upper,hoeffding_radius,average_tv_bias,collision_trials,p_trials,d0_q,d0_gap,d0_eta,d0_updates,d0_exact_radius,d2_q,d2_gap,d2_eta,d2_updates,d2_exact_radius
0.9,0.5,20310270,True,0.9079309078993572,0.7844036207914307,0.8922018103957153,0.13381593709291295,0.009366265459665141,510,14900,2,19,0.012341030015103244,689,0.9841998786707392,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310271,True,0.90986680007322,0.8129311535829682,0.9064655767914841,0.13560613344698155,0.009243281728340911,495,15050,2,19,0.012405132885387353,689,0.9841197224470302,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310272,True,0.9124248042413496,0.7551411073109171,0.8775705536554586,0.1382471351303143,0.009365612617971357,474,15260,4,20,0.013689573369200014,625,0.9825004164167648,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310273,True,0.9130950371442617,0.7927130783821301,0.8963565391910651,0.14037440592853623,0.00925724243283449,458,15420,2,20,0.012804424272035094,666,0.9836180908442214,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310274,True,0.914460397939848,0.8687204923767591,0.9343602461883795,0.1401027210423196,0.009474916450407796,460,15400,2,20,0.012842199368141982,666,0.9835709210851327,1,20,0.027468032904154626,689,0.9648035231053622
0.9,0.5,20310275,True,0.9151730254801322,0.7984941333216893,0.8992470666608446,0.1379884501373366,0.009157776187373522,476,15240,2,20,0.012896286577252641,666,0.9835033942669211,1,20,0.027468032904154626,689,0.9648035231053622
0.9,0.5,20310276,True,0.9113703206604191,0.7826101685381082,0.8913050842690541,0.1359735115210654,0.009396613398395186,492,15080,2,19,0.012503924729635185,689,0.983996228785618,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310277,True,0.9081128239856251,0.7833838275079925,0.8916919137539963,0.1345228568424603,0.009153183895662841,504,14960,2,19,0.012418310756651797,689,0.9841032468780033,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310278,True,0.9103996383723951,0.8183946003445763,0.9091973001722882,0.13969834741007145,0.009239773496557867,463,15370,2,19,0.012490634553177907,689,0.9840128392898109,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310279,True,0.9103325051878133,0.8197460399477414,0.9098730199738707,0.13722163787674574,0.009165904918701886,482,15180,2,19,0.012490634553177907,689,0.9840128392898109,1,19,0.027456746418629573,714,0.9648249911870199
