average_weight_norm,bellman_residual,delay,encoder_sha256,environment_budget,environment_used,game,master_seed,message_budget,message_used,overhead,prediction_risk,q,rho,selected_common_actors,split,updates
0.04618189437307999,5.473869187741316e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,65536,asterix,202608056001,196608,196608,8,1.6377907975345036e-05,4,0.9,3,selection,16376
0.06814508035330981,3.4750676465706657e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,196608,196608,8,0.0001763374904274603,16,0.9,14,selection,8184
0.0522231685460576,8.962335321694047e-08,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,21845,asterix,202608056001,196608,196605,8,8.106018358571715e-07,1,1.0,1,selection,21845
0.04929716525723477,5.106465387048817e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,65536,asterix,202608056001,196608,196608,8,4.089906819150445e-06,4,1.0,4,selection,16384
0.07114853723042278,4.831834307891626e-06,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,196608,196608,8,0.00024396145157429657,16,1.0,16,selection,8192
0.05232466491756295,9.387293367184195e-08,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,21845,asterix,202608056001,196608,196605,8,9.475432960198127e-07,1,1.0,1,selection,21837
0.04923032815181896,5.09722318190705e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,65536,asterix,202608056001,196608,196608,8,4.230090156905244e-06,4,1.0,4,selection,16376
0.07122904854848092,4.867117815239046e-06,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,196608,196608,8,0.0002458507648650209,16,1.0,16,selection,8184
0.05073910681839291,7.76164739067799e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,2.7678726448803464e-06,1,0.0,0,selection,11915
0.052183841713035244,1.2427852054238016e-07,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,43688,asterix,202608056001,393216,393192,32,1.0395003992720264e-06,4,0.0,0,selection,10922
0.05200295442062663,9.737267791424675e-08,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,131072,asterix,202608056001,393216,393216,32,6.820390523559047e-07,16,0.0,0,selection,8192
0.05086935396305139,7.59311102578058e-07,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,11915,asterix,202608056001,393216,393195,32,2.646792836204682e-06,1,0.0,0,selection,11907
