delay,game,oracle_q,oracle_validation_risk,overhead,ratio,rho,strong_q,strong_validation_risk
8,seaquest,4,3.0045502458646045e-06,8,1.0,0.3,4,3.0045502458646045e-06
0,seaquest,4,5.376694465172432e-06,8,1.0,0.5,4,5.376694465172432e-06
8,seaquest,4,5.375576091664155e-06,8,1.0,0.5,4,5.375576091664155e-06
0,seaquest,1,9.209571151076012e-06,8,1.352815316602471,0.7,4,6.807707628714166e-06
8,seaquest,1,9.271009754387109e-06,8,1.3699323636365783,0.7,4,6.767494513215664e-06
0,seaquest,1,1.1452417016098336e-05,8,1.4400362013318593,0.9,4,7.952867438683997e-06
8,seaquest,1,1.1535803046822442e-05,8,1.472281255730885,0.9,4,7.83532562268187e-06
0,seaquest,1,8.954167689926794e-06,8,0.987099304850093,1.0,4,9.071192377434233e-06
8,seaquest,1,9.026781813550929e-06,8,1.011921773640443,1.0,4,8.920434413696422e-06
0,seaquest,16,1.2329631878219314e-06,32,1.0,0.0,16,1.2329631878219314e-06
8,seaquest,16,1.2377221061581107e-06,32,1.0,0.0,16,1.2377221061581107e-06
0,seaquest,16,5.255926631399685e-06,32,1.0,0.1,16,5.255926631399685e-06
8,seaquest,16,5.262961823501542e-06,32,1.0,0.1,16,5.262961823501542e-06
0,seaquest,16,1.1721693122134149e-05,32,1.0,0.3,16,1.1721693122134149e-05
8,seaquest,16,1.1738692660656413e-05,32,1.0,0.3,16,1.1738692660656413e-05
0,seaquest,16,1.1281804667330281e-05,32,1.0,0.5,16,1.1281804667330281e-05
8,seaquest,16,1.1305621057625355e-05,32,1.0,0.5,16,1.1305621057625355e-05
0,seaquest,4,1.3146444986160664e-05,32,0.539365097152361,0.7,16,2.4373926039279898e-05
8,seaquest,4,1.3186570905308626e-05,32,0.5398222632701702,0.7,16,2.4427615907180564e-05
0,seaquest,16,2.5286399004239166e-05,32,1.0,0.9,16,2.5286399004239166e-05
8,seaquest,16,2.5268158912190382e-05,32,1.0,0.9,16,2.5268158912190382e-05
0,seaquest,16,2.8600766752825444e-05,32,1.0,1.0,16,2.8600766752825444e-05
8,seaquest,1,1.6263738478670908e-05,32,0.5683281634974975,1.0,16,2.8616808955205897e-05
