cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,dual_use_auc,dual_use_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,candidate_scores,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D1,stationary,0.6,1.5,0.1,0.0,0.9,1,748652165,0.10379714107270628,0.10183430191293696,0.01860128801745007,240,0,30,11,168,0.0466961092934245,0.1572825312553876,0.875,0.125
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D1,stationary,0.6,1.5,0.1,0.0,0.9,1,4244158386,0.12946915994396788,0.12815369261017703,0.056470226865528036,240,0,30,11,168,0.008125576376255538,0.027478840343667828,0.7083333333333334,0.25
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D1,stationary,0.6,1.5,0.1,0.0,0.9,1,3723470981,0.10672929535830704,0.11071849644769112,0.014180520228444958,240,0,30,10,168,0.08358211237565012,0.18694059056032647,0.875,0.125
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,1808804502,0.13020534427055802,0.13382821539432554,0.0519390782317181,240,0,30,10,168,0.0011885260702546665,0.014943055749690482,0.9166666666666666,0.08333333333333333
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2863024076,0.09391908955892668,0.09539225260627944,0.011844542936294286,240,0,30,11,168,0.09835034549524228,0.32602222330131936,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2950424385,0.10803399963724901,0.10942545636250679,0.012880995529253382,240,0,30,11,168,0.023942032247147676,0.11204627286994111,0.7916666666666666,0.20833333333333334
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,3476054506,0.10171177964628031,0.11022747891062368,0.05021934461306914,240,0,30,11,168,0.024320900720397467,0.14022947492392487,0.7916666666666666,0.20833333333333334
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,859049474,0.12382639321464466,0.13067598924602572,0.09187232466159753,240,0,30,11,168,0.0842859253769035,0.5612514847833967,0.9166666666666666,0.08333333333333333
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,2088432960,0.1308250662594247,0.1467435150956023,0.013462573404059432,240,0,30,11,168,0.02271275034165639,0.09909152682536479,0.8333333333333334,0.16666666666666666
Fstationary-H0.6-I1.5-N0.1-S0-T0.9-D3,stationary,0.6,1.5,0.1,0.0,0.9,3,4057090488,0.12412918490955765,0.12543863595644605,0.014294822706246239,240,0,30,11,168,0.0586794104956316,0.2602258859888703,0.9166666666666666,0.08333333333333333
