cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_dual_use_auc,mean_strong_static_auc,dual_use_to_static_ratio
Falternating-H0.6-I1.5-N0.1-S0-T0.9-D3,alternating,0.6,1.5,0.1,0.0,0.9,3,0.12072759374316791,0.14764381105947172,0.8176949164129758
Falternating-H0.6-I1.5-N0.1-S0.9-T0-D0,alternating,0.6,1.5,0.1,0.9,0.0,0,0.08656070036481951,0.13367275321148653,0.6475568003590827
Falternating-H0.6-I1.5-N0.1-S0.9-T0-D1,alternating,0.6,1.5,0.1,0.9,0.0,1,0.09355095753315189,0.13197949352863697,0.7088294933701436
Falternating-H0.6-I1.5-N0.1-S0.9-T0-D3,alternating,0.6,1.5,0.1,0.9,0.0,3,0.09242380379727996,0.12593421774530766,0.7339054107137113
Falternating-H0.6-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.6,1.5,0.1,0.9,0.9,0,0.1129111485379833,0.15718839367443577,0.7183173381861878
Falternating-H0.6-I1.5-N0.1-S0.9-T0.9-D1,alternating,0.6,1.5,0.1,0.9,0.9,1,0.1180826212042243,0.15138551780476373,0.7800126651250159
Falternating-H0.6-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.6,1.5,0.1,0.9,0.9,3,0.11998910474558404,0.15087006455673516,0.7953142003227669
Falternating-H0.6-I1.5-N0.5-S0-T0-D0,alternating,0.6,1.5,0.5,0.0,0.0,0,0.10799641134594362,0.14417848759818375,0.7490466375741347
Falternating-H0.6-I1.5-N0.5-S0-T0-D1,alternating,0.6,1.5,0.5,0.0,0.0,1,0.10872138611585667,0.13657995481694613,0.7960273984683373
Falternating-H0.6-I1.5-N0.5-S0-T0-D3,alternating,0.6,1.5,0.5,0.0,0.0,3,0.10873694557170624,0.1305554146562111,0.83287963090647
Falternating-H0.6-I1.5-N0.5-S0-T0.9-D0,alternating,0.6,1.5,0.5,0.0,0.9,0,0.23183429826035962,0.24102375413724084,0.9618732356494262
Falternating-H0.6-I1.5-N0.5-S0-T0.9-D1,alternating,0.6,1.5,0.5,0.0,0.9,1,0.25335908921174655,0.24752036553721368,1.0235888617159263
Falternating-H0.6-I1.5-N0.5-S0-T0.9-D3,alternating,0.6,1.5,0.5,0.0,0.9,3,0.2505728502947139,0.2508673597461094,0.9988260351936833
Falternating-H0.6-I1.5-N0.5-S0.9-T0-D0,alternating,0.6,1.5,0.5,0.9,0.0,0,0.10243634660704548,0.13905794214173853,0.7366450634127355
Falternating-H0.6-I1.5-N0.5-S0.9-T0-D1,alternating,0.6,1.5,0.5,0.9,0.0,1,0.11661020898272717,0.1398957361463035,0.8335508443286347
Falternating-H0.6-I1.5-N0.5-S0.9-T0-D3,alternating,0.6,1.5,0.5,0.9,0.0,3,0.11257002424041729,0.1345944024374271,0.8363648279708442
Falternating-H0.6-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.6,1.5,0.5,0.9,0.9,0,0.26116563989568575,0.2792096771131813,0.9353745994621055
Falternating-H0.6-I1.5-N0.5-S0.9-T0.9-D1,alternating,0.6,1.5,0.5,0.9,0.9,1,0.2561956985042706,0.2572428439946565,0.9959293503596638
Falternating-H0.6-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.6,1.5,0.5,0.9,0.9,3,0.2311232170906567,0.23827128006598447,0.970000316557882
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0-D0,single_switch,0.1,0.5,0.1,0.0,0.0,0,0.010464387549947867,0.01031917119727607,1.0140724821689293
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0-D1,single_switch,0.1,0.5,0.1,0.0,0.0,1,0.011355668318373584,0.011158592137618713,1.0176613840101272
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0-D3,single_switch,0.1,0.5,0.1,0.0,0.0,3,0.010837678041964359,0.010768203652838263,1.0064518086178453
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0.9-D0,single_switch,0.1,0.5,0.1,0.0,0.9,0,0.038506901120241084,0.028859118337471967,1.3343062206526943
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0.9-D1,single_switch,0.1,0.5,0.1,0.0,0.9,1,0.0390085654676598,0.03590473686336548,1.0864462150525112
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0.9-D3,single_switch,0.1,0.5,0.1,0.0,0.9,3,0.039363600121879165,0.03623366331186635,1.0863820139595926
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0-D0,single_switch,0.1,0.5,0.1,0.9,0.0,0,0.010639494558615618,0.010475992931865154,1.015607267761048
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0-D1,single_switch,0.1,0.5,0.1,0.9,0.0,1,0.011452782284176575,0.011221763842595291,1.0205866426010846
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0-D3,single_switch,0.1,0.5,0.1,0.9,0.0,3,0.010875325477236875,0.010973559563347796,0.9910481110943228
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0.9-D0,single_switch,0.1,0.5,0.1,0.9,0.9,0,0.038705138800793445,0.03574916327579513,1.082686565338432
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0.9-D1,single_switch,0.1,0.5,0.1,0.9,0.9,1,0.03402223489507045,0.032878584116206276,1.0347840641440655
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0.9-D3,single_switch,0.1,0.5,0.1,0.9,0.9,3,0.036565130940180816,0.03467578699176604,1.054485971691527
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0-D0,single_switch,0.1,0.5,0.5,0.0,0.0,0,0.02133667181770074,0.018504515849907536,1.15305215174313
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0-D1,single_switch,0.1,0.5,0.5,0.0,0.0,1,0.020865730259757426,0.019169114603547085,1.0885077736400197
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0-D3,single_switch,0.1,0.5,0.5,0.0,0.0,3,0.020840854807413465,0.019005240505711965,1.0965846394393068
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0.9-D0,single_switch,0.1,0.5,0.5,0.0,0.9,0,0.1695461061115569,0.12013979021465557,1.4112402377982043
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0.9-D1,single_switch,0.1,0.5,0.5,0.0,0.9,1,0.15466180337341257,0.11736960895052365,1.3177329698577183
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0.9-D3,single_switch,0.1,0.5,0.5,0.0,0.9,3,0.1626002649684788,0.11567259263224192,1.40569396145061
