seed,seed_index,max_delay,policy,block,scenario,selected_num_agents,selected_eta,block_spent,probe_cost,estimated_rho_global,estimated_rho_cluster,estimated_rho_idiosyncratic,true_rho_global,true_rho_cluster,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260729,0,4,fixed_q1_oracle_eta,13.0,mixed,1.0,0.0025,2000.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,1.0,0.0025,0.014579473112922178,9.57566666666666,400.0
20260729,0,4,fixed_q1_oracle_eta,14.0,mixed,1.0,0.0025,2000.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,1.0,0.0025,0.010682174719280225,9.57566666666666,400.0
20260729,0,4,fixed_q1_oracle_eta,15.0,mixed,1.0,0.0025,2000.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,1.0,0.0025,0.017907266501043892,9.57566666666666,400.0
20260729,0,4,fixed_q4_oracle_eta,0.0,independent,4.0,0.017562521603732995,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.017562521603732995,0.003463729915937417,0.37499999999999994,250.0
20260729,0,4,fixed_q4_oracle_eta,1.0,independent,4.0,0.0047880164034928676,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0047880164034928676,0.0011887345273537057,0.37499999999999994,250.0
20260729,0,4,fixed_q4_oracle_eta,2.0,independent,4.0,0.0025,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0025,0.0005412097333160082,0.37499999999999994,250.0
20260729,0,4,fixed_q4_oracle_eta,3.0,independent,4.0,0.0025,2000.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0025,0.0003555514200453607,0.37499999999999994,250.0
20260729,0,4,fixed_q4_oracle_eta,4.0,clustered,4.0,0.0025,2000.0,0.0,0.0,0.6,0.4,0.0,0.6,4.0,0.0025,0.0008222983623843606,0.8950479968782517,250.0
20260729,0,4,fixed_q4_oracle_eta,5.0,clustered,4.0,0.0025,2000.0,0.0,0.0,0.6,0.4,0.0,0.6,4.0,0.0025,0.0008116817300224991,0.8950479968782517,250.0
20260729,0,4,fixed_q4_oracle_eta,6.0,clustered,4.0,0.0025,2000.0,0.0,0.0,0.6,0.4,0.0,0.6,4.0,0.0025,0.0008718904163820581,0.8950479968782517,250.0
20260729,0,4,fixed_q4_oracle_eta,7.0,clustered,4.0,0.0025,2000.0,0.0,0.0,0.6,0.4,0.0,0.6,4.0,0.0025,0.001389504329122382,0.8950479968782517,250.0
20260729,0,4,fixed_q4_oracle_eta,8.0,global,4.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,4.0,0.0025,0.01868003941964187,20.628043704474486,250.0
20260729,0,4,fixed_q4_oracle_eta,9.0,global,4.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,4.0,0.0025,0.029043959737419047,20.628043704474486,250.0
20260729,0,4,fixed_q4_oracle_eta,10.0,global,4.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,4.0,0.0025,0.02555500058561754,20.628043704474486,250.0
20260729,0,4,fixed_q4_oracle_eta,11.0,global,4.0,0.0025,2000.0,0.0,0.6,0.0,0.4,0.6,0.0,4.0,0.0025,0.02039300360008911,20.628043704474486,250.0
20260729,0,4,fixed_q4_oracle_eta,12.0,mixed,4.0,0.0025,2000.0,0.0,0.3,0.4,0.29999999999999993,0.3,0.4,4.0,0.0025,0.01295460127795022,10.848220516822746,250.0
