seed,seed_index,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260737,8,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260737,8,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260738,9,4,sparse_adaptive,31900,23980,768,1980,True,True
20260738,9,4,piecewise_oracle,31680,28160,0,880,True,True
20260738,9,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260738,9,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260738,9,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260738,9,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260738,9,16,sparse_adaptive,31896,22896,768,2250,True,True
20260738,9,16,piecewise_oracle,31680,28160,0,880,True,True
20260738,9,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260738,9,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260738,9,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260738,9,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260739,10,4,sparse_adaptive,31918,20054,768,2966,True,True
20260739,10,4,piecewise_oracle,31680,28160,0,880,True,True
20260739,10,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260739,10,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260739,10,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260739,10,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260739,10,16,sparse_adaptive,31906,22902,768,2251,True,True
20260739,10,16,piecewise_oracle,31700,28000,0,925,True,True
20260739,10,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260739,10,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260739,10,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260739,10,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260740,11,4,sparse_adaptive,31910,21282,768,2657,True,True
20260740,11,4,piecewise_oracle,31720,25440,0,1570,True,True
20260740,11,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260740,11,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260740,11,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260740,11,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260740,11,16,sparse_adaptive,31910,21542,768,2592,True,True
20260740,11,16,piecewise_oracle,31700,28000,0,925,True,True
20260740,11,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260740,11,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260740,11,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260740,11,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260741,12,4,sparse_adaptive,31892,24560,768,1833,True,True
20260741,12,4,piecewise_oracle,31760,23320,0,2110,True,True
20260741,12,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260741,12,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260741,12,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260741,12,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260741,12,16,sparse_adaptive,31896,23156,768,2185,True,True
20260741,12,16,piecewise_oracle,31790,23594,0,2049,True,True
20260741,12,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260741,12,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260741,12,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260741,12,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260742,13,4,sparse_adaptive,31904,21884,768,2505,True,True
20260742,13,4,piecewise_oracle,31720,25440,0,1570,True,True
20260742,13,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260742,13,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260742,13,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260742,13,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260742,13,16,sparse_adaptive,31900,23808,768,2023,True,True
20260742,13,16,piecewise_oracle,31720,25440,0,1570,True,True
20260742,13,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260742,13,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260742,13,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260742,13,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260743,14,4,sparse_adaptive,31904,22316,768,2397,True,True
20260743,14,4,piecewise_oracle,31692,27728,0,991,True,True
20260743,14,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260743,14,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260743,14,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260743,14,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260743,14,16,sparse_adaptive,31902,22466,768,2359,True,True
20260743,14,16,piecewise_oracle,31720,26640,0,1270,True,True
20260743,14,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260743,14,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260743,14,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260743,14,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260744,15,4,sparse_adaptive,31916,18776,768,3285,True,True
20260744,15,4,piecewise_oracle,31780,21360,0,2605,True,True
20260744,15,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260744,15,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260744,15,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260744,15,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260744,15,16,sparse_adaptive,31908,19548,768,3090,True,True
20260744,15,16,piecewise_oracle,31780,21360,0,2605,True,True
20260744,15,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260744,15,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260744,15,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260744,15,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260745,16,4,sparse_adaptive,31894,25146,768,1687,True,True
20260745,16,4,piecewise_oracle,31700,26800,0,1225,True,True
20260745,16,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260745,16,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260745,16,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260745,16,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260745,16,16,sparse_adaptive,31912,20872,768,2760,True,True
20260745,16,16,piecewise_oracle,31680,28160,0,880,True,True
20260745,16,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260745,16,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260745,16,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260745,16,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260746,17,4,sparse_adaptive,31908,20092,768,2954,True,True
20260746,17,4,piecewise_oracle,31692,27728,0,991,True,True
20260746,17,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260746,17,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260746,17,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260746,17,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260746,17,16,sparse_adaptive,31898,22810,768,2272,True,True
20260746,17,16,piecewise_oracle,31692,27728,0,991,True,True
20260746,17,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260746,17,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260746,17,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260746,17,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260747,18,4,sparse_adaptive,31936,19568,768,3092,True,True
20260747,18,4,piecewise_oracle,31740,24680,0,1765,True,True
20260747,18,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260747,18,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260747,18,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260747,18,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260747,18,16,sparse_adaptive,31910,21498,768,2603,True,True
20260747,18,16,piecewise_oracle,31712,26368,0,1336,True,True
20260747,18,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260747,18,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260747,18,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260747,18,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260748,19,4,sparse_adaptive,31914,22670,768,2311,True,True
20260748,19,4,piecewise_oracle,31700,26800,0,1225,True,True
20260748,19,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260748,19,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260748,19,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260748,19,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260748,19,16,sparse_adaptive,31920,19688,768,3058,True,True
20260748,19,16,piecewise_oracle,31700,26800,0,1225,True,True
20260748,19,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260748,19,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260748,19,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260748,19,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260749,20,4,sparse_adaptive,31908,19808,768,3025,True,True
20260749,20,4,piecewise_oracle,31732,25608,0,1531,True,True
20260749,20,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260749,20,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260749,20,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260749,20,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260749,20,16,sparse_adaptive,31922,21138,768,2696,True,True
20260749,20,16,piecewise_oracle,31732,25608,0,1531,True,True
20260749,20,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260749,20,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260749,20,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260749,20,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260750,21,4,sparse_adaptive,31896,22636,768,2315,True,True
20260750,21,4,piecewise_oracle,31738,24346,0,1848,True,True
20260750,21,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260750,21,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260750,21,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260750,21,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260750,21,16,sparse_adaptive,31890,23542,768,2087,True,True
20260750,21,16,piecewise_oracle,31720,26640,0,1270,True,True
20260750,21,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260750,21,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260750,21,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260750,21,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260751,22,4,sparse_adaptive,31908,23488,768,2105,True,True
20260751,22,4,piecewise_oracle,31710,26634,0,1269,True,True
20260751,22,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260751,22,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260751,22,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260751,22,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260751,22,16,sparse_adaptive,31928,20580,768,2837,True,True
20260751,22,16,piecewise_oracle,31700,27400,0,1075,True,True
20260751,22,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260751,22,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260751,22,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260751,22,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260752,23,4,sparse_adaptive,31876,26800,768,1269,True,True
20260752,23,4,piecewise_oracle,31680,28160,0,880,True,True
20260752,23,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260752,23,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260752,23,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260752,23,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260752,23,16,sparse_adaptive,31894,24886,768,1752,True,True
20260752,23,16,piecewise_oracle,31700,28000,0,925,True,True
20260752,23,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260752,23,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260752,23,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260752,23,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260753,24,4,sparse_adaptive,31912,19292,768,3155,True,True
20260753,24,4,piecewise_oracle,31800,20000,0,2950,True,True
20260753,24,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260753,24,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260753,24,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260753,24,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260753,24,16,sparse_adaptive,31906,20198,768,2927,True,True
20260753,24,16,piecewise_oracle,31800,20000,0,2950,True,True
20260753,24,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260753,24,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260753,24,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260753,24,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260754,25,4,sparse_adaptive,31906,22470,768,2359,True,True
20260754,25,4,piecewise_oracle,31740,24080,0,1915,True,True
20260754,25,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260754,25,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260754,25,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260754,25,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260754,25,16,sparse_adaptive,31902,22294,768,2402,True,True
20260754,25,16,piecewise_oracle,31740,24080,0,1915,True,True
20260754,25,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260754,25,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260754,25,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260754,25,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260755,26,4,sparse_adaptive,31906,22210,768,2424,True,True
20260755,26,4,piecewise_oracle,31680,28160,0,880,True,True
20260755,26,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260755,26,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260755,26,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260755,26,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260755,26,16,sparse_adaptive,31940,16520,768,3855,True,True
20260755,26,16,piecewise_oracle,31680,28160,0,880,True,True
20260755,26,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260755,26,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260755,26,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260755,26,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260756,27,4,sparse_adaptive,31886,25638,768,1562,True,True
20260756,27,4,piecewise_oracle,31740,24680,0,1765,True,True
20260756,27,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260756,27,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260756,27,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260756,27,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260756,27,16,sparse_adaptive,31900,23808,768,2023,True,True
20260756,27,16,piecewise_oracle,31738,24946,0,1698,True,True
20260756,27,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260756,27,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260756,27,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260756,27,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260757,28,4,sparse_adaptive,31898,23394,768,2126,True,True
20260757,28,4,piecewise_oracle,31730,25874,0,1464,True,True
20260757,28,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260757,28,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260757,28,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260757,28,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260757,28,16,sparse_adaptive,31890,24146,768,1936,True,True
20260757,28,16,piecewise_oracle,31778,23426,0,2088,True,True
20260757,28,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260757,28,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260757,28,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260757,28,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260758,29,4,sparse_adaptive,31882,25462,768,1605,True,True
20260758,29,4,piecewise_oracle,31718,25706,0,1503,True,True
20260758,29,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260758,29,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260758,29,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260758,29,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260758,29,16,sparse_adaptive,31896,25904,768,1498,True,True
20260758,29,16,piecewise_oracle,31720,26640,0,1270,True,True
20260758,29,16,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260758,29,16,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260758,29,16,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260758,29,16,fixed_q32_oracle_eta,31680,28160,0,880,True,True
20260759,30,4,sparse_adaptive,31890,22870,768,2255,True,True
20260759,30,4,piecewise_oracle,31738,25546,0,1548,True,True
20260759,30,4,fixed_q1_oracle_eta,32000,6400,0,6400,True,True
20260759,30,4,fixed_q4_oracle_eta,32000,16000,0,4000,True,True
20260759,30,4,fixed_q8_oracle_eta,31872,21248,0,2656,True,True
20260759,30,4,fixed_q32_oracle_eta,31680,28160,0,880,True,True
