seed_index,max_delay,regime,policy,regime_mse,oracle_regime_mse,normalized_regime_score
19,16,mixed,sparse_adaptive,0.008256603086934534,0.0008431000298069378,9.793147663421648
20,4,independent,sparse_adaptive,0.00017331356089963243,0.001347706096456283,0.12859892921412958
20,4,clustered,sparse_adaptive,0.0006330215422011354,0.0013383854556827143,0.47297401470806427
20,4,global,sparse_adaptive,0.02490288901550131,0.007102687400212272,3.5061220651153895
20,4,mixed,sparse_adaptive,0.005556606238767962,0.00018379290829016677,30.23297411451457
20,16,independent,sparse_adaptive,0.0008465447322380882,0.0015702921626374045,0.5391001447885105
20,16,clustered,sparse_adaptive,0.0010002412460482083,0.0009757251980780748,1.025125976062137
20,16,global,sparse_adaptive,0.012952181435021914,0.006129650529344801,2.113037500753958
20,16,mixed,sparse_adaptive,0.007912835877406975,0.0003518723844152099,22.487800202217116
21,4,independent,sparse_adaptive,6.901585599509493e-05,9.642361281452248e-05,0.7157567942185669
21,4,clustered,sparse_adaptive,9.788354019227383e-05,0.00011031989124080429,0.8872700932836798
21,4,global,sparse_adaptive,0.00850988796578959,0.014595783173584384,0.583037433797378
21,4,mixed,sparse_adaptive,0.002073659355281717,0.0017529556596846217,1.1829502610777924
21,16,independent,sparse_adaptive,5.349320173170249e-05,4.3783715393303574e-05,1.2217602195514892
21,16,clustered,sparse_adaptive,0.0007351184818672526,0.0002157453589463617,3.4073432006016717
21,16,global,sparse_adaptive,0.013167166311938979,0.012217076466543356,1.077767365048214
21,16,mixed,sparse_adaptive,0.0020971646099859627,0.003214226373379709,0.6524632575212265
22,4,independent,sparse_adaptive,2.153693713794112e-05,0.00016435459047748276,0.13103946214932016
22,4,clustered,sparse_adaptive,3.55614798743632e-05,0.00040491072776777624,0.08782548210171988
22,4,global,sparse_adaptive,0.010473666321553662,0.006494230175374817,1.6127648756997082
22,4,mixed,sparse_adaptive,0.012609142787294919,0.0018355257495551811,6.869499264911212
22,16,independent,sparse_adaptive,0.0002807957401356183,0.0002463000963647818,1.1400553401316857
22,16,clustered,sparse_adaptive,0.005047450134654656,0.00016698513603567104,30.226942675762647
22,16,global,sparse_adaptive,0.005438257569040885,0.0013867521900366012,3.921578496946416
22,16,mixed,sparse_adaptive,0.005401313765824614,0.006085666498833092,0.8875467899629892
23,4,independent,sparse_adaptive,0.00039036438674653804,0.00015017113218146938,2.5994635658391054
23,4,clustered,sparse_adaptive,0.0009836347097717936,2.9699916792184048e-05,33.11910658384912
23,4,global,sparse_adaptive,0.008862678111392071,0.004097359004455494,2.16302210808346
23,4,mixed,sparse_adaptive,0.0033945426999460447,0.0006967878366280374,4.87170200383124
23,16,independent,sparse_adaptive,5.2726025493255066e-05,0.0002737166749839523,0.1926299356674062
23,16,clustered,sparse_adaptive,0.00022149416839473786,3.6559679875734405e-05,6.058427457450173
23,16,global,sparse_adaptive,0.007435000692438539,0.0002123458660700025,35.01363520770165
23,16,mixed,sparse_adaptive,0.012534509029638425,0.0030645927309557847,4.090105971676427
24,4,independent,sparse_adaptive,0.001294633089883053,0.00024327281956473172,5.3217334028496674
24,4,clustered,sparse_adaptive,0.00023869049534312446,8.163589126455412e-05,2.923842584992548
24,4,global,sparse_adaptive,0.015064895198370573,0.021801408705421754,0.6910055860117017
24,4,mixed,sparse_adaptive,0.010097652991724158,0.022444550349023838,0.44989330749338563
24,16,independent,sparse_adaptive,0.0022769269470785704,0.0002436089554930532,9.346647139757962
24,16,clustered,sparse_adaptive,0.00037906972243648834,0.00013571774124436324,2.7930742065178027
24,16,global,sparse_adaptive,0.0017661722892020157,0.021064059624042276,0.08384766852758653
24,16,mixed,sparse_adaptive,0.007735920814140189,0.022030873081538414,0.35114000182874233
25,4,independent,sparse_adaptive,0.00016033897535733455,3.2485250856891864e-05,4.9357468736713805
25,4,clustered,sparse_adaptive,0.0005035752354529607,0.0004213533795509301,1.1951375256314805
25,4,global,sparse_adaptive,0.013704668243931812,0.009845427871127096,1.391983001990437
25,4,mixed,sparse_adaptive,0.0014394619255055955,0.011380071822210763,0.12648970480978536
25,16,independent,sparse_adaptive,0.0003093219549663052,0.0004662615475118841,0.6634086739876853
25,16,clustered,sparse_adaptive,0.00044327645917046287,0.000965913199764849,0.4589195584845287
25,16,global,sparse_adaptive,0.01206540168286043,0.013802587161115534,0.874140589878028
25,16,mixed,sparse_adaptive,0.0026495012459599055,0.004062465844932461,0.6521904053088609
26,4,independent,sparse_adaptive,0.0002978097931532832,0.00019516134986656712,1.525967069590866
26,4,clustered,sparse_adaptive,0.00017606124908261747,5.7603878847761943e-05,3.0564130854437748
26,4,global,sparse_adaptive,0.08483144034607693,0.00043254471101605174,196.1217839117881
26,4,mixed,sparse_adaptive,0.01188062896174841,0.0013778840776006514,8.622371906957868
26,16,independent,sparse_adaptive,0.00020807856305899734,0.00026919723598462284,0.7729595079159106
26,16,clustered,sparse_adaptive,0.0027779598776752584,0.00015344587909887352,18.103841523728818
26,16,global,sparse_adaptive,0.005134016063947729,0.000518689469002467,9.898053403361676
26,16,mixed,sparse_adaptive,0.02861683179011786,0.0017567513701976303,16.28963112002499
27,4,independent,sparse_adaptive,0.00019875545298926898,0.0002053064273094351,0.9680917231573438
27,4,clustered,sparse_adaptive,7.22408509992003e-05,0.0010031078870867834,0.07201703020101008
27,4,global,sparse_adaptive,0.0058426112579316285,0.01513471579133982,0.3860403682819606
27,4,mixed,sparse_adaptive,0.004218039039367094,0.002818763835611882,1.496414487115578
27,16,independent,sparse_adaptive,0.00010081894875075326,0.00021132266280132097,0.47708536043547833
27,16,clustered,sparse_adaptive,0.0017146169471361553,0.0011295709742013811,1.517936443390295
27,16,global,sparse_adaptive,0.007976551367370872,0.008737189927551032,0.9129424258271376
27,16,mixed,sparse_adaptive,0.005183025198593793,0.0020298737266373364,2.553373212618466
28,4,independent,sparse_adaptive,0.0005658915472780037,0.00031151120412772383,1.81660094333551
28,4,clustered,sparse_adaptive,0.00047704137400089735,0.00033211416894244407,1.436377663500317
28,4,global,sparse_adaptive,0.01274392285618697,0.002979291428410763,4.277501265790884
28,4,mixed,sparse_adaptive,0.0030470771586124656,0.021254958066001004,0.1433584177936586
