policy,budget,mean_mse,standard_error
piecewise_oracle,19600.0,0.007215538475566559,0.0007478660169889721
piecewise_oracle,19800.0,0.00769952299783116,0.0007851247192995594
piecewise_oracle,20000.0,0.008045181570495753,0.000855154646647751
piecewise_oracle,20200.0,0.008342730258467696,0.0010256248145175289
piecewise_oracle,20400.0,0.0074405986456808435,0.0009472049762739433
piecewise_oracle,20600.0,0.0073732868806300035,0.0010747639610013343
piecewise_oracle,20800.0,0.007874678075525927,0.0010199549894238707
piecewise_oracle,21000.0,0.007667303702890044,0.0008675475422485155
piecewise_oracle,21200.0,0.007729319200679128,0.0009454358035967198
piecewise_oracle,21400.0,0.008371728641572167,0.0009588166085759938
piecewise_oracle,21600.0,0.008966948640142676,0.0010189456172579436
piecewise_oracle,21800.0,0.009306037230737422,0.0012237634737114012
piecewise_oracle,22000.0,0.009930088647586276,0.0012900219020187942
piecewise_oracle,22200.0,0.011432192374537534,0.0017803802470483347
piecewise_oracle,22400.0,0.010561206951704765,0.0016911697508144123
piecewise_oracle,22600.0,0.00999512098341546,0.0014210104695262975
piecewise_oracle,22800.0,0.009865226549201831,0.0014360135365644056
piecewise_oracle,23000.0,0.00960271080147842,0.0013236471766930257
piecewise_oracle,23200.0,0.009381283551565034,0.0011672473611545912
piecewise_oracle,23400.0,0.009303665062548924,0.0011153916462318533
piecewise_oracle,23600.0,0.01018379471283217,0.0013057166425928845
piecewise_oracle,23800.0,0.010733157701787406,0.0012224872647608952
piecewise_oracle,24000.0,0.012382023627438015,0.001529313043729893
piecewise_oracle,24200.0,0.011832409377524247,0.0016054712401526695
piecewise_oracle,24400.0,0.010122348011489998,0.0012570960826982127
piecewise_oracle,24600.0,0.00997118383759393,0.0012260997592191103
piecewise_oracle,24800.0,0.009565946390873048,0.0011830612151534662
piecewise_oracle,25000.0,0.008669826982768771,0.0010663155316132302
piecewise_oracle,25200.0,0.007674357758522006,0.0009558493500345156
piecewise_oracle,25400.0,0.008114678957233277,0.0009538203156846254
piecewise_oracle,25600.0,0.008414824199928252,0.0010390687112596668
piecewise_oracle,25800.0,0.007789150048425448,0.0010002813833427857
piecewise_oracle,26000.0,0.007646362836448405,0.001066403599190742
piecewise_oracle,26200.0,0.007754907189160028,0.0010204091205638813
piecewise_oracle,26400.0,0.007714912260904976,0.001081250689132244
piecewise_oracle,26600.0,0.007730257194746724,0.0011334549176756552
piecewise_oracle,26800.0,0.00754494094748634,0.0013302633921450497
piecewise_oracle,27000.0,0.0075422266413659456,0.0014039453353649313
piecewise_oracle,27200.0,0.007875978766337548,0.001422001295918561
piecewise_oracle,27400.0,0.008459413688013777,0.001353762900360475
piecewise_oracle,27600.0,0.008733623660999331,0.0013267089280891862
piecewise_oracle,27800.0,0.009315389965465675,0.0014266271769749288
piecewise_oracle,28000.0,0.00906278734728872,0.0012671446439335584
piecewise_oracle,28200.0,0.00878271210736385,0.0011666166385316033
piecewise_oracle,28400.0,0.008271265731562156,0.0011124432006649333
piecewise_oracle,28600.0,0.008195873313775956,0.001131116041024837
piecewise_oracle,28800.0,0.007768871743956386,0.0010030342098680995
piecewise_oracle,29000.0,0.0073492676100498835,0.0008511952645843307
piecewise_oracle,29200.0,0.007786550952522672,0.0008683337329066556
piecewise_oracle,29400.0,0.007388760755819641,0.0008277075474150854
piecewise_oracle,29600.0,0.007536425475578343,0.0009133690970622113
piecewise_oracle,29800.0,0.008025448400787899,0.001037357067453582
piecewise_oracle,30000.0,0.0076752317753914735,0.001008636231410197
piecewise_oracle,30200.0,0.00763305888039155,0.001068566772589216
piecewise_oracle,30400.0,0.007576094706255518,0.0010720747778123728
piecewise_oracle,30600.0,0.007285107880315895,0.0009545956785948872
piecewise_oracle,30800.0,0.00691631309151415,0.0008238884133361435
piecewise_oracle,31000.0,0.006825350357867363,0.0007997631364124152
piecewise_oracle,31200.0,0.006288977543871593,0.0006907674241457606
piecewise_oracle,31400.0,0.006241505438635547,0.0007468982392107612
piecewise_oracle,31600.0,0.006732138301045236,0.0007921390080960308
piecewise_oracle,31800.0,0.008001201106292205,0.0009705496866886364
piecewise_oracle,32000.0,0.00831474948937804,0.0010862221738532445
fixed_q1_oracle_eta,0.0,1.0,0.0
fixed_q1_oracle_eta,200.0,0.4803914609741021,0.00783704749208892
fixed_q1_oracle_eta,400.0,0.2347827706401986,0.0071477587864836835
fixed_q1_oracle_eta,600.0,0.11990292810232897,0.005284662955592454
fixed_q1_oracle_eta,800.0,0.057573173032566226,0.0034118166947694085
fixed_q1_oracle_eta,1000.0,0.031428338340908635,0.002616309631228616
fixed_q1_oracle_eta,1200.0,0.018122164143909117,0.0020864635486845962
fixed_q1_oracle_eta,1400.0,0.012080013458937484,0.0012604205733364126
fixed_q1_oracle_eta,1600.0,0.009821188026846998,0.0010641386653530364
fixed_q1_oracle_eta,1800.0,0.007059338840905866,0.0009101016159151188
fixed_q1_oracle_eta,2000.0,0.0068630602451728055,0.0007992729476401138
fixed_q1_oracle_eta,2200.0,0.0054040168221273525,0.0006391289620693425
fixed_q1_oracle_eta,2400.0,0.004711463871936407,0.0005689597658221726
fixed_q1_oracle_eta,2600.0,0.0041314057719164,0.0006370758894896215
fixed_q1_oracle_eta,2800.0,0.0038220647197113613,0.0006352451446821206
fixed_q1_oracle_eta,3000.0,0.0035393574223260456,0.0005419849134045423
fixed_q1_oracle_eta,3200.0,0.003255079045728115,0.0005172212532774576
fixed_q1_oracle_eta,3400.0,0.0026206112715582096,0.00043736018008822024
fixed_q1_oracle_eta,3600.0,0.0028209057097681746,0.00043510251728844925
fixed_q1_oracle_eta,3800.0,0.002920018100947799,0.0004630456780491376
fixed_q1_oracle_eta,4000.0,0.0029746621549530984,0.0004724408641237505
fixed_q1_oracle_eta,4200.0,0.002713724153779848,0.00037953164402969574
fixed_q1_oracle_eta,4400.0,0.0025954905980720656,0.000398042749008158
fixed_q1_oracle_eta,4600.0,0.0023861171590782433,0.0003358339250589185
fixed_q1_oracle_eta,4800.0,0.002694784825737542,0.000415009175194208
fixed_q1_oracle_eta,5000.0,0.0026471058910067357,0.00036621065811439355
fixed_q1_oracle_eta,5200.0,0.0024722651348687372,0.0003217085841457461
fixed_q1_oracle_eta,5400.0,0.0022920707322083267,0.00032028326697468057
fixed_q1_oracle_eta,5600.0,0.0022483188085352557,0.00032815997875723434
fixed_q1_oracle_eta,5800.0,0.0018387917634045477,0.00024469700393589674
fixed_q1_oracle_eta,6000.0,0.0017774057700348047,0.00021718063459648287
fixed_q1_oracle_eta,6200.0,0.0015961427808206914,0.00018031624768467846
fixed_q1_oracle_eta,6400.0,0.0016080423613487693,0.00020592663699026868
fixed_q1_oracle_eta,6600.0,0.0014637976388238829,0.00016858339814843244
fixed_q1_oracle_eta,6800.0,0.00161768462666708,0.00015269666227183683
fixed_q1_oracle_eta,7000.0,0.001620091642015962,0.00017908006394686896
fixed_q1_oracle_eta,7200.0,0.0017318008522209714,0.0001827531075353147
fixed_q1_oracle_eta,7400.0,0.0017080192773735665,0.00020494838008027215
fixed_q1_oracle_eta,7600.0,0.0014558648525701916,0.00016762326623429624
fixed_q1_oracle_eta,7800.0,0.0017630331353265887,0.0001940140366414984
fixed_q1_oracle_eta,8000.0,0.001712970588155812,0.00019727162986122538
fixed_q1_oracle_eta,8200.0,0.0021296426374486014,0.0002809273842972135
fixed_q1_oracle_eta,8400.0,0.002154175247379103,0.00024849599862561303
fixed_q1_oracle_eta,8600.0,0.002009113286250623,0.0002240530137772827
fixed_q1_oracle_eta,8800.0,0.0021911433974767702,0.00027415550587709574
fixed_q1_oracle_eta,9000.0,0.00231195431331307,0.0002624606792547362
fixed_q1_oracle_eta,9200.0,0.002437564633263962,0.00034098095138684333
fixed_q1_oracle_eta,9400.0,0.003015554810118351,0.0004130898613479473
fixed_q1_oracle_eta,9600.0,0.003355836398062901,0.00041258809578958815
fixed_q1_oracle_eta,9800.0,0.00341692998617451,0.0004784839870652766
fixed_q1_oracle_eta,10000.0,0.003669823982169385,0.0006300462892667255
fixed_q1_oracle_eta,10200.0,0.0032508021206388905,0.0004834406544147927
fixed_q1_oracle_eta,10400.0,0.0034909633428998827,0.00047711666153562855
fixed_q1_oracle_eta,10600.0,0.0037520222550569463,0.0005426005263959878
fixed_q1_oracle_eta,10800.0,0.003944557481449833,0.0005510749524266516
fixed_q1_oracle_eta,11000.0,0.0033678525827423177,0.000477208309148316
fixed_q1_oracle_eta,11200.0,0.0035100902183186826,0.000476948741099604
fixed_q1_oracle_eta,11400.0,0.0035192299369828177,0.0005001652843927679
fixed_q1_oracle_eta,11600.0,0.0037614476580235924,0.0005032146205383735
fixed_q1_oracle_eta,11800.0,0.0035286777225182306,0.0004691147116274809
fixed_q1_oracle_eta,12000.0,0.0035264793357311446,0.0004416839221234907
fixed_q1_oracle_eta,12200.0,0.0034562053339100255,0.00042201014580716745
fixed_q1_oracle_eta,12400.0,0.003340845428884794,0.0004740998423934595
fixed_q1_oracle_eta,12600.0,0.003743779670132063,0.0004499048845526742
fixed_q1_oracle_eta,12800.0,0.003646924711322694,0.00040821549891991647
fixed_q1_oracle_eta,13000.0,0.0030847239438849526,0.0003331328286264369
fixed_q1_oracle_eta,13200.0,0.003078830312860312,0.00028950408154894284
fixed_q1_oracle_eta,13400.0,0.0030539657015268653,0.0003524288730760191
fixed_q1_oracle_eta,13600.0,0.002908320465433823,0.00029606178990062903
fixed_q1_oracle_eta,13800.0,0.002965883838812105,0.00029876371030501024
fixed_q1_oracle_eta,14000.0,0.0034292387732895438,0.00034680445245444336
fixed_q1_oracle_eta,14200.0,0.004134300093726632,0.0005150357185187801
fixed_q1_oracle_eta,14400.0,0.004986223250261605,0.0006396287330914429
fixed_q1_oracle_eta,14600.0,0.004864920025618352,0.0005542684413401522
fixed_q1_oracle_eta,14800.0,0.004584758057404501,0.0005510014165785847
fixed_q1_oracle_eta,15000.0,0.004919314005897307,0.0005568473885708956
fixed_q1_oracle_eta,15200.0,0.004337150135724275,0.0004709377459237945
fixed_q1_oracle_eta,15400.0,0.0041273869628784664,0.00041160327518063183
fixed_q1_oracle_eta,15600.0,0.003625340458982813,0.0004087448416364193
fixed_q1_oracle_eta,15800.0,0.003521240211964484,0.0003446613088420788
fixed_q1_oracle_eta,16000.0,0.003347942358935633,0.0004053532019209524
fixed_q1_oracle_eta,16200.0,0.004775183003581247,0.0005567947287614207
