mixing_eigenvalue,equivalent_persistence,rho,seed,joint_simultaneous_coverage,final_mixing_upper,final_rho_upper,similarity_upper,baseline_lower,similarity_trials,control_trials,d0_q,d0_eta,d0_updates,d0_exact_radius,d2_q,d2_eta,d2_updates,d2_exact_radius
0.0,0.5,0.0,20270411,True,0.0028539571142168893,0.16700870187669484,0.22482266797056263,0.0694052461581775,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270412,True,0.0028539571142168893,0.17398987729585288,0.2230715051244934,0.05942012873638852,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270413,True,0.0028539571142168893,0.17997106706468108,0.22905562146045885,0.05985710067579947,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270414,True,0.0028539571142168893,0.16906900117119464,0.2170339540714025,0.05772435132136641,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270415,True,0.0028539571142168893,0.17879158023908223,0.22431002825277555,0.05542861826349188,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270416,True,0.0028539571142168893,0.16896737517576682,0.2162442909212818,0.05688936190142266,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270417,True,0.0028539571142168893,0.1740926589713408,0.22835039472052768,0.065694700911133,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270418,True,0.0028539571142168893,0.1710072987667451,0.22180657932178063,0.06127832064077732,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270419,True,0.0028539571142168893,0.17444233174981125,0.21655556379345822,0.05101185981702297,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270420,True,0.0028539571142168893,0.16258414498881973,0.21600706732566352,0.06379497356917196,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270421,True,0.0028539571142168893,0.1420632999321518,0.20818140294986184,0.07706641179061488,1637,1636,8,0.008014936331625647,1176,0.9896253599886096,2,0.026308809725551576,1818,0.9659813241467995
0.0,0.5,0.0,20270422,True,0.0028539571142168893,0.17450257563518673,0.22154184154853804,0.056982934803880364,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270423,True,0.0028539571142168893,0.17436647670174213,0.2218063419415234,0.0574587439839743,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
0.0,0.5,0.0,20270424,True,0.0028539571142168893,0.16953451020254096,0.21920671943177042,0.059812490512211325,1637,1636,8,0.007972709804543876,1176,0.9896793638603958,2,0.026259788432889914,1818,0.9660436091073513
