path,budget,error_amplitude,max_delay,overhead,q_at_zero,q_at_high,nonincreasing,responsive,high_strength_margin,well_separated
balanced,1000,1.0,32,16,16.0,1.0,True,True,0.050960083179441486,True
balanced,2000,0.01,0,0,32.0,32.0,True,False,0.6846931106945973,False
balanced,2000,0.01,0,4,32.0,32.0,True,False,0.5813632421821618,False
balanced,2000,0.01,0,16,32.0,32.0,True,False,0.3897979694175311,False
balanced,2000,0.01,4,0,32.0,32.0,True,False,0.6768611709862694,False
balanced,2000,0.01,4,4,32.0,32.0,True,False,0.5740375546652883,False
balanced,2000,0.01,4,16,32.0,32.0,True,False,0.3834224346015415,False
balanced,2000,0.01,16,0,32.0,32.0,True,False,0.6546268278434515,False
balanced,2000,0.01,16,4,32.0,32.0,True,False,0.5537648313218954,False
balanced,2000,0.01,16,16,32.0,32.0,True,False,0.36696418416616056,False
balanced,2000,0.01,32,0,32.0,32.0,True,False,0.6323802504398748,False
balanced,2000,0.01,32,4,32.0,32.0,True,False,0.5345949241872425,False
balanced,2000,0.01,32,16,32.0,32.0,True,False,0.35434898602165926,False
balanced,2000,0.03,0,0,16.0,32.0,False,False,0.592274754908068,False
balanced,2000,0.03,0,4,32.0,32.0,True,False,0.49575216449660287,False
balanced,2000,0.03,0,16,32.0,32.0,True,False,0.3187489999871177,False
balanced,2000,0.03,4,0,16.0,32.0,False,False,0.5858167176097444,False
balanced,2000,0.03,4,4,32.0,32.0,True,False,0.48979235669993504,False
balanced,2000,0.03,4,16,32.0,32.0,True,False,0.31375299072165364,False
balanced,2000,0.03,16,0,16.0,32.0,False,False,0.5678159556682241,False
balanced,2000,0.03,16,4,32.0,32.0,True,False,0.47361008338103616,False
balanced,2000,0.03,16,16,32.0,32.0,True,False,0.3011086689347407,False
balanced,2000,0.03,32,0,16.0,32.0,False,False,0.5499092558835389,False
balanced,2000,0.03,32,4,32.0,32.0,True,False,0.45843450418255155,False
balanced,2000,0.03,32,16,32.0,32.0,True,False,0.29160082820269384,False
balanced,2000,0.1,0,0,4.0,32.0,False,False,0.14023357204312542,False
balanced,2000,0.1,0,4,32.0,32.0,False,False,0.10915854714651957,False
balanced,2000,0.1,0,16,32.0,32.0,False,False,0.02354470841676222,False
balanced,2000,0.1,4,0,4.0,32.0,False,False,0.13871593599423185,False
balanced,2000,0.1,4,4,32.0,32.0,False,False,0.10778114353981232,False
balanced,2000,0.1,4,16,32.0,32.0,False,False,0.022021363965658534,False
balanced,2000,0.1,16,0,32.0,32.0,False,False,0.13523762354117155,False
balanced,2000,0.1,16,4,32.0,32.0,False,False,0.10463606089269405,False
balanced,2000,0.1,16,16,32.0,32.0,False,False,0.016645973699542838,False
balanced,2000,0.1,32,0,32.0,32.0,False,False,0.1321177701557288,False
balanced,2000,0.1,32,4,32.0,32.0,False,False,0.10200359891891628,False
balanced,2000,0.1,32,16,32.0,32.0,False,False,0.01121387582311371,False
balanced,2000,0.3,0,0,2.0,1.0,True,False,0.058381513101361526,False
balanced,2000,0.3,0,4,32.0,1.0,True,True,0.14205146385485223,True
balanced,2000,0.3,0,16,32.0,1.0,True,True,0.03405732477823656,False
balanced,2000,0.3,4,0,2.0,1.0,True,False,0.058381513101361526,False
balanced,2000,0.3,4,4,32.0,1.0,True,True,0.14205146385485223,True
balanced,2000,0.3,4,16,32.0,1.0,True,True,0.03405732477823656,False
balanced,2000,0.3,16,0,32.0,1.0,True,True,0.058381513101361526,True
balanced,2000,0.3,16,4,32.0,1.0,True,True,0.14205146385485223,True
balanced,2000,0.3,16,16,32.0,1.0,True,True,0.03405732477823656,False
balanced,2000,0.3,32,0,32.0,1.0,True,True,0.058381513101361526,True
balanced,2000,0.3,32,4,32.0,1.0,True,True,0.14205146385485223,True
balanced,2000,0.3,32,16,32.0,1.0,True,True,0.03405732477823656,False
balanced,2000,1.0,0,0,16.0,1.0,True,True,0.4001890079872522,True
balanced,2000,1.0,0,4,32.0,1.0,True,True,0.1927116398567278,True
balanced,2000,1.0,0,16,32.0,1.0,True,True,0.06913912488020711,True
balanced,2000,1.0,4,0,16.0,1.0,True,True,0.4001890079872522,True
balanced,2000,1.0,4,4,32.0,1.0,True,True,0.1927116398567278,True
balanced,2000,1.0,4,16,32.0,1.0,True,True,0.06913912488020711,True
balanced,2000,1.0,16,0,32.0,1.0,True,True,0.4001890079872522,True
balanced,2000,1.0,16,4,32.0,1.0,True,True,0.1927116398567278,True
balanced,2000,1.0,16,16,32.0,1.0,True,True,0.06913912488020711,True
balanced,2000,1.0,32,0,32.0,1.0,True,True,0.4001890079872522,True
balanced,2000,1.0,32,4,16.0,1.0,True,True,0.1927116398567278,True
balanced,2000,1.0,32,16,32.0,1.0,True,True,0.06913912488020711,True
balanced,4000,0.01,0,0,32.0,32.0,True,False,0.4893032799164789,False
balanced,4000,0.01,0,4,32.0,32.0,True,False,0.4396978401248899,False
balanced,4000,0.01,0,16,32.0,32.0,True,False,0.3273811677623044,False
balanced,4000,0.01,4,0,32.0,32.0,True,False,0.482600231646478,False
balanced,4000,0.01,4,4,32.0,32.0,True,False,0.4331923684875565,False
balanced,4000,0.01,4,16,32.0,32.0,True,False,0.32132195811362735,False
balanced,4000,0.01,16,0,32.0,32.0,True,False,0.4617917012290003,False
balanced,4000,0.01,16,4,32.0,32.0,True,False,0.41335336394031946,False
balanced,4000,0.01,16,16,32.0,32.0,True,False,0.30356521771932043,False
balanced,4000,0.01,32,0,32.0,32.0,True,False,0.4369982302521777,False
balanced,4000,0.01,32,4,32.0,32.0,True,False,0.3901453841543625,False
balanced,4000,0.01,32,16,32.0,32.0,True,False,0.28397985598117576,False
balanced,4000,0.03,0,0,32.0,32.0,True,False,0.448046333344485,False
balanced,4000,0.03,0,4,32.0,32.0,True,False,0.39959957522025463,False
balanced,4000,0.03,0,16,32.0,32.0,True,False,0.29087431008269643,False
balanced,4000,0.03,4,0,32.0,32.0,True,False,0.4419620381096533,False
balanced,4000,0.03,4,4,32.0,32.0,True,False,0.39374119309441846,False
balanced,4000,0.03,4,16,32.0,32.0,True,False,0.2855370050845462,False
balanced,4000,0.03,16,0,32.0,32.0,True,False,0.42320879775401815,False
balanced,4000,0.03,16,4,32.0,32.0,True,False,0.3760066285005929,False
balanced,4000,0.03,16,16,32.0,32.0,True,False,0.2700117763776254,False
balanced,4000,0.03,32,0,32.0,32.0,True,False,0.4008330182205733,False
balanced,4000,0.03,32,4,32.0,32.0,True,False,0.3552312689742182,False
balanced,4000,0.03,32,16,32.0,32.0,True,False,0.25286534568155333,False
balanced,4000,0.1,0,0,16.0,32.0,False,False,0.010496757365440519,False
balanced,4000,0.1,0,4,32.0,32.0,False,False,0.03223535563787488,False
balanced,4000,0.1,0,16,32.0,1.0,True,True,0.005978078205484382,False
balanced,4000,0.1,4,0,32.0,32.0,False,False,0.007572307573806525,False
balanced,4000,0.1,4,4,32.0,32.0,False,False,0.029396299270563208,False
balanced,4000,0.1,4,16,32.0,1.0,True,True,0.00837469980419668,False
balanced,4000,0.1,16,0,32.0,1.0,True,True,0.003674832139182685,False
balanced,4000,0.1,16,4,32.0,32.0,False,False,0.018535771588000596,False
balanced,4000,0.1,16,16,32.0,1.0,True,True,0.011129676303422448,False
balanced,4000,0.1,32,0,32.0,1.0,True,True,0.01814711360130486,False
