path,strength,rho_global,rho_cluster,budget,error_amplitude,max_delay,overhead,selected_q,selected_eta,best_risk,runner_up_q,runner_up_risk,relative_margin,lrv_at_best_q,horizon_at_best_q
global,0.4,0.4,0.0,250,1.0,0,0,1.0,0.009170040432046712,0.059622378188451446,2.0,0.10862977751281058,0.8219631757971644,10.883999999999993,250.0
global,0.5,0.5,0.0,250,1.0,0,0,1.0,0.009170040432046712,0.07032042953209064,2.0,0.12738568039560985,0.8115031612182851,13.229999999999992,250.0
global,0.6000000000000001,0.6000000000000001,0.0,250,1.0,0,0,1.0,0.007384130729697496,0.08088328658134444,2.0,0.14614158327840912,0.8068205367920394,15.57599999999999,250.0
global,0.7000000000000001,0.7000000000000001,0.0,250,1.0,0,0,1.0,0.007384130729697496,0.08936326645383452,2.0,0.16359016948743113,0.8306198506289222,17.92199999999999,250.0
global,0.8,0.8,0.0,250,1.0,0,0,1.0,0.007384130729697496,0.09784324632632457,2.0,0.17822740937864576,0.8215606704649369,20.267999999999986,250.0
clustered,0.0,0.0,0.0,250,1.0,0,0,4.0,0.05187358218604038,0.011325133375508178,2.0,0.011329634545212965,0.0003974495977699875,0.37499999999999994,62.0
clustered,0.1,0.0,0.1,250,1.0,0,0,1.0,0.011387886347566916,0.013300656239893828,2.0,0.013482079823908802,0.013640197952850914,1.7594166666666664,250.0
clustered,0.2,0.0,0.2,250,1.0,0,0,1.0,0.011387886347566916,0.014781378601935987,2.0,0.015634525102604636,0.05771765433008455,2.0188333333333333,250.0
clustered,0.30000000000000004,0.0,0.30000000000000004,250,1.0,0,0,1.0,0.011387886347566916,0.016262100963978142,2.0,0.017440449143260376,0.0724597751478957,2.27825,250.0
clustered,0.4,0.0,0.4,250,1.0,0,0,1.0,0.011387886347566916,0.017742823326020295,2.0,0.019163898730199337,0.08009296931311935,2.537666666666666,250.0
clustered,0.5,0.0,0.5,250,1.0,0,0,1.0,0.011387886347566916,0.019223545688062452,2.0,0.0208873483171383,0.08655024708105974,2.7970833333333327,250.0
clustered,0.6000000000000001,0.0,0.6000000000000001,250,1.0,0,0,1.0,0.011387886347566916,0.02070426805010461,2.0,0.02261079790407726,0.09208390508463385,3.0564999999999998,250.0
clustered,0.7000000000000001,0.0,0.7000000000000001,250,1.0,0,0,1.0,0.011387886347566916,0.022184990412146763,2.0,0.02433424749101622,0.0968788824759957,3.315916666666666,250.0
clustered,0.8,0.0,0.8,250,1.0,0,0,1.0,0.011387886347566916,0.02366571277418892,2.0,0.026057697077955185,0.10107383312684713,3.5753333333333326,250.0
balanced,0.0,0.0,0.0,250,1.0,0,0,4.0,0.05187358218604038,0.011325133375508178,2.0,0.011329634545212965,0.0003974495977699875,0.37499999999999994,62.0
balanced,0.1,0.05,0.05,250,1.0,0,0,1.0,0.011387886347566916,0.019255652581553564,2.0,0.028015023204403897,0.4548986634315158,2.802708333333332,250.0
balanced,0.2,0.1,0.1,250,1.0,0,0,1.0,0.011387886347566916,0.02669137128525546,2.0,0.0435862555294721,0.6329717594370852,4.105416666666665,250.0
balanced,0.30000000000000004,0.15000000000000002,0.15000000000000002,250,1.0,0,0,1.0,0.011387886347566916,0.03412708998895736,2.0,0.05613746243189769,0.6449530988450031,5.408124999999997,250.0
balanced,0.4,0.2,0.2,250,1.0,0,0,1.0,0.009170040432046712,0.040592219933735504,2.0,0.06868866933432327,0.692163410782993,6.71083333333333,250.0
balanced,0.5,0.25,0.25,250,1.0,0,0,1.0,0.009170040432046712,0.0465327317136957,2.0,0.08123987623674885,0.745865184459781,8.013541666666661,250.0
balanced,0.6000000000000001,0.30000000000000004,0.30000000000000004,250,1.0,0,0,1.0,0.009170040432046712,0.05247324349365591,2.0,0.09313172818549197,0.7748422240518013,9.316249999999995,250.0
balanced,0.7000000000000001,0.35000000000000003,0.35000000000000003,250,1.0,0,0,1.0,0.009170040432046712,0.058413755273616114,2.0,0.1030526552194717,0.7641847324617691,10.618958333333328,250.0
balanced,0.8,0.4,0.4,250,1.0,0,0,1.0,0.009170040432046712,0.06435426705357632,2.0,0.11297358225345143,0.755494816830071,11.92166666666666,250.0
global,0.0,0.0,0.0,500,0.01,0,0,32.0,0.0025,9.700982677595e-05,16.0,0.00010249180418337559,0.05650950619762007,0.04687499999999999,15.0
global,0.1,0.1,0.0,500,0.01,0,0,32.0,0.0025,0.0004497020035150182,16.0,0.0007844777683942481,0.7444391224911449,3.9421874999999966,15.0
global,0.2,0.2,0.0,500,0.01,0,0,32.0,0.0025,0.0008023941802540864,16.0,0.0014664637326051208,0.8276101306476947,7.837499999999993,15.0
global,0.30000000000000004,0.30000000000000004,0.0,500,0.01,0,0,32.0,0.0025,0.0011550863569931547,16.0,0.002148449696815993,0.8599905399356433,11.73281249999999,15.0
global,0.4,0.4,0.0,500,0.01,0,0,32.0,0.0025,0.001507778533732223,16.0,0.0028304356610268657,0.8772224154303704,15.628124999999986,15.0
global,0.5,0.5,0.0,500,0.01,0,0,32.0,0.0025,0.0018604707104712909,16.0,0.003512421625237738,0.8879209468167214,19.523437499999982,15.0
global,0.6000000000000001,0.6000000000000001,0.0,500,0.01,0,0,32.0,0.0025,0.0022131628872103593,16.0,0.004194407589448611,0.8952096177320076,23.41874999999998,15.0
global,0.7000000000000001,0.7000000000000001,0.0,500,0.01,0,0,32.0,0.0025,0.002565855063949428,16.0,0.004876393553659484,0.9004945455311953,27.31406249999998,15.0
global,0.8,0.8,0.0,500,0.01,0,0,32.0,0.0025,0.0029185472406884957,16.0,0.005558379517870356,0.90450215791577,31.209374999999973,15.0
clustered,0.0,0.0,0.0,500,0.01,0,0,32.0,0.0025,9.700982677595e-05,16.0,0.00010249180418337559,0.05650950619762007,0.04687499999999999,15.0
clustered,0.1,0.0,0.1,500,0.01,0,0,32.0,0.0025,0.00010941379426454632,16.0,0.00012484696174112979,0.14105321527620507,0.18387075095386746,15.0
clustered,0.2,0.0,0.2,500,0.01,0,0,32.0,0.0025,0.00012181776175314264,16.0,0.000147202119298884,0.2083797730349163,0.3208665019077349,15.0
clustered,0.30000000000000004,0.0,0.30000000000000004,500,0.01,0,0,32.0,0.0025,0.00013422172924173895,16.0,0.00016955727685663823,0.263262497171814,0.4578622528616024,15.0
clustered,0.4,0.0,0.4,500,0.01,0,0,32.0,0.0025,0.00014662569673033526,16.0,0.00019191243441439245,0.3088594884384127,0.5948580038154698,15.0
clustered,0.5,0.0,0.5,500,0.01,0,0,32.0,0.0025,0.00015902966421893158,16.0,0.00021426759197214668,0.34734354766146414,0.7318537547693372,15.0
clustered,0.6000000000000001,0.0,0.6000000000000001,500,0.01,0,0,32.0,0.0025,0.00017143363170752792,16.0,0.0002366227495299009,0.38025862937785754,0.868849505723205,15.0
clustered,0.7000000000000001,0.0,0.7000000000000001,500,0.01,0,0,32.0,0.0025,0.00018383759919612423,16.0,0.0002589779070876551,0.40873199073584854,1.0058452566770724,15.0
clustered,0.8,0.0,0.8,500,0.01,0,0,32.0,0.0025,0.00019624156668472052,16.0,0.0002813330646454093,0.4336058838003256,1.1428410076309397,15.0
