task,mixing,rho,delay_trace,budget,best_fixed_policy,best_fixed_q,policy,nominal_q,geometric_terminal_prediction_mse,geometric_terminal_error_ratio_to_best_fixed,cvar90_terminal_prediction_mse,mean_message_bytes,mean_environment_steps,mean_agent_transitions,mean_wall_seconds,seeds
acrobot,fast_regeneration,0.5,zero,environment_binding,fixed_q4,4,fixed_q4,4,31.221391994939996,1.0,31.47681427001953,143671296.0,1024.0,4096.0,0.9636350999353454,2
acrobot,fast_regeneration,0.5,zero,environment_binding,fixed_q4,4,oracle_evaluation_only,,835.8670917423611,26.772255762261622,852.29052734375,169902080.0,1024.0,32768.0,0.704510944429785,2
acrobot,fast_regeneration,0.5,zero,environment_binding,fixed_q4,4,single_agent,1,31.31612962832995,1.003034382112281,31.47681427001953,86249472.0,1024.0,1024.0,0.9180605410365388,2
acrobot,fast_regeneration,0.5,zero,message_binding,single_agent,1,always_all,32,908.8871049854217,29.168961156721465,920.635498046875,134063360.0,202.0,6464.0,0.4069049775134772,2
acrobot,fast_regeneration,0.5,zero,message_binding,single_agent,1,fixed_q16,16,460.01044906243123,14.763139279661445,505.6728515625,134175744.0,368.0,5888.0,0.43818876415025443,2
acrobot,fast_regeneration,0.5,zero,message_binding,single_agent,1,fixed_q32,32,908.8871049854217,29.168961156721465,920.635498046875,134063360.0,202.0,6464.0,0.40782727755140513,2
acrobot,fast_regeneration,0.5,zero,message_binding,single_agent,1,fixed_q4,4,33.27620535823507,1.0679349901801214,34.61921691894531,134130624.0,956.0,3824.0,0.9000261744949967,2
acrobot,fast_regeneration,0.5,zero,message_binding,single_agent,1,oracle_evaluation_only,,31.314277128696393,1.0049707254152398,31.70624542236328,134191374.0,3988.0,14734.0,1.6959710005903617,2
acrobot,fast_regeneration,0.5,zero,message_binding,single_agent,1,single_agent,1,31.15939234524247,1.0,31.354881286621094,134175204.0,1593.0,1593.0,1.4264601299073547,2
acrobot,fast_regeneration,0.9,edge_jitter,environment_binding,fixed_q4,4,always_all,32,32.141272074379216,1.0257757054711172,32.18524169921875,536253440.0,808.0,25856.0,3.3939465855946764,2
acrobot,fast_regeneration,0.9,edge_jitter,environment_binding,fixed_q4,4,fixed_q16,16,31.392962933828315,1.001893721746803,31.746442794799805,373358592.0,1024.0,16384.0,3.3904889095574617,2
acrobot,fast_regeneration,0.9,edge_jitter,environment_binding,fixed_q4,4,fixed_q32,32,32.141272074379216,1.0257757054711172,32.18524169921875,536253440.0,808.0,25856.0,3.393253252026625,2
acrobot,fast_regeneration,0.9,edge_jitter,environment_binding,fixed_q4,4,fixed_q4,4,31.333625765310366,1.0,31.605375289916992,143671296.0,1024.0,4096.0,2.200709142605774,2
acrobot,fast_regeneration,0.9,edge_jitter,environment_binding,fixed_q4,4,oracle_evaluation_only,,840.7509491995686,26.83222667867466,856.3945922851562,169902080.0,1024.0,32768.0,2.1698838205775246,2
acrobot,fast_regeneration,0.9,edge_jitter,environment_binding,fixed_q4,4,single_agent,1,31.4963679353086,1.0051938505686249,31.9894962310791,86249472.0,1024.0,1024.0,0.8777995379641652,2
acrobot,fast_regeneration,0.9,edge_jitter,message_binding,single_agent,1,always_all,32,911.1259258307655,29.126082959025208,922.682861328125,134063360.0,202.0,6464.0,0.8504118780838326,2
acrobot,fast_regeneration,0.9,edge_jitter,message_binding,single_agent,1,fixed_q16,16,479.8124088182079,15.338226723453591,522.9139404296875,134175744.0,368.0,5888.0,1.2196706329705194,2
acrobot,fast_regeneration,0.9,edge_jitter,message_binding,single_agent,1,fixed_q32,32,911.1259258307655,29.126082959025208,922.682861328125,134063360.0,202.0,6464.0,0.8548897084547207,2
acrobot,fast_regeneration,0.9,edge_jitter,message_binding,single_agent,1,fixed_q4,4,32.96345900000579,1.0537472529663536,34.39860153198242,134130624.0,956.0,3824.0,2.063453389564529,2
acrobot,fast_regeneration,0.9,edge_jitter,message_binding,single_agent,1,oracle_evaluation_only,,32.37602044558059,1.034968527013717,33.46040725708008,133801920.0,4096.0,14272.0,6.357677555526607,2
acrobot,fast_regeneration,0.9,edge_jitter,message_binding,single_agent,1,single_agent,1,31.282130422842794,1.0,31.411375045776367,134175204.0,1593.0,1593.0,1.365718059008941,2
acrobot,fast_regeneration,0.9,wan_bursty,environment_binding,fixed_q16,16,always_all,32,32.92909782028541,1.0425658435194873,33.15208053588867,536253440.0,808.0,25856.0,5.4086604685289785,2
acrobot,fast_regeneration,0.9,wan_bursty,environment_binding,fixed_q16,16,fixed_q16,16,31.584669711721585,1.0,32.29972076416016,373358592.0,1024.0,16384.0,5.655824127024971,2
