persistence,rho,maximum_delay,policy,q,gap,eta,checkpoint,resource_fraction,parameter_mean,parameter_std,return_mean,return_std,seeds,parameter_ci95,return_ci95
0.0,0.0,0,q1,1,50,0.0019433899032881,32,0.7996484375,0.03414027284320826,0.007777794213133698,0.0431343686165906,0.06876529182143414,64,0.001905559582217756,0.016847496496251363
0.0,0.0,0,q1,1,50,0.0019433899032881,33,0.8245703125,0.03088320941295112,0.007256548443299859,0.044939404815445755,0.08505126809807315,64,0.0017778543686084655,0.02083756068402792
0.0,0.0,0,q1,1,50,0.0019433899032881,34,0.8494921875,0.028517400005997347,0.00687487201465749,0.05209406174007476,0.09544606877917246,64,0.001684343643591085,0.023384286850897253
0.0,0.0,0,q1,1,50,0.0019433899032881,35,0.87484375,0.02598524118106744,0.006309959883251098,0.0533387361942286,0.09424578992217274,64,0.001545940171396519,0.02309021853093232
0.0,0.0,0,q1,1,50,0.0019433899032881,36,0.899765625,0.023866135949912593,0.006111753770235927,0.057884021691108,0.09083830584988183,64,0.001497379673707802,0.02225538493322105
0.0,0.0,0,q1,1,50,0.0019433899032881,37,0.9246875,0.021450740411906533,0.005765914690414586,0.062351413480026284,0.10893398328464367,64,0.0014126490991515736,0.026688825904737697
0.0,0.0,0,q1,1,50,0.0019433899032881,38,0.949609375,0.019639905634596864,0.006121773132752135,0.05910391681384716,0.10604082574402669,64,0.0014998344175242732,0.02598000230728654
0.0,0.0,0,q1,1,50,0.0019433899032881,39,0.97453125,0.018085019547398325,0.005370444488087528,0.06400326945224659,0.09158471516279396,64,0.0013157588995814443,0.022438255214884517
0.0,0.0,0,q1,1,50,0.0019433899032881,40,0.9998828125,0.016561415291716678,0.005602756225337347,0.06059932613140806,0.0873045023655208,64,0.0013726752752076501,0.021389603079552597
0.0,0.0,0,q16,16,64,0.0102631531302343,0,0.0,1.0,0.0,1.0,0.0,64,0.0,0.0
0.0,0.0,0,q16,16,64,0.0102631531302343,1,0.0249375,0.6756219531140246,0.01105112496318543,0.3216772057412489,0.04165515843105454,64,0.0027075256159804304,0.010205513815608361
0.0,0.0,0,q16,16,64,0.0102631531302343,2,0.049875,0.4611533258018568,0.011356568077100178,0.09539932099061842,0.031334714841952285,64,0.0027823591788895437,0.00767700513627831
0.0,0.0,0,q16,16,64,0.0102631531302343,3,0.0748125,0.3175813421390275,0.009972931841745669,0.02700242714735557,0.019991680131165947,64,0.0024433683012276886,0.004897961632135657
0.0,0.0,0,q16,16,64,0.0102631531302343,4,0.09975,0.21975311738312345,0.008746582696272823,0.009471321262638959,0.01199793528419243,64,0.0021429127605868416,0.0029394941446271453
0.0,0.0,0,q16,16,64,0.0102631531302343,5,0.1246875,0.15219842646363937,0.0069182603792027775,0.006638379605390965,0.008984034239431227,64,0.0016949737929046805,0.0022010883886606505
0.0,0.0,0,q16,16,64,0.0102631531302343,6,0.149625,0.10631941854613507,0.006432179825169059,0.012994843197882605,0.016068981926154993,64,0.0015758840571664194,0.003936900571907973
0.0,0.0,0,q16,16,64,0.0102631531302343,7,0.1745625,0.07453652624097713,0.005613202293245566,0.009624837606251505,0.010475875397356721,64,0.0013752345618451636,0.0025665894723523965
0.0,0.0,0,q16,16,64,0.0102631531302343,8,0.1995,0.052065180038862305,0.00413458098791637,0.011391476287321031,0.015731943573910924,64,0.0010129723420395107,0.0038543261756081764
0.0,0.0,0,q16,16,64,0.0102631531302343,9,0.2244375,0.03634907380788897,0.0042129618770398594,0.013200758288780666,0.016896175890406397,64,0.0010321756598747655,0.004139563093149568
0.0,0.0,0,q16,16,64,0.0102631531302343,10,0.249375,0.026333047540239404,0.004319666432877016,0.01669232605806864,0.02601372748666231,64,0.001058318276054869,0.006373363234232266
0.0,0.0,0,q16,16,64,0.0102631531302343,11,0.2743125,0.018917071977014397,0.0034244761976239277,0.021770970812346177,0.026933752122732888,64,0.0008389966684178622,0.006598769270069558
0.0,0.0,0,q16,16,64,0.0102631531302343,12,0.29925,0.013920408552269151,0.0036361517329453917,0.02600131789260997,0.03524537548501817,64,0.0008908571745716209,0.008635116993829451
0.0,0.0,0,q16,16,64,0.0102631531302343,13,0.3241875,0.010051312693644121,0.0030940522532365558,0.02093650106944336,0.025294766408196886,64,0.0007580428020429561,0.0061972177700082365
0.0,0.0,0,q16,16,64,0.0102631531302343,14,0.34978125,0.007331504140355497,0.002601198972470232,0.02297123868313206,0.03394366363242018,64,0.0006372937482552067,0.008316197589942943
0.0,0.0,0,q16,16,64,0.0102631531302343,15,0.37471875,0.005803748859038723,0.0023578037866604164,0.02883982557719766,0.041855500870499156,64,0.000577661927731802,0.010254597713272293
0.0,0.0,0,q16,16,64,0.0102631531302343,16,0.39965625,0.00441065274567625,0.0019183651429321566,0.0326909071616753,0.03962485143462004,64,0.00046999946001837834,0.00970808860148191
0.0,0.0,0,q16,16,64,0.0102631531302343,17,0.42459375,0.0036128139716882393,0.0020023324992673743,0.03315387415773612,0.05127523913841022,64,0.0004905714623205067,0.012562433588910503
0.0,0.0,0,q16,16,64,0.0102631531302343,18,0.44953125,0.0030531872947062236,0.00203804974239326,0.027678208567279684,0.04538026657840571,64,0.0004993221868863487,0.011118165311709399
0.0,0.0,0,q16,16,64,0.0102631531302343,19,0.47446875,0.0026990223443785484,0.0019283080980567581,0.028454838219161553,0.042671747321977406,64,0.00047243548402390575,0.010454578093884464
0.0,0.0,0,q16,16,64,0.0102631531302343,20,0.49940625,0.0024540401337969056,0.0018530060459839637,0.03097818344849923,0.03804673269132869,64,0.00045398648126607113,0.009321449509375529
0.0,0.0,0,q16,16,64,0.0102631531302343,21,0.52434375,0.002559869805765024,0.0020817891422591993,0.030224678938437253,0.03892851430238547,64,0.0005100383398535038,0.009537486004084439
0.0,0.0,0,q16,16,64,0.0102631531302343,22,0.54928125,0.0023675682048651314,0.001812132363114813,0.02845713853515943,0.03976509962669379,64,0.0004439724289631292,0.009742449408539978
0.0,0.0,0,q16,16,64,0.0102631531302343,23,0.57421875,0.0025647259619232376,0.002143855301035876,0.03337592108340701,0.04615139294611144,64,0.0005252445487537896,0.011307091271797302
0.0,0.0,0,q16,16,64,0.0102631531302343,24,0.59915625,0.002246110703121358,0.0019149665234540771,0.036994247779794265,0.04080482986387282,64,0.00046916679824624886,0.00999718331664884
0.0,0.0,0,q16,16,64,0.0102631531302343,25,0.62409375,0.0023956065923656125,0.002191654382641731,0.03781532700301599,0.04734449485898331,64,0.0005369553237472241,0.01159940124045091
0.0,0.0,0,q16,16,64,0.0102631531302343,26,0.64903125,0.002319504728161797,0.0020904435749334455,0.037781455396200606,0.05256019575426904,64,0.0005121586758586942,0.012877247959795914
0.0,0.0,0,q16,16,64,0.0102631531302343,27,0.674625,0.0025976265125287282,0.0025477484488948352,0.04129149598546229,0.05499596695036883,64,0.0006241983699792346,0.013474011902840364
0.0,0.0,0,q16,16,64,0.0102631531302343,28,0.6995625,0.002628374213828367,0.002586462735533858,0.04525569239829953,0.06724614414762468,64,0.0006336833702057952,0.016475305316168046
0.0,0.0,0,q16,16,64,0.0102631531302343,29,0.7245,0.002617388334288092,0.0025687021212183977,0.0488768357454884,0.06817316640036715,64,0.0006293320196985074,0.016702425768089953
0.0,0.0,0,q16,16,64,0.0102631531302343,30,0.7494375,0.0028426231250319564,0.0025830238128428124,0.04689329059896713,0.05494420938097006,64,0.000632840834146489,0.013461331298337665
