persistence,policy,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,omega,innovation_bound,initial_error,update_cost,updates,resource_budget,eta,affine_boundary,a_delta,beta_delta,h_delay,g_delay,young_lambda,contraction,forcing,residual,blocks,finite_time_bound,beats_no_update_bound
0.0,q1,1,0.9,8,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,55,2327,128000,0.0019433894770307524,0.004942571208744003,0.9998930491702749,1.2073864020023718e-05,0.0,0.0,0.0,0.9998930491702749,1.2073864020023718e-05,0.11289172838636027,2327,0.56762839471339,True
0.0,q32,32,0.9,8,0.1,68,1.9079553609862025e-05,0.0006296252691254468,8.360831544774337,0.10000000000000003,7.412688455006394,0.09066556807314705,8.430024780552563,3.9764934301467165,8,1.3583146888220214,4.060351299511963,0.696136173289883,104,1230,128000,5.845080959885974e-05,0.0001428096837274492,0.9999947581264546,2.6277083967242415e-08,1.1145399721428243e-12,3.344039306621343e-13,1.0557205191010755e-06,0.9999968695575393,3.430316671508467e-07,0.10957929157224144,72,0.6960039828359549,True
0.9,joint,32,0.0,0,0.1,250,2.0252058628797924e-05,0.0006683179347503315,0.07204725804228582,0.1,7.412688455006394,0.09009193472160501,0.1454926591428941,0.0,0,0.09775239292858043,15.334617500795266,9.107393995413027,286,447,128000,0.07846747507420722,0.30960989802627026,0.994722352051963,0.005440174065696966,0.0,0.0,0.0,0.994722352051963,0.005440174065696966,1.0307951798339332,447,1.7893159857650993,True
0.9,q1,1,0.0,0,0.1,183,0.0003293049790533786,0.0006586099581067572,0.9510768321962353,0.1,7.412688455006394,0.09023585913437959,1.023455366463876,0.0,0,3.1280765737145737,15.334617500795266,9.107393995413027,188,680,128000,0.014869054369211644,0.04408392495226783,0.9991108270967578,0.001587358052223292,0.0,0.0,0.0,0.9991108270967578,0.001587358052223292,1.78520740615835,680,5.7840399337397645,True
0.9,q32,32,0.0,0,0.1,250,2.0252058628797924e-05,0.0006683179347503315,0.07204725804228582,0.1,7.412688455006394,0.09009193472160501,0.1454926591428941,0.0,0,0.09775239292858043,15.334617500795266,9.107393995413027,286,447,128000,0.07846747507420722,0.30960989802627026,0.994722352051963,0.005440174065696966,0.0,0.0,0.0,0.994722352051963,0.005440174065696966,1.0307951798339332,447,1.7893159857650993,True
0.9,joint,1,0.9,0,0.1,183,0.0003293049790533786,0.0006586099581067572,0.9510768321962353,0.1,7.412688455006394,0.09023585913437959,1.023455366463876,0.0,0,3.1280765737145737,15.334617500795266,9.107393995413027,188,680,128000,0.014869054369211644,0.04408392495226783,0.9991108270967578,0.001587358052223292,0.0,0.0,0.0,0.9991108270967578,0.001587358052223292,1.78520740615835,680,5.7840399337397645,True
0.9,q1,1,0.9,0,0.1,183,0.0003293049790533786,0.0006586099581067572,0.9510768321962353,0.1,7.412688455006394,0.09023585913437959,1.023455366463876,0.0,0,3.1280765737145737,15.334617500795266,9.107393995413027,188,680,128000,0.014869054369211644,0.04408392495226783,0.9991108270967578,0.001587358052223292,0.0,0.0,0.0,0.9991108270967578,0.001587358052223292,1.78520740615835,680,5.7840399337397645,True
0.9,q32,32,0.9,0,0.1,250,2.0252058628797924e-05,0.0006683179347503315,0.8631738493232626,0.1,7.412688455006394,0.09009193472160501,0.9366192504238708,0.0,0,2.825044155635975,15.334617500795266,9.107393995413027,286,447,128000,0.016598141920833975,0.04809421474138641,0.9990207153325648,0.0018071747246111028,0.0,0.0,0.0,0.9990207153325648,0.0018071747246111028,1.8454028585417486,447,6.531965164912668,True
0.9,joint,4,0.0,8,0.1,205,0.00013179960276531467,0.0006589980138265734,0.2705376470669298,0.1,7.412688455006394,0.09023010606207124,0.34295882706725134,0.0,0,0.7820191434286434,15.334617500795266,9.107393995413027,213,600,128000,0.03899119864581681,0.13154655740115606,0.9975246299294442,0.0034967204393085644,0.0,0.0,0.0,0.9975246299294442,0.0034967204393085644,1.4126051215136066,600,3.1519003872762434,True
0.9,q1,1,0.0,8,0.1,183,0.0003293049790533786,0.0006586099581067572,0.9510768321962353,0.1,7.412688455006394,0.09023585913437959,1.023455366463876,0.0,0,3.1280765737145737,15.334617500795266,9.107393995413027,188,680,128000,0.014869054369211644,0.04408392495226783,0.9991108270967578,0.001587358052223292,0.0,0.0,0.0,0.9991108270967578,0.001587358052223292,1.78520740615835,680,5.7840399337397645,True
0.9,q32,32,0.0,8,0.1,250,2.0252058628797924e-05,0.0006683179347503315,0.07204725804228582,0.1,7.412688455006394,0.09009193472160501,0.1454926591428941,3.9764934301467165,8,0.09775239292858043,15.334617500795266,9.107393995413027,286,447,128000,5.865662597835168e-05,0.0001457089215075545,0.9999947165122454,2.7636442782697863e-07,1.1303211065148624e-12,4.83722442464361e-12,1.0631684149673282e-06,0.999996842838971,4.826189095030511e-06,1.5286483808129796,26,9.106771909635794,True
0.9,joint,1,0.9,8,0.1,183,0.0003293049790533786,0.0006586099581067572,0.9510768321962353,0.1,7.412688455006394,0.09023585913437959,1.023455366463876,0.0,0,3.1280765737145737,15.334617500795266,9.107393995413027,188,680,128000,0.014869054369211644,0.04408392495226783,0.9991108270967578,0.001587358052223292,0.0,0.0,0.0,0.9991108270967578,0.001587358052223292,1.78520740615835,680,5.7840399337397645,True
0.9,q1,1,0.9,8,0.1,183,0.0003293049790533786,0.0006586099581067572,0.9510768321962353,0.1,7.412688455006394,0.09023585913437959,1.023455366463876,0.0,0,3.1280765737145737,15.334617500795266,9.107393995413027,188,680,128000,0.014869054369211644,0.04408392495226783,0.9991108270967578,0.001587358052223292,0.0,0.0,0.0,0.9991108270967578,0.001587358052223292,1.78520740615835,680,5.7840399337397645,True
