persistence,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,omega,innovation_bound,initial_error,update_cost,updates,resource_budget,eta,affine_boundary,a_delta,beta_delta,h_delay,g_delay,young_lambda,contraction,forcing,residual,blocks,finite_time_bound
0.0,32,0.0,0,0.1,68,1.9079553609862025e-05,0.0006296252691254468,1.6569876148975915,0.10000000000000003,7.412688455006394,0.09066556807314705,1.7261808506758176,0.0,0,0.04700050826373777,4.060351299511963,0.696136173289883,104,1230,128000,0.012070154969987932,0.026261897192767565,0.9994086224274238,2.3224382471458635e-05,0.0,0.0,0.0,0.9994086224274238,2.3224382471458635e-05,0.039271665934652325,1230,0.3565781667995159
0.0,32,0.0,0,0.25,62,4.85252599041608e-05,0.0016013335768373066,1.6569876148975915,0.10000000000000003,7.412688455006394,0.07625962616472803,1.832967609943848,0.0,0,0.04700050826373777,4.060351299511963,0.696136173289883,98,1306,128000,0.008977354079329595,0.020802229605972805,0.9996108386341955,3.599346235246136e-05,0.0,0.0,0.0,0.9996108386341955,3.599346235246136e-05,0.09248981403397065,1306,0.45557768165257423
0.0,32,0.0,0,0.5,58,9.041371420756398e-05,0.0029836525688496113,1.6569876148975915,0.10000000000000003,7.412688455006394,0.05576622609827667,1.9848788000202595,0.0,0,0.04700050826373777,4.060351299511963,0.696136173289883,94,1361,128000,0.004490938879385588,0.01404776606453289,0.9998296214703202,5.3141176917507355e-05,0.0,0.0,0.0,0.9998296214703202,5.3141176917507355e-05,0.3119006662246097,1361,0.6166076875038292
0.0,32,0.0,0,0.75,55,0.00014418966774889402,0.004758259035713502,1.6569876148975915,0.10000000000000003,7.412688455006394,0.029457016360073363,2.179900775306981,0.0,0,0.04700050826373777,4.060351299511963,0.696136173289883,91,1406,128000,7.396396022135873e-11,0.006756503941311907,0.9999999999978212,3.748994249186224e-12,0.0,0.0,0.0,0.9999999999978212,3.748994249186224e-12,1.7206592717094737,1406,1.7206592717094737
0.0,1,0.9,0,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,55,2327,128000,0.0019433894770307524,0.004942571208744003,0.9998930491702749,1.2073864020023718e-05,0.0,0.0,0.0,0.9998930491702749,1.2073864020023718e-05,0.11289172838636027,2327,0.56762839471339
0.0,1,0.9,0,0.25,44,0.0007983013019689016,0.0015966026039378031,9.1057040309513,0.10000000000000003,7.412688455006394,0.07632976462111424,9.28116411147165,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,49,2612,128000,0.0015587656951665957,0.004112079244819933,0.9999261216075287,1.099754763268388e-05,0.0,0.0,0.0,0.9999261216075287,1.099754763268388e-05,0.14886013710917487,2612,0.6000895210327214
0.0,1,0.9,0,0.5,40,0.00148741867493181,0.00297483734986362,9.1057040309513,0.10000000000000003,7.412688455006394,0.05589691504228829,9.432626459647496,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,45,2844,128000,0.0008589035516441447,0.0029629560378226427,0.9999659071270691,1.1331271179655947e-05,0.0,0.0,0.0,0.9999659071270691,1.1331271179655947e-05,0.33236480840523663,2844,0.662520312619693
0.0,1,0.9,0,0.75,37,0.0023721017329521705,0.004744203465904341,9.1057040309513,0.10000000000000003,7.412688455006394,0.029665395480179185,9.627072541862816,0.0,0,1.5040162644396087,4.060351299511963,0.696136173289883,42,3047,128000,1.7793655908762532e-11,0.0015407277420608364,0.9999999999994721,8.902846194452518e-13,0.0,0.0,0.0,0.9999999999994721,8.902846194452518e-13,1.686429224137674,3047,1.686429224137674
0.0,2,0.9,0,0.1,53,0.00019681915438076608,0.0005904574631422982,8.721253710116782,0.10000000000000003,7.412688455006394,0.09124624555958548,8.786142564595204,0.0,0,1.4288154512176283,4.060351299511963,0.696136173289883,59,2169,128000,0.0020470514333567977,0.005192622637792072,0.9998868494897479,1.2653636106005955e-05,0.0,0.0,0.0,0.9998868494897479,1.2653636106005955e-05,0.11183012854132988,2169,0.5689691513587637
0.0,2,0.9,0,0.25,47,0.000500572545289632,0.0015017176358688962,8.721253710116782,0.10000000000000003,7.412688455006394,0.07773647003583031,8.886286321649871,0.0,0,1.4288154512176283,4.060351299511963,0.696136173289883,53,2415,128000,0.0016717426255219484,0.004373957085224124,0.9999197140542343,1.1461275270104614e-05,0.0,0.0,0.0,0.9999197140542343,1.1461275270104614e-05,0.14275568607676484,2415,0.5985982357669694
0.0,2,0.9,0,0.5,42,0.0010896826653167585,0.0032690479959502756,8.721253710116782,0.10000000000000003,7.412688455006394,0.05153513132311524,9.080508682631327,0.0,0,1.4288154512176283,4.060351299511963,0.696136173289883,48,2666,128000,0.0006977139945476797,0.002837678654593218,0.9999728840884216,1.103727262176711e-05,0.0,0.0,0.0,0.9999728840884216,1.103727262176711e-05,0.40704044154431174,2666,0.6759744114864172
0.0,2,0.9,0,0.75,40,0.00148741867493181,0.00446225602479543,8.721253710116782,0.10000000000000003,7.412688455006394,0.033845372563432424,9.211637353161077,0.0,0,1.4288154512176283,4.060351299511963,0.696136173289883,46,2782,128000,2.190407350892561e-11,0.0018370986213320168,0.9999999999992586,8.498098697767239e-13,0.0,0.0,0.0,0.9999999999992586,8.498098697767239e-13,1.1462124626721244,2782,1.1462124626721244
