seed,seed_index,persistence,rho,maximum_delay,policy,num_agents,gap,eta,updates,finite_time_bound,squared_parameter_error,maximum_squared_error,diverged,finite,charged_budget,within_budget
20261138,8,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.78359520724711,16.805117530547104,False,True,127596,True
20261139,9,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.7706270780121822,16.296592574993774,False,True,127730,True
20261139,9,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.0880793839028,16.154218238863052,False,True,127273,True
20261139,9,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.8872199472107534,16.28567511600108,False,True,127596,True
20261139,9,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,3.2369922103594684,16.58709894180948,False,True,127273,True
20261139,9,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.2369922103594684,16.58709894180948,False,True,127273,True
20261139,9,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,5.162894998718573,16.580371163868605,False,True,127596,True
20261139,9,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,0.9907595146974396,15.947075309374473,False,True,127368,True
20261139,9,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.0880793839028,16.154218238863052,False,True,127273,True
20261139,9,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.784926295355174,16.805146543529517,False,True,127596,True
20261139,9,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,3.2369922103594684,16.58709894180948,False,True,127273,True
20261139,9,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.2369922103594684,16.58709894180948,False,True,127273,True
20261139,9,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.784844532678626,16.80511908097099,False,True,127596,True
20261140,10,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.7774186057329355,16.415618240125735,False,True,127730,True
20261140,10,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.078729983661625,16.58719893052711,False,True,127273,True
20261140,10,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,1.0422579172142032,16.367468509526724,False,True,127596,True
20261140,10,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,4.0148528405884925,16.58709894180948,False,True,127273,True
20261140,10,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,4.0148528405884925,16.58709894180948,False,True,127273,True
20261140,10,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,6.759375942902477,16.568963546209137,False,True,127596,True
20261140,10,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,1.268710409657287,16.676101631295833,False,True,127368,True
20261140,10,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.078729983661625,16.58719893052711,False,True,127273,True
20261140,10,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.78488441952977,16.805179711459438,False,True,127596,True
20261140,10,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,4.0148528405884925,16.58709894180948,False,True,127273,True
20261140,10,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,4.0148528405884925,16.58709894180948,False,True,127273,True
20261140,10,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.78685241264119,16.805106867297383,False,True,127596,True
20261141,11,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.7182944280970988,16.344622090399945,False,True,127730,True
20261141,11,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.1831856047975258,16.588906084676097,False,True,127273,True
20261141,11,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.667387274455665,16.245784291616218,False,True,127596,True
20261141,11,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,3.134925444638237,16.72496873185336,False,True,127273,True
20261141,11,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.134925444638237,16.72496873185336,False,True,127273,True
20261141,11,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,5.169104598889554,16.7087789184569,False,True,127596,True
20261141,11,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,0.9287567403371019,16.54986038466826,False,True,127368,True
20261141,11,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.1831856047975258,16.588906084676097,False,True,127273,True
20261141,11,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.78508248473615,16.80513042939821,False,True,127596,True
20261141,11,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,3.134925444638237,16.72496873185336,False,True,127273,True
20261141,11,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.134925444638237,16.72496873185336,False,True,127273,True
20261141,11,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.78347526135359,16.805254081330595,False,True,127596,True
20261142,12,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.7175076328354008,16.202328150288864,False,True,127730,True
20261142,12,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.561743946705512,16.154218238863052,False,True,127273,True
20261142,12,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.6795790126041313,16.257254809621998,False,True,127596,True
20261142,12,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,3.705245206901811,16.76385944436746,False,True,127273,True
20261142,12,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.705245206901811,16.76385944436746,False,True,127273,True
20261142,12,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,5.092574398298449,16.761795500256127,False,True,127596,True
20261142,12,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,0.9847897902093918,16.051760351235185,False,True,127368,True
20261142,12,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.561743946705512,16.154218238863052,False,True,127273,True
20261142,12,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.785002887064685,16.80513501160559,False,True,127596,True
20261142,12,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,3.705245206901811,16.76385944436746,False,True,127273,True
20261142,12,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.705245206901811,16.76385944436746,False,True,127273,True
20261142,12,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.785186287047026,16.805309913131925,False,True,127596,True
20261143,13,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.5531281337453571,16.147152495064084,False,True,127730,True
20261143,13,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.2095791005701813,16.588906084676097,False,True,127273,True
20261143,13,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.69121091143019,16.280690359610823,False,True,127596,True
20261143,13,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,3.7011089489728466,16.805335396634618,False,True,127273,True
20261143,13,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.7011089489728466,16.805335396634618,False,True,127273,True
20261143,13,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,5.316908259837371,16.80533412670953,False,True,127596,True
20261143,13,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,1.034297489583962,16.37399164480949,False,True,127368,True
20261143,13,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.2095791005701813,16.588906084676097,False,True,127273,True
20261143,13,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.784580391295354,16.805144581370534,False,True,127596,True
20261143,13,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,3.7011089489728466,16.805335396634618,False,True,127273,True
20261143,13,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.7011089489728466,16.805335396634618,False,True,127273,True
20261143,13,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.784238292608595,16.805355667717684,False,True,127596,True
