seed,seed_index,rho,max_delay,num_agents,eta,budget,squared_parameter_error,updates,update_cost,charged_budget,finite
20260930,0,0.0,0,8,0.001,32000,0.6010992463298371,2666,12,31992,True
20260930,0,0.0,0,8,0.0014407573116637057,2000,2.1196869477756404,166,12,1992,True
20260930,0,0.0,0,8,0.0014407573116637057,8000,1.4543165807208656,666,12,7992,True
20260930,0,0.0,0,8,0.0014407573116637057,32000,0.3313535536735809,2666,12,31992,True
20260930,0,0.0,0,8,0.0020757816311124263,2000,1.9907964636920488,166,12,1992,True
20260930,0,0.0,0,8,0.0020757816311124263,8000,1.162034019282353,666,12,7992,True
20260930,0,0.0,0,8,0.0020757816311124263,32000,0.14218073356711838,2666,12,31992,True
20260930,0,0.0,0,8,0.002990697562442441,2000,1.8199630950461358,166,12,1992,True
20260930,0,0.0,0,8,0.002990697562442441,8000,0.8444578917036872,666,12,7992,True
20260930,0,0.0,0,8,0.002990697562442441,32000,0.04302502325490337,2666,12,31992,True
20260930,0,0.0,0,8,0.004308869380063765,2000,1.601479456301757,166,12,1992,True
20260930,0,0.0,0,8,0.004308869380063765,8000,0.5364872230924702,666,12,7992,True
20260930,0,0.0,0,8,0.004308869380063765,32000,0.008757208194552168,2666,12,31992,True
20260930,0,0.0,0,8,0.006208035064330728,2000,1.3357858616001692,166,12,1992,True
20260930,0,0.0,0,8,0.006208035064330728,8000,0.2815447471635637,666,12,7992,True
20260930,0,0.0,0,8,0.006208035064330728,32000,0.002176713503280907,2666,12,31992,True
20260930,0,0.0,0,8,0.008944271909999161,2000,1.034712296188589,166,12,1992,True
20260930,0,0.0,0,8,0.008944271909999161,8000,0.11260220378690225,666,12,7992,True
20260930,0,0.0,0,8,0.008944271909999161,32000,0.002115609710808684,2666,12,31992,True
20260930,0,0.0,0,8,0.012886525151839582,2000,0.7254486976351087,166,12,1992,True
20260930,0,0.0,0,8,0.012886525151839582,8000,0.031077317745976808,666,12,7992,True
20260930,0,0.0,0,8,0.012886525151839582,32000,0.0040090208063386775,2666,12,31992,True
20260930,0,0.0,0,8,0.018566355334451116,2000,0.4479373960113641,166,12,1992,True
20260930,0,0.0,0,8,0.018566355334451116,8000,0.006292830343725163,666,12,7992,True
20260930,0,0.0,0,8,0.018566355334451116,32000,0.007376153970765186,2666,12,31992,True
20260930,0,0.0,0,8,0.026749612199056874,2000,0.2405529907429179,166,12,1992,True
20260930,0,0.0,0,8,0.026749612199056874,8000,0.0031386742611453165,666,12,7992,True
20260930,0,0.0,0,8,0.026749612199056874,32000,0.011996788125055042,2666,12,31992,True
20260930,0,0.0,0,8,0.03853969935995983,2000,0.11778843777648886,166,12,1992,True
20260930,0,0.0,0,8,0.03853969935995983,8000,0.004759797840799693,666,12,7992,True
20260930,0,0.0,0,8,0.03853969935995983,32000,0.01875339719782572,2666,12,31992,True
