rho,max_delay,budget,num_agents,eta,mean_error
0.75,8,32000,8,0.004308869380063765,0.031563619345223
0.75,8,32000,16,0.006208035064330728,0.05347008099736539
0.75,8,32000,32,0.012886525151839582,0.08755847017235052
0.75,32,2000,1,0.018566355334451116,0.17421908139842368
0.75,32,2000,2,0.026749612199056874,0.17960081625579052
0.75,32,2000,4,0.026749612199056874,0.22368632938889157
0.75,32,2000,8,0.03853969935995983,0.32650827973427254
0.75,32,2000,16,0.05552635364218317,0.3768112288441736
0.75,32,2000,32,0.08,0.6081636595854802
0.75,32,8000,1,0.006208035064330728,0.06275547149918312
0.75,32,8000,2,0.008944271909999161,0.07223749768410324
0.75,32,8000,4,0.012886525151839582,0.08127661201820918
0.75,32,8000,8,0.012886525151839582,0.11782687495128322
0.75,32,8000,16,0.026749612199056874,0.15394643251259074
0.75,32,8000,32,0.026749612199056874,0.21209579315535274
0.75,32,32000,1,0.0020757816311124263,0.0179376342921145
0.75,32,32000,2,0.002990697562442441,0.022693894072733187
0.75,32,32000,4,0.002990697562442441,0.023905808078379814
0.75,32,32000,8,0.004308869380063765,0.031259740581668846
0.75,32,32000,16,0.006208035064330728,0.05304553916019447
0.75,32,32000,32,0.012886525151839582,0.08814465764229201
0.9,0,2000,1,0.026749612199056874,0.1836271527092628
0.9,0,2000,2,0.026749612199056874,0.19605791871791947
0.9,0,2000,4,0.026749612199056874,0.25628262265314145
0.9,0,2000,8,0.03853969935995983,0.3760988860567484
0.9,0,2000,16,0.05552635364218317,0.44782884470591816
0.9,0,2000,32,0.08,0.706043603706669
0.9,0,8000,1,0.006208035064330728,0.06682564280644802
0.9,0,8000,2,0.008944271909999161,0.08257682479690588
0.9,0,8000,4,0.012886525151839582,0.0948168381736769
0.9,0,8000,8,0.012886525151839582,0.1347641871882884
0.9,0,8000,16,0.026749612199056874,0.17923249694847257
0.9,0,8000,32,0.03853969935995983,0.24459705693822337
0.9,0,32000,1,0.0020757816311124263,0.01934977366848781
0.9,0,32000,2,0.002990697562442441,0.02303835638888652
0.9,0,32000,4,0.002990697562442441,0.024947267963089135
0.9,0,32000,8,0.004308869380063765,0.03572627274246472
0.9,0,32000,16,0.006208035064330728,0.06123647657283101
0.9,0,32000,32,0.012886525151839582,0.10291478399232552
0.9,8,2000,1,0.026749612199056874,0.1836271527092628
0.9,8,2000,2,0.026749612199056874,0.19605791871791947
0.9,8,2000,4,0.026749612199056874,0.25628262265314145
0.9,8,2000,8,0.03853969935995983,0.373595469847662
0.9,8,2000,16,0.05552635364218317,0.4379415637855369
0.9,8,2000,32,0.08,0.674020107052924
0.9,8,8000,1,0.006208035064330728,0.06682564280644802
0.9,8,8000,2,0.008944271909999161,0.08257682479690588
0.9,8,8000,4,0.012886525151839582,0.0948168381736769
0.9,8,8000,8,0.012886525151839582,0.13408757800855514
0.9,8,8000,16,0.026749612199056874,0.17730449615513144
0.9,8,8000,32,0.03853969935995983,0.24635946666525912
0.9,8,32000,1,0.0020757816311124263,0.01934977366848781
0.9,8,32000,2,0.002990697562442441,0.02303835638888652
0.9,8,32000,4,0.002990697562442441,0.024947267963089135
0.9,8,32000,8,0.004308869380063765,0.035612545770620126
0.9,8,32000,16,0.006208035064330728,0.060675485722277246
0.9,8,32000,32,0.012886525151839582,0.10198895106970639
0.9,32,2000,1,0.026749612199056874,0.1836271527092628
0.9,32,2000,2,0.026749612199056874,0.19605791871791947
0.9,32,2000,4,0.026749612199056874,0.2533027352938224
0.9,32,2000,8,0.03853969935995983,0.3661029552145834
0.9,32,2000,16,0.05552635364218317,0.4264242030774494
0.9,32,2000,32,0.05552635364218317,0.7047964743737318
0.9,32,8000,1,0.006208035064330728,0.06682564280644802
0.9,32,8000,2,0.008944271909999161,0.08257682479690588
0.9,32,8000,4,0.012886525151839582,0.09431074664113363
0.9,32,8000,8,0.012886525151839582,0.1316921278354402
0.9,32,8000,16,0.018566355334451116,0.17243406955479457
0.9,32,8000,32,0.026749612199056874,0.23729712976856526
0.9,32,32000,1,0.0020757816311124263,0.01934977366848781
0.9,32,32000,2,0.002990697562442441,0.02303835638888652
0.9,32,32000,4,0.002990697562442441,0.02481336035605494
0.9,32,32000,8,0.004308869380063765,0.035271004845529176
0.9,32,32000,16,0.006208035064330728,0.060284915596321216
0.9,32,32000,32,0.012886525151839582,0.10306866489069219
1.0,0,2000,1,0.018566355334451116,0.19768339032769766
1.0,0,2000,2,0.026749612199056874,0.22505178873472742
1.0,0,2000,4,0.026749612199056874,0.2753324899786894
1.0,0,2000,8,0.03853969935995983,0.40536502619472137
1.0,0,2000,16,0.05552635364218317,0.48113857849831426
1.0,0,2000,32,0.08,0.7582768554292428
1.0,0,8000,1,0.006208035064330728,0.06511582033417394
1.0,0,8000,2,0.008944271909999161,0.0829876757192663
1.0,0,8000,4,0.012886525151839582,0.10139846325547855
1.0,0,8000,8,0.012886525151839582,0.14744023670750991
1.0,0,8000,16,0.018566355334451116,0.1976833903276977
1.0,0,8000,32,0.03853969935995983,0.27268973879737657
1.0,0,32000,1,0.0020757816311124263,0.018833121013321887
1.0,0,32000,2,0.002990697562442441,0.02328409710955944
1.0,0,32000,4,0.002990697562442441,0.02607939645501675
1.0,0,32000,8,0.004308869380063765,0.03737677447961199
1.0,0,32000,16,0.006208035064330728,0.06511582033417393
1.0,0,32000,32,0.012886525151839582,0.11395772457321443
1.0,8,2000,1,0.018566355334451116,0.19768339032769766
1.0,8,2000,2,0.026749612199056874,0.22505178873472742
1.0,8,2000,4,0.026749612199056874,0.2753324899786894
1.0,8,2000,8,0.03853969935995983,0.40278543226111874
1.0,8,2000,16,0.05552635364218317,0.4699516050339539
1.0,8,2000,32,0.08,0.7272453265129688
1.0,8,8000,1,0.006208035064330728,0.06511582033417394
1.0,8,8000,2,0.008944271909999161,0.0829876757192663
1.0,8,8000,4,0.012886525151839582,0.10139846325547855
1.0,8,8000,8,0.012886525151839582,0.14669314488523816
1.0,8,8000,16,0.018566355334451116,0.19303653251281017
1.0,8,8000,32,0.026749612199056874,0.26645999154232863
1.0,8,32000,1,0.0020757816311124263,0.018833121013321887
1.0,8,32000,2,0.002990697562442441,0.02328409710955944
1.0,8,32000,4,0.002990697562442441,0.02607939645501675
1.0,8,32000,8,0.004308869380063765,0.037247981222644715
1.0,8,32000,16,0.006208035064330728,0.06451995735670675
1.0,8,32000,32,0.012886525151839582,0.11291179798860893
1.0,32,2000,1,0.018566355334451116,0.19768339032769766
1.0,32,2000,2,0.026749612199056874,0.22505178873472742
1.0,32,2000,4,0.026749612199056874,0.2724388435623303
1.0,32,2000,8,0.03853969935995983,0.3951110674385568
1.0,32,2000,16,0.05552635364218317,0.45862382083062814
1.0,32,2000,32,0.05552635364218317,0.7459180661807672
1.0,32,8000,1,0.006208035064330728,0.06511582033417394
1.0,32,8000,2,0.008944271909999161,0.0829876757192663
1.0,32,8000,4,0.012886525151839582,0.1008504414119156
1.0,32,8000,8,0.012886525151839582,0.14410123995763002
1.0,32,8000,16,0.018566355334451116,0.18782712026266676
1.0,32,8000,32,0.026749612199056874,0.2573492600877545
1.0,32,32000,1,0.0020757816311124263,0.018833121013321887
1.0,32,32000,2,0.002990697562442441,0.02328409710955944
1.0,32,32000,4,0.002990697562442441,0.025928561647172634
1.0,32,32000,8,0.004308869380063765,0.036875252864476946
1.0,32,32000,16,0.006208035064330728,0.06416232181511348
1.0,32,32000,32,0.012886525151839582,0.1143092086317371
