persistence,rho,num_agents,maximum_delay,delay_profile,curvature,monotonicity,stationary_mean_boundary,scalar_eta,scalar_radius,scalar_residual,markov_boundary,markov_below_radius,markov_below_residual,markov_above_radius,markov_above_residual,markov_operator_dimension,iid_boundary,iid_below_radius,iid_below_residual,iid_above_radius,iid_above_residual,markov_mean_boundary,markov_mean_below_radius,markov_mean_below_residual,markov_mean_above_radius,markov_mean_above_residual,markov_to_iid_ratio,scalar_to_markov_ratio,ms_to_markov_mean_ratio
0.9,0.9,1,2,2,1.625,0.049999999999999975,0.7186441729590298,0.056684492632886135,0.9947701749491669,1.353495104067696e-15,0.6711531377713995,0.999999951605239,2.32431819060589e-15,1.000000048800321,1.6609375723381928e-15,72,0.6860504976258361,0.9999999461134729,1.2310540693541353e-15,1.000000054731268,1.8633261783158882e-15,0.7068420139245446,0.9999999706440514,2.058253059370662e-15,1.0000000294164815,2.8690698598008362e-15,0.9782853304443465,0.08445835896872966,0.9495094017473685
0.98,0.9,1,2,2,1.625,0.049999999999999975,0.7186441729590298,0.056684492632886135,0.9964817764560607,4.1529573510410085e-15,0.6647691049347095,0.9999999468074872,2.753967144208847e-15,1.0000000540969725,2.163148134712505e-15,72,0.6860504976258361,0.9999999461134729,1.2310540693541353e-15,1.000000054731268,1.8633261783158882e-15,0.6936384498710266,0.9999999706981048,2.0108909744775927e-15,1.00000002929511,1.5494761546160277e-15,0.968979845121061,0.08526944500294342,0.9583798375916373
0.5,0.0,2,0,"0,0",1.4710999999999999,0.049999999999999975,2.3255813954025504,0.06604583581009547,0.9934065831918047,8.028849311206474e-16,2.1284956832276087,0.9999997770094824,9.44565264073706e-16,1.0000002237831294,7.872391734385275e-16,8,2.1284956832276087,0.9999997770094815,2.22318884860134e-17,1.0000002237831287,1.1322636088873992e-16,2.3255813932369005,0.9999997963212759,7.522600901230813e-16,1.000000200046193,1.1027115047905727e-15,1.0,0.031029349192733563,0.9152531446190432
0.9,0.0,2,0,"0,0",1.4710999999999999,0.049999999999999975,2.3255813954025504,0.06604583581009547,0.994286328228585,6.784765545224104e-16,2.1229601096637207,0.999999702704445,4.4119307799056347e-16,1.0000002956450147,1.611321878176606e-15,8,2.1284956832276087,0.9999997770094815,2.22318884860134e-17,1.0000002237831287,1.1322636088873992e-16,2.242437053248315,0.999999799661991,1.1604353567155544e-15,1.0000002019043128,1.6088660122137097e-15,0.997399302424004,0.03111025756416931,0.9467200457593563
0.98,0.0,2,0,"0,0",1.4710999999999999,0.049999999999999975,2.3255813954025504,0.06604583581009547,0.9961810108594928,3.0560882266374915e-16,2.1208804408145063,0.9999996735529493,1.0675077274164938e-15,1.0000003236781403,1.0377764811852995e-15,8,2.1284956832276087,0.9999997770094815,2.22318884860134e-17,1.0000002237831287,1.1322636088873992e-16,2.234158479812457,0.9999997970473211,1.4109008436168174e-15,1.0000002005958393,1.5463617361248926e-15,0.996422242021391,0.03114076330711557,0.9492972230835389
0.5,0.9,2,0,"0,0",1.60961,0.049999999999999975,2.3255813954025504,0.06051034424338474,0.9939583965377733,8.012608661959368e-16,2.0218238568433664,0.9999998065443292,5.93282037188986e-16,1.000000196079212,5.57381742600453e-16,8,2.0218238568433664,0.9999998065443295,1.1126369438744606e-16,1.0000001960792113,2.0078301487191944e-17,2.3255813932369005,0.9999997963212759,7.522600901230813e-16,1.000000200046193,1.1027115047905727e-15,1.0,0.02992859345218052,0.8693842592321639
0.9,0.9,2,0,"0,0",1.60961,0.049999999999999975,2.3255813954025504,0.06051034424338474,0.994708160341121,7.352868612611391e-16,2.021439751788334,0.9999997801249676,8.780700044890696e-16,1.0000002201611986,5.690289646710139e-16,8,2.0218238568433664,0.9999998065443295,1.1126369438744606e-16,1.0000001960792113,2.0078301487191944e-17,2.242437053248315,0.999999799661991,1.1604353567155544e-15,1.0000002019043128,1.6088660122137097e-15,0.9998100205150253,0.029934280351344753,0.9014477123717465
0.98,0.9,2,0,"0,0",1.60961,0.049999999999999975,2.3255813954025504,0.06051034424338474,0.9964071469215829,1.7365742416277468e-15,2.0212782377098275,0.9999997690535202,5.135601900670257e-16,1.0000002332772808,6.977125966815983e-16,8,2.0218238568433664,0.9999998065443295,1.1126369438744606e-16,1.0000001960792113,2.0078301487191944e-17,2.234158479812457,0.9999997970473211,1.4109008436168174e-15,1.0000002005958393,1.5463617361248926e-15,0.9997301351788426,0.029936672306898667,0.9047156931676129
0.5,0.0,2,2,"0,2",1.4710999999999999,0.049999999999999975,2.3255813954025504,0.06604583581009547,0.9933846716498412,4.3998722427659895e-16,1.9630142852888384,0.9999999582445304,1.0199170810922426e-15,1.0000000419643187,2.198291059450955e-15,72,1.9630142852888384,0.9999999582445332,3.2724853841609227e-15,1.0000000419643171,1.5524084650997779e-15,2.3255813932369005,0.9999999830267717,1.1731779262214957e-15,1.0000000666820639,1.3076838167775818e-15,1.0,0.03364511216502812,0.8440961434407519
0.9,0.0,2,2,"0,2",1.4710999999999999,0.049999999999999975,2.3255813954025504,0.06604583581009547,0.9941397241403713,1.451277504474516e-15,1.9754888869821234,0.9999999612050707,2.467964087331158e-15,1.0000000383017658,2.073241954872314e-15,72,1.9630142852888384,0.9999999582445332,3.2724853841609227e-15,1.0000000419643171,1.5524084650997779e-15,2.257133335153573,0.9999999330726992,2.3256787516372747e-15,1.0000000681249477,1.62174286866174e-15,1.0063548196193843,0.03343265368148494,0.875220287705207
