seed,seed_index,scenario,max_delay,policy,probe_num_agents,probe_updates,probe_cost,selected_num_agents,selected_eta,estimated_selected_lrv,true_selected_lrv,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260741,12,independent,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.009170040432046712,0.031515157018018436,0.04687499999999999,32.0,0.009170040432046712,0.00018228404127951844,0.031515157018018436,364.0
20260741,12,independent,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0031046445301837096,0.12488076697689043,0.18749999999999997,8.0,0.0031046445301837096,0.00021954890436960705,0.12488076697689043,1253.0
20260741,12,independent,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,0.5692621885457188,1.4999999999999998,1.0,0.0025,0.000712471393556125,0.5692621885457188,3120.0
20260741,12,clustered,4,adaptive_probe,32.0,80.0,2880.0,8.0,0.0038555270635198514,0.0940627909529926,0.8462644380853276,8.0,0.0038555270635198514,0.00021571124378464687,0.0940627909529926,1093.0
20260741,12,clustered,4,probe_oracle,32.0,80.0,2880.0,4.0,0.0025,0.167236907627285,0.8950479968782517,4.0,0.0025,0.0011629659742007881,0.8950479968782517,1640.0
20260741,12,clustered,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.009170040432046712,0.2555247149912166,0.8688495057232047,32.0,0.009170040432046712,0.0013678607066874428,0.2555247149912166,364.0
20260741,12,clustered,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0038555270635198514,0.0940627909529926,0.8462644380853276,8.0,0.0038555270635198514,0.00019104127823949088,0.0940627909529926,1253.0
20260741,12,clustered,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,2.6055090005059007,3.0564999999999993,1.0,0.0025,0.0032609858939467553,2.6055090005059007,3120.0
20260741,12,clustered,16,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,0.2278955339750122,0.8950479968782517,4.0,0.0025,0.0003091916126529768,0.2278955339750122,1640.0
20260741,12,clustered,16,probe_oracle,32.0,80.0,2880.0,4.0,0.0025,0.2278955339750122,0.8950479968782517,4.0,0.0025,0.0011439489327730755,0.8950479968782517,1640.0
20260741,12,clustered,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.007384130729697496,0.38772611336592777,0.8688495057232047,32.0,0.007384130729697496,0.0017971640306010564,0.38772611336592777,364.0
20260741,12,clustered,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0031046445301837096,0.1779964040979431,0.8462644380853276,8.0,0.0031046445301837096,0.0003227332641173144,0.1779964040979431,1253.0
20260741,12,clustered,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,2.173444740739276,3.0564999999999993,1.0,0.0025,0.0027202264323584187,2.173444740739276,3120.0
20260741,12,global,4,adaptive_probe,32.0,80.0,2880.0,1.0,0.0025,1.5764609485987366,15.575999999999988,1.0,0.0025,0.0019732974115667405,1.5764609485987366,2624.0
20260741,12,global,4,probe_oracle,32.0,80.0,2880.0,1.0,0.0025,1.5764609485987366,15.575999999999988,1.0,0.0025,0.019494588329397246,15.575999999999988,2624.0
20260741,12,global,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.005946035575013605,2.769317033290614,23.418749999999978,32.0,0.005946035575013605,0.009865926189145297,2.769317033290614,364.0
20260741,12,global,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,2.496700941929141,21.698450572320485,8.0,0.0025,0.0033607001640530293,2.496700941929141,1253.0
20260741,12,global,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,1.5764609485987366,15.575999999999988,1.0,0.0025,0.0019730572502494213,1.5764609485987366,3120.0
20260741,12,global,16,adaptive_probe,32.0,80.0,2880.0,1.0,0.0025,1.306975194631058,15.575999999999988,1.0,0.0025,0.0016358876313358824,1.306975194631058,2624.0
20260741,12,global,16,probe_oracle,32.0,80.0,2880.0,1.0,0.0025,1.306975194631058,15.575999999999988,1.0,0.0025,0.019494456674977678,15.575999999999988,2624.0
20260741,12,global,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.0047880164034928676,1.892836643838449,23.418749999999978,32.0,0.0047880164034928676,0.006290416973569381,1.892836643838449,364.0
20260741,12,global,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,1.6057553531053217,21.698450572320485,8.0,0.0025,0.002184945324450192,1.6057553531053217,1253.0
20260741,12,global,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,1.306975194631058,15.575999999999988,1.0,0.0025,0.0016357718698621886,1.306975194631058,3120.0
20260741,12,mixed,4,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,1.7450172702615494,10.848220516822746,4.0,0.0025,0.0022416478758655496,1.7450172702615494,1640.0
20260741,12,mixed,4,probe_oracle,32.0,80.0,2880.0,2.0,0.0025,2.4108326345796174,9.510085154353096,2.0,0.0025,0.011906059650963868,9.510085154353096,2186.0
20260741,12,mixed,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.007384130729697496,1.9369532886111576,12.280795503815458,32.0,0.007384130729697496,0.008136705561029016,1.9369532886111576,364.0
20260741,12,mixed,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,1.6488566658116697,11.382151578217128,8.0,0.0025,0.002444869733090053,1.6488566658116697,1253.0
20260741,12,mixed,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,2.5864178921753647,9.57566666666666,1.0,0.0025,0.0032370984842134743,2.5864178921753647,3120.0
20260741,12,mixed,16,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,1.234047098662428,10.848220516822746,4.0,0.0025,0.0015728899035752266,1.234047098662428,1640.0
20260741,12,mixed,16,probe_oracle,32.0,80.0,2880.0,2.0,0.0025,2.1609661715312236,9.510085154353096,2.0,0.0025,0.01190414746527956,9.510085154353096,2186.0
