policy,scenario,max_delay,budget,mean_mse,standard_error
adaptive_probe,clustered,4,8800.0,0.0022949036746960517,0.0003917837500549025
adaptive_probe,clustered,4,8960.0,0.002259114214276119,0.00037072857853722357
adaptive_probe,clustered,4,9120.0,0.002402259410088519,0.0004066468346501099
adaptive_probe,clustered,4,9280.0,0.0022680725963410055,0.0003826899011831375
adaptive_probe,clustered,4,9440.0,0.002057435676442855,0.0003401822996781445
adaptive_probe,clustered,4,9600.0,0.0018846489757589808,0.00027791638937303204
adaptive_probe,clustered,4,9760.0,0.0017496264936316048,0.00024629809819897217
adaptive_probe,clustered,4,9920.0,0.0016471660650004662,0.00023739941493215578
adaptive_probe,clustered,4,10080.0,0.0016756049293828324,0.0002542260466497853
adaptive_probe,clustered,4,10240.0,0.0016845517519127732,0.00024096172839607028
adaptive_probe,clustered,4,10400.0,0.0017931916042248442,0.00027585597225755033
adaptive_probe,clustered,4,10560.0,0.0016772034000029244,0.00024999542182128096
adaptive_probe,clustered,4,10720.0,0.0014725588782306222,0.00023941031579903022
adaptive_probe,clustered,4,10880.0,0.0013983598531466983,0.00023636271472629505
adaptive_probe,clustered,4,11040.0,0.0013489748907655377,0.0002228933555136105
adaptive_probe,clustered,4,11200.0,0.0014024723552676333,0.0002259172639360945
adaptive_probe,clustered,4,11360.0,0.0014299381779555233,0.00022435574849525417
adaptive_probe,clustered,4,11520.0,0.0013585594499888394,0.0002223185301140145
adaptive_probe,clustered,4,11680.0,0.0013335955685638396,0.00023998224582159097
adaptive_probe,clustered,4,11840.0,0.0013108687074361164,0.00023423325838069955
adaptive_probe,clustered,4,12000.0,0.001444098995117185,0.0002608313512694207
adaptive_probe,clustered,4,12160.0,0.0012479714309204133,0.000247550708966906
adaptive_probe,clustered,4,12320.0,0.0012438776225190031,0.00020271346202498723
adaptive_probe,clustered,4,12480.0,0.0012272541042258104,0.000180439473522052
adaptive_probe,clustered,4,12640.0,0.0014590970746427591,0.0002112125500388004
adaptive_probe,clustered,4,12800.0,0.0014269951734277658,0.00020318215386285935
adaptive_probe,clustered,4,12960.0,0.0014667914871659682,0.00023827513126324886
adaptive_probe,clustered,4,13120.0,0.001458409994084149,0.000256109656632758
adaptive_probe,clustered,4,13280.0,0.0014284468320172913,0.0002132666327201998
adaptive_probe,clustered,4,13440.0,0.0012679892363899263,0.00019882429131461293
adaptive_probe,clustered,4,13600.0,0.0012637471951811364,0.00019008717842458644
adaptive_probe,clustered,4,13760.0,0.0013173278981014232,0.0002060319683255692
adaptive_probe,clustered,4,13920.0,0.001268056667520942,0.00021077409920964088
adaptive_probe,clustered,4,14080.0,0.0013723076010888947,0.00022787489700829363
adaptive_probe,clustered,4,14240.0,0.0014008138430885385,0.00022723764888636416
adaptive_probe,clustered,4,14400.0,0.0014074584699926775,0.00022431596990855361
adaptive_probe,clustered,4,14560.0,0.001507839673784094,0.00022644288343870306
adaptive_probe,clustered,4,14720.0,0.0013558751394960216,0.00018995929005379816
adaptive_probe,clustered,4,14880.0,0.0013834191116730674,0.00020705881512974838
adaptive_probe,clustered,4,15040.0,0.0012547540061381202,0.00018302661132585507
adaptive_probe,clustered,4,15200.0,0.0013157978370409971,0.0001845689475602042
