cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_persistent_auc,mean_strong_static_auc,persistent_to_static_ratio
Falternating-H0.6-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.6,1.5,0.5,0.9,0.9,0,0.2636753175037898,0.2792096771131813,0.9443631045671299
Falternating-H0.6-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.6,1.5,0.5,0.9,0.9,3,0.23168988513969882,0.23827128006598447,0.9723785639441603
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0-D0,single_switch,0.1,0.5,0.1,0.0,0.0,0,0.01058797891449522,0.01031917119727607,1.0260493514527704
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0-D3,single_switch,0.1,0.5,0.1,0.0,0.0,3,0.010666677643129875,0.010768203652838263,0.990571685586423
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0.9-D0,single_switch,0.1,0.5,0.1,0.0,0.9,0,0.038186490527655645,0.028859118337471967,1.3232036433376622
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0.9-D3,single_switch,0.1,0.5,0.1,0.0,0.9,3,0.038499227259081246,0.03623366331186635,1.0625264944290889
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0-D0,single_switch,0.1,0.5,0.1,0.9,0.0,0,0.010774752580251297,0.010475992931865154,1.0285185041961413
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0-D3,single_switch,0.1,0.5,0.1,0.9,0.0,3,0.010905827065262438,0.010973559563347796,0.9938276638774908
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0.9-D0,single_switch,0.1,0.5,0.1,0.9,0.9,0,0.038036176621594205,0.03574916327579513,1.063973898582056
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0.9-D3,single_switch,0.1,0.5,0.1,0.9,0.9,3,0.03646729183548075,0.03467578699176604,1.0516644321335842
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0-D0,single_switch,0.1,0.5,0.5,0.0,0.0,0,0.019650125137333024,0.018504515849907536,1.0619097141864002
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0-D3,single_switch,0.1,0.5,0.5,0.0,0.0,3,0.01945315089255005,0.019005240505711965,1.0235677305269284
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0.9-D0,single_switch,0.1,0.5,0.5,0.0,0.9,0,0.1633764170498996,0.12013979021465557,1.3598859858003123
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0.9-D3,single_switch,0.1,0.5,0.5,0.0,0.9,3,0.16057451949652626,0.11567259263224192,1.388181209070338
Fsingle_switch-H0.1-I0.5-N0.5-S0.9-T0-D0,single_switch,0.1,0.5,0.5,0.9,0.0,0,0.018934134401059052,0.018551014621976815,1.020652227756231
Fsingle_switch-H0.1-I0.5-N0.5-S0.9-T0-D3,single_switch,0.1,0.5,0.5,0.9,0.0,3,0.018477458183348897,0.018363294882101474,1.0062169290413507
Fsingle_switch-H0.1-I0.5-N0.5-S0.9-T0.9-D0,single_switch,0.1,0.5,0.5,0.9,0.9,0,0.17597095526512474,0.16792902854111413,1.0478888420535446
Fsingle_switch-H0.1-I0.5-N0.5-S0.9-T0.9-D3,single_switch,0.1,0.5,0.5,0.9,0.9,3,0.17206705297173305,0.14139058279910677,1.2169626121154944
