cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,persistent_auc,persistent_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,qp_iterations,mean_iterations_per_recipient_decision,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate,mean_rho_upper,mean_effective_samples
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3490259395,0.010333706985310559,0.010186929018160163,0.00401939462038576,240,0,30,12,537,22.375,0.016660564432378924,0.0404257751771442,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3512698917,0.009139732635212441,0.008683948800675753,0.0030280227830021887,240,0,30,12,564,23.5,0.03139467788557928,0.09877039451773768,0.9583333333333334,0.041666666666666664,0.2505938157530678,3.3948938940164233
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2341267830,0.008429525009727329,0.008182341069833841,0.0007184209311798808,240,0,30,12,674,28.083333333333332,0.016980609468366176,0.05076662960811542,0.7916666666666666,0.20833333333333334,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2814696786,0.00889063397881452,0.009895614515547586,0.0014724799861858616,240,0,30,12,594,24.75,0.0320861575669829,0.10301067158016082,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,748652165,0.011255676669457391,0.010945704197884902,0.006059886086280974,240,0,30,12,801,33.375,0.013371335897363024,0.05206807407002163,0.8333333333333334,0.16666666666666666,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,4244158386,0.011228247601275615,0.011641570444499524,0.004997005759945542,240,0,30,12,865,36.041666666666664,0.0069114583826975174,0.037421250974249615,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3723470981,0.012236880407636007,0.012511141972878633,0.00430546872133089,240,0,30,12,685,28.541666666666668,0.00811848047935543,0.0339001511160933,0.875,0.125,0.21745755376532525,3.3700759771012003
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,1808804502,0.011228420951872861,0.011228420951872861,0.004091894932949813,240,0,30,12,457,19.041666666666668,0.031668584147450114,0.05601172770574281,1.0,0.0,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,2863024076,0.012725475080276607,0.012725475080276607,0.0004319620281169198,240,0,30,12,503,20.958333333333332,0.03178173761346663,0.06590322134008653,1.0,0.0,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,2950424385,0.010195276649367369,0.010195276649367369,0.001883190378899478,240,0,30,12,500,20.833333333333332,0.03921868942241249,0.09938179220613907,1.0,0.0,0.2649563776935601,3.365569870593943
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,3476054506,0.009656544341233073,0.010287488854233591,0.0006579419613459334,240,0,30,12,615,25.625,0.019574386126778,0.060769632861455716,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,859049474,0.011608233017147812,0.011952108822315533,0.0011540762951121916,240,0,30,12,675,28.125,0.027162103821858158,0.0722212894572812,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,2088432960,0.01014100031400868,0.01014100031400868,0.0009407900959413107,240,0,30,12,590,24.583333333333332,0.02212290880075714,0.05107315979721608,1.0,0.0,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,4057090488,0.008311398996859449,0.008445380094460248,0.0016432242044929816,240,0,30,12,465,19.375,0.02304156827942155,0.07647038832466267,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,4197492090,0.010416805954992591,0.010570788240131121,0.002604470859862464,240,0,30,12,468,19.5,0.027801184149149144,0.05166935670682942,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,3445129534,0.01050611773882044,0.01050611773882044,0.00013926777644510682,240,0,30,12,458,19.083333333333332,0.033204657374280355,0.05659504901617652,1.0,0.0,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,1554091691,0.00976452382701841,0.00976452382701841,0.0017795721026835302,240,0,30,12,501,20.875,0.027748648517088473,0.05845021094836862,1.0,0.0,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,1360135080,0.010178944555132075,0.010178944555132075,0.0023241323278733713,240,0,30,12,410,17.083333333333332,0.04487458951576284,0.10544595900807406,1.0,0.0,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,2498757706,0.012649717237006315,0.012837247548689387,0.00777482913233074,240,0,30,12,581,24.208333333333332,0.023094318441085112,0.06946376375349522,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,1598408979,0.01027146497977907,0.01027146497977907,0.0012612742467002012,240,0,30,12,484,20.166666666666668,0.02541249830186204,0.06758648089970544,1.0,0.0,0.232475578205535,3.3948938940164233
Fstationary-H0.1-I0.5-N0.1-S0-T0-D3,stationary,0.1,0.5,0.1,0.0,0.0,3,2984591295,0.011561848382586415,0.011561848382586415,0.0017304332102067602,240,0,30,12,641,26.708333333333332,0.024236661054674907,0.08370811099093865,1.0,0.0,0.20871801373759505,3.4288468145846047
