rho,overhead,q,fisher_closed,fisher_direct,fisher_relative_error,minimax_risk,risk_ratio_speedup,effective_speedup,speedup_relative_error,information_per_cost,selected_q,selected_efficiency,adaptive_budget_lower_bound,budget_identity_relative_error
0.25,4.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,4,0.2857142857142857,2.734375e-05,0.0
0.25,4.0,2,1.6,1.6,0.0,0.625,1.6,1.6,0.0,0.26666666666666666,4,0.2857142857142857,2.734375e-05,0.0
0.25,4.0,4,2.2857142857142856,2.2857142857142856,0.0,0.4375,2.2857142857142856,2.2857142857142856,0.0,0.2857142857142857,4,0.2857142857142857,2.734375e-05,0.0
0.25,4.0,8,2.909090909090909,2.9090909090909087,1.5265566588595902e-16,0.34375,2.909090909090909,2.909090909090909,0.0,0.24242424242424243,4,0.2857142857142857,2.734375e-05,0.0
0.25,4.0,16,3.3684210526315788,3.368421052631579,1.3183898417423734e-16,0.296875,3.3684210526315788,3.3684210526315788,0.0,0.16842105263157894,4,0.2857142857142857,2.734375e-05,0.0
0.25,4.0,32,3.657142857142857,3.6571428571428566,1.214306433183765e-16,0.2734375,3.657142857142857,3.657142857142857,0.0,0.10158730158730159,4,0.2857142857142857,2.734375e-05,0.0
0.25,16.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.058823529411764705,8,0.12121212121212122,6.4453125e-05,0.0
0.25,16.0,2,1.6,1.6,0.0,0.625,1.6,1.6,0.0,0.08888888888888889,8,0.12121212121212122,6.4453125e-05,0.0
0.25,16.0,4,2.2857142857142856,2.2857142857142856,0.0,0.4375,2.2857142857142856,2.2857142857142856,0.0,0.11428571428571428,8,0.12121212121212122,6.4453125e-05,0.0
0.25,16.0,8,2.909090909090909,2.9090909090909087,1.5265566588595902e-16,0.34375,2.909090909090909,2.909090909090909,0.0,0.12121212121212122,8,0.12121212121212122,6.4453125e-05,0.0
0.25,16.0,16,3.3684210526315788,3.368421052631579,1.3183898417423734e-16,0.296875,3.3684210526315788,3.3684210526315788,0.0,0.10526315789473684,8,0.12121212121212122,6.4453125e-05,0.0
0.25,16.0,32,3.657142857142857,3.6571428571428566,1.214306433183765e-16,0.2734375,3.657142857142857,3.657142857142857,0.0,0.07619047619047618,8,0.12121212121212122,6.4453125e-05,0.0
0.25,64.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015384615384615385,16,0.042105263157894736,0.00018554687500000003,0.0
0.25,64.0,2,1.6,1.6,0.0,0.625,1.6,1.6,0.0,0.024242424242424242,16,0.042105263157894736,0.00018554687500000003,0.0
0.25,64.0,4,2.2857142857142856,2.2857142857142856,0.0,0.4375,2.2857142857142856,2.2857142857142856,0.0,0.03361344537815126,16,0.042105263157894736,0.00018554687500000003,0.0
0.25,64.0,8,2.909090909090909,2.9090909090909087,1.5265566588595902e-16,0.34375,2.909090909090909,2.909090909090909,0.0,0.04040404040404041,16,0.042105263157894736,0.00018554687500000003,0.0
0.25,64.0,16,3.3684210526315788,3.368421052631579,1.3183898417423734e-16,0.296875,3.3684210526315788,3.3684210526315788,0.0,0.042105263157894736,16,0.042105263157894736,0.00018554687500000003,0.0
0.25,64.0,32,3.657142857142857,3.6571428571428566,1.214306433183765e-16,0.2734375,3.657142857142857,3.657142857142857,0.0,0.03809523809523809,16,0.042105263157894736,0.00018554687500000003,0.0
0.5,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,1,0.5,1.5625e-05,0.0
0.5,1.0,2,1.3333333333333333,1.3333333333333335,1.6653345369377348e-16,0.75,1.3333333333333333,1.3333333333333333,0.0,0.4444444444444444,1,0.5,1.5625e-05,0.0
0.5,1.0,4,1.6,1.6,0.0,0.625,1.6,1.6,0.0,0.32,1,0.5,1.5625e-05,0.0
0.5,1.0,8,1.7777777777777777,1.7777777777777777,0.0,0.5625,1.7777777777777777,1.7777777777777777,0.0,0.19753086419753085,1,0.5,1.5625e-05,0.0
0.5,1.0,16,1.8823529411764706,1.8823529411764706,0.0,0.53125,1.8823529411764706,1.8823529411764706,0.0,0.11072664359861592,1,0.5,1.5625e-05,0.0
0.5,1.0,32,1.9393939393939394,1.93939393939394,2.2898349882893854e-16,0.515625,1.9393939393939394,1.9393939393939394,0.0,0.05876951331496786,1,0.5,1.5625e-05,0.0
0.5,4.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,2,0.2222222222222222,3.5156250000000004e-05,0.0
0.5,4.0,2,1.3333333333333333,1.3333333333333335,1.6653345369377348e-16,0.75,1.3333333333333333,1.3333333333333333,0.0,0.2222222222222222,2,0.2222222222222222,3.5156250000000004e-05,0.0
0.5,4.0,4,1.6,1.6,0.0,0.625,1.6,1.6,0.0,0.2,2,0.2222222222222222,3.5156250000000004e-05,0.0
0.5,4.0,8,1.7777777777777777,1.7777777777777777,0.0,0.5625,1.7777777777777777,1.7777777777777777,0.0,0.14814814814814814,2,0.2222222222222222,3.5156250000000004e-05,0.0
0.5,4.0,16,1.8823529411764706,1.8823529411764706,0.0,0.53125,1.8823529411764706,1.8823529411764706,0.0,0.09411764705882353,2,0.2222222222222222,3.5156250000000004e-05,0.0
0.5,4.0,32,1.9393939393939394,1.93939393939394,2.2898349882893854e-16,0.515625,1.9393939393939394,1.9393939393939394,0.0,0.05387205387205388,2,0.2222222222222222,3.5156250000000004e-05,0.0
0.5,16.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.058823529411764705,4,0.08,9.765625e-05,0.0
0.5,16.0,2,1.3333333333333333,1.3333333333333335,1.6653345369377348e-16,0.75,1.3333333333333333,1.3333333333333333,0.0,0.07407407407407407,4,0.08,9.765625e-05,0.0
0.5,16.0,4,1.6,1.6,0.0,0.625,1.6,1.6,0.0,0.08,4,0.08,9.765625e-05,0.0
0.5,16.0,8,1.7777777777777777,1.7777777777777777,0.0,0.5625,1.7777777777777777,1.7777777777777777,0.0,0.07407407407407407,4,0.08,9.765625e-05,0.0
0.5,16.0,16,1.8823529411764706,1.8823529411764706,0.0,0.53125,1.8823529411764706,1.8823529411764706,0.0,0.058823529411764705,4,0.08,9.765625e-05,0.0
0.5,16.0,32,1.9393939393939394,1.93939393939394,2.2898349882893854e-16,0.515625,1.9393939393939394,1.9393939393939394,0.0,0.04040404040404041,4,0.08,9.765625e-05,0.0
0.5,64.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015384615384615385,8,0.024691358024691357,0.00031640625,0.0
0.5,64.0,2,1.3333333333333333,1.3333333333333335,1.6653345369377348e-16,0.75,1.3333333333333333,1.3333333333333333,0.0,0.0202020202020202,8,0.024691358024691357,0.00031640625,0.0
0.5,64.0,4,1.6,1.6,0.0,0.625,1.6,1.6,0.0,0.023529411764705882,8,0.024691358024691357,0.00031640625,0.0
0.5,64.0,8,1.7777777777777777,1.7777777777777777,0.0,0.5625,1.7777777777777777,1.7777777777777777,0.0,0.024691358024691357,8,0.024691358024691357,0.00031640625,0.0
0.5,64.0,16,1.8823529411764706,1.8823529411764706,0.0,0.53125,1.8823529411764706,1.8823529411764706,0.0,0.023529411764705882,8,0.024691358024691357,0.00031640625,0.0
0.5,64.0,32,1.9393939393939394,1.93939393939394,2.2898349882893854e-16,0.515625,1.9393939393939394,1.9393939393939394,0.0,0.020202020202020204,8,0.024691358024691357,0.00031640625,0.0
0.75,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,1,0.5,1.5625e-05,0.0
0.75,1.0,2,1.1428571428571428,1.1428571428571428,0.0,0.875,1.1428571428571428,1.1428571428571428,0.0,0.38095238095238093,1,0.5,1.5625e-05,0.0
0.75,1.0,4,1.2307692307692308,1.2307692307692308,0.0,0.8125,1.2307692307692308,1.2307692307692308,0.0,0.24615384615384617,1,0.5,1.5625e-05,0.0
0.75,1.0,8,1.28,1.2799999999999998,1.734723475976807e-16,0.78125,1.28,1.28,0.0,0.14222222222222222,1,0.5,1.5625e-05,0.0
0.75,1.0,16,1.3061224489795917,1.306122448979592,1.7000290064572712e-16,0.765625,1.3061224489795917,1.3061224489795917,0.0,0.07683073229291716,1,0.5,1.5625e-05,0.0
0.75,1.0,32,1.3195876288659794,1.3195876288659796,1.682681771697503e-16,0.7578125,1.3195876288659794,1.3195876288659794,0.0,0.03998750390502968,1,0.5,1.5625e-05,0.0
0.75,4.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,1,0.2,3.90625e-05,0.0
