cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,noise_mean,noise_second_moment,local_auc,charged_shadow_auc,strong_static_auc,observable_auc,clairvoyant_auc,full_sharing_auc,local_terminal,strong_static_terminal,observable_terminal,observable_actions,observable_shadow_states,observable_checkpoint_violations,observable_learning_transitions,observable_probe_transitions,observable_environment_used,observable_message_units,observable_candidate_scores,shift_changes,shift_total,other_changes,other_total
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3689771675,-0.011878878122943621,0.09708019212939961,0.010116511965372067,0.014151309161691475,0.00999648837642825,0.011844731535066289,0.010258899608893578,0.013335251429870321,0.0016651086047899495,0.0020667464916333403,0.0017379457041192866,"[[0,2,2,2],[0,0,5,0],[0,0,0,0],[1,2,0,0],[0,0,0,4],[0,0,6,0]]","[[false,false,false,false],[true,false,false,true],[false,true,false,true],[false,false,true,true],[true,true,true,false],[true,true,false,true]]",3,216,24,240,17,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1151854685,0.003955631197508306,0.10210246720538088,0.008552799513467976,0.011418525293767336,0.008160130434397443,0.013706797826394201,0.008002309274925835,0.012232176021788945,0.00022470786541798759,0.0001891279348640948,0.0005199749556166057,"[[0,2,3,2],[6,4,2,2],[0,2,2,6],[0,3,6,0],[2,0,4,6],[2,3,0,0]]","[[false,false,false,false],[false,false,false,false],[true,false,false,false],[true,false,false,true],[false,true,false,false],[false,false,true,false]]",11,216,24,240,18,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2094958580,0.0002892566321526772,0.09906489856811934,0.008774589192332058,0.011932357041610475,0.00836640943460919,0.012035695552015087,0.008919630807846897,0.011651580225832237,0.005442721741874872,0.005201885169362458,0.004946041878999836,"[[0,2,2,1],[0,2,0,4],[0,0,0,4],[0,0,0,0],[0,2,4,0],[4,0,3,0]]","[[false,false,false,false],[false,false,false,false],[true,true,true,false],[true,false,true,true],[true,false,false,true],[false,true,false,true]]",5,216,24,240,17,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1636281357,0.01972155420941636,0.10824724454801547,0.012144225555406384,0.01629109812582751,0.011877048219467445,0.015401584832342616,0.011411765860336162,0.015446612567158886,0.0025958349546552715,0.00180182903881925,0.0028473250829160832,"[[0,2,2,2],[0,2,0,2],[4,0,0,6],[6,0,0,0],[0,0,4,0],[2,0,0,0]]","[[true,false,false,false],[false,false,true,false],[false,false,false,false],[false,true,true,true],[true,false,false,false],[false,true,true,false]]",4,216,24,240,18,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,830070239,-0.010914554883369457,0.10354178554551355,0.009223296000366959,0.012863356821951444,0.009097171016972057,0.010537088083699096,0.010211296328961447,0.013553544835381673,0.0010029108602920755,0.000856321053468565,0.0011717715587415667,"[[2,0,4,2],[0,2,3,0],[0,0,0,0],[2,0,3,6],[0,0,6,0],[0,0,6,0]]","[[false,false,false,false],[true,false,false,false],[true,true,true,false],[false,true,false,false],[true,true,false,true],[true,true,false,true]]",3,216,24,240,17,168,0,0,4,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3490259395,-0.003641432680653392,0.09168283296328252,0.011028258089083122,0.013960135364626486,0.010333706985310559,0.014367882664286255,0.010601992993607758,0.014943523013555468,0.00401939462038576,0.002748438619889807,0.005122668885714226,"[[0,2,2,0],[2,0,0,0],[6,0,0,0],[2,0,0,0],[6,0,0,0],[3,0,6,0]]","[[false,false,false,false],[false,true,true,true],[false,true,false,false],[false,false,true,true],[false,true,true,false],[false,false,false,true]]",3,216,24,240,18,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3512698917,-0.0011488670264054848,0.10134308743842783,0.009315881501979833,0.014082430892702119,0.009139732635212441,0.013789982916713905,0.012328176275513912,0.012391534131826065,0.0030280227830021887,0.0028131358227307564,0.0019702247468092785,"[[2,0,4,4],[0,2,2,6],[0,0,0,0],[0,0,0,0],[4,0,6,0],[0,0,3,0]]","[[false,false,false,false],[false,false,false,false],[true,true,true,false],[false,true,false,true],[false,false,false,true],[true,true,false,true]]",6,216,24,240,16,168,0,0,4,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2341267830,-0.01241331488963108,0.10477161143380204,0.008530627066367263,0.012677188969783704,0.008429525009727329,0.013356064226343745,0.010871025877148513,0.01295187479914104,0.0007184209311798808,0.0007806775821345805,0.0007096785342042546,"[[0,2,2,2],[0,2,0,0],[3,2,0,0],[0,0,0,4],[0,0,0,0],[2,0,0,0]]","[[false,false,false,false],[false,false,false,true],[false,false,true,true],[true,true,true,false],[true,false,false,true],[false,false,true,true]]",3,216,24,240,17,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2814696786,-0.004497240691860403,0.10378375113064935,0.00941815719794128,0.012069479026542165,0.00889063397881452,0.013027546071011553,0.010392949684678661,0.012750486000019143,0.0014724799861858616,0.0025137861172930187,0.002079285075288131,"[[0,2,2,2],[0,0,3,1],[0,0,6,2],[3,0,1,6],[0,2,0,0],[0,0,3,0]]","[[false,false,false,false],[false,false,false,false],[true,true,false,false],[false,true,false,false],[false,false,false,true],[true,true,false,true]]",5,216,24,240,18,168,0,0,5,5
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,748652165,0.00036572722607258377,0.10457131949870607,0.011547275858441461,0.014801396050715392,0.011255676669457391,0.014616131696233672,0.012517905324131431,0.014086442314545802,0.006059886086280974,0.006218912099026503,0.005674487044834652,"[[6,6,0,0],[2,0,6,4],[2,0,0,0],[0,2,0,0],[2,0,0,2],[2,0,0,5]]","[[false,false,true,false],[false,false,false,false],[false,false,true,true],[true,false,true,true],[false,true,true,false],[false,false,false,false]]",6,216,24,240,18,168,0,0,5,5
