cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_local_auc,mean_charged_shadow_auc,mean_strong_static_auc,mean_observable_auc,mean_clairvoyant_auc,mean_full_sharing_auc,observable_to_static_ratio,observable_to_shadow_ratio,clairvoyant_to_static_ratio,observable_cvar90,static_cvar90,shadow_cvar90,checkpoint_violation_rate,shift_change_fraction
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.3,0.5,0.5,0.9,0.9,0,0.14547928223758017,0.1456941893463909,0.14547928223758017,0.16016774591850666,0.09698800465139915,0.16509711378476882,1.1009660169819848,1.0993420302967924,0.6666791529326451,0.275914889022328,0.24287179389777086,0.23981481899708817,0.2825520833333333,1.0
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D1,alternating,0.3,0.5,0.5,0.9,0.9,1,0.15098382593747484,0.15437355769664995,0.15082823548885663,0.16278688361476779,0.10196137438268855,0.17275242557738762,1.079286534693928,1.054499786386023,0.6760098601711851,0.2602046398869188,0.2755083707095564,0.29301685644463105,0.26302083333333337,1.0
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.3,0.5,0.5,0.9,0.9,3,0.12808727977310475,0.1289436146970544,0.11439272836656089,0.12792335847340286,0.0754421193985631,0.13494963259156245,1.1182822570984086,0.9920875785431595,0.6595010056654635,0.2073141332871062,0.18557544539993376,0.2178979894049359,0.20833333333333331,0.96875
Falternating-H0.3-I1.5-N0.1-S0-T0-D0,alternating,0.3,1.5,0.1,0.0,0.0,0,0.08999475669002074,0.12513909673154489,0.08680898251184714,0.10235420487621068,0.09617822114295974,0.11396934196491793,1.1790738920622876,0.8179234751533041,1.10792936813692,0.1103491593686305,0.09317058654605402,0.13145488919108295,0.07291666666666666,1.0
Falternating-H0.3-I1.5-N0.1-S0-T0-D1,alternating,0.3,1.5,0.1,0.0,0.0,1,0.08970722497242772,0.1254025715647314,0.08970722497242772,0.11433766516442953,0.10766778402856461,0.21643395756732947,1.2745647321001423,0.9117649162833134,1.200213071596599,0.12310833218734807,0.09512404564905416,0.13259495958079193,0.07942708333333334,0.984375
Falternating-H0.3-I1.5-N0.1-S0-T0-D3,alternating,0.3,1.5,0.1,0.0,0.0,3,0.09103283062484549,0.1270095123353167,0.09103283062484549,0.11692944444553233,0.11202348187403215,0.32890266722979256,1.284475541877953,0.9206353311303795,1.2305833082977615,0.12165847750602791,0.09573828651267437,0.13175676420645463,0.06510416666666666,1.0
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D0,alternating,0.3,1.5,0.1,0.0,0.9,0,0.11260661236076723,0.14728002350793645,0.1054459293132963,0.1234774885953928,0.1059813139208068,0.12650206457548654,1.1710028959820908,0.8383858561017883,1.0050773378450655,0.15339287762995021,0.1292134656500732,0.18274570035810675,0.19270833333333331,1.0
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D1,alternating,0.3,1.5,0.1,0.0,0.9,1,0.1174774098964555,0.1523923119363457,0.1174774098964555,0.14273786205711103,0.12446723207982033,0.23427582047780937,1.2150239112602166,0.9366473954193482,1.0594992874759979,0.17068032424797713,0.14234234748307592,0.17885855891527158,0.1953125,1.0
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D3,alternating,0.3,1.5,0.1,0.0,0.9,3,0.11371768818514254,0.14694951902572717,0.11371768818514254,0.14249506342551616,0.12167287208854174,0.33875597747850045,1.2530597983448404,0.9696871712834177,1.0699555542357444,0.17585496174797735,0.14738068283963235,0.18409175456563334,0.18359375,1.0
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D0,alternating,0.3,1.5,0.1,0.9,0.0,0,0.09040526416468964,0.1261004380751937,0.08710864944242153,0.10562145438731378,0.09960299286695322,0.11499611612625696,1.2125254502669007,0.8375978386715176,1.1434340160765597,0.1203254184799234,0.09852028543071129,0.14109730154520783,0.07682291666666666,0.984375
