controller_bellman_residual,controller_risk,controller_updates,delay,encoder_sha256,environment_budget,game,learning_environment,learning_message,master_seed,match_count,message_budget,overhead,probe_environment,probe_message,rho,selected_q,strong_bellman_residual,strong_q,strong_risk,true_rho_full_budget_risk,true_rho_q
1.612784526535365e-07,5.467582001684524e-07,8124,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056102,29,393216,32,768,3264,0.3,16,7.207049782188005e-07,4,3.048241203990944e-05,9.581450746801484e-07,16
1.6336119920454714e-07,5.435794743581244e-07,8116,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056102,29,393216,32,768,3264,0.3,16,7.311957301857218e-07,4,3.06933276010225e-05,9.355055823718733e-07,16
2.1326218104105417e-07,1.4001510194081691e-06,16304,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056102,47,196608,8,768,960,0.5,4,2.0358835162688753e-07,4,1.3064249431544694e-06,1.3064249431544694e-06,4
2.276695518829735e-07,1.7002613827252732e-06,16296,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056102,47,196608,8,768,960,0.5,4,2.186588824773054e-07,4,1.5129849407092098e-06,1.5129849407092098e-06,4
1.5361713593337451e-06,7.588037977347753e-05,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056102,47,393216,32,768,3264,0.5,4,1.3602593669615979e-06,4,6.639295499471885e-05,6.639295499471885e-05,4
1.5498066442790952e-06,7.598719322413404e-05,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056102,47,393216,32,768,3264,0.5,4,1.3542969427543292e-06,4,6.54836559994544e-05,6.54836559994544e-05,4
2.1326218104105417e-07,1.4001510194081691e-06,16304,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056102,60,196608,8,768,960,0.7,4,2.0358835162688753e-07,4,1.3064249431544694e-06,3.4225369979204674e-05,1
2.276695518829735e-07,1.7002613827252732e-06,16296,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056102,60,196608,8,768,960,0.7,4,2.186588824773054e-07,4,1.5129849407092098e-06,3.6108849965810165e-05,1
1.5361713593337451e-06,7.588037977347753e-05,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056102,60,393216,32,768,3264,0.7,4,1.3602593669615979e-06,4,6.639295499471885e-05,6.639295499471885e-05,4
1.5498066442790952e-06,7.598719322413404e-05,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056102,60,393216,32,768,3264,0.7,4,1.3542969427543292e-06,4,6.54836559994544e-05,6.54836559994544e-05,4
8.635427416971926e-07,3.390267743154003e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056102,85,196608,8,768,960,0.9,1,2.0358835162688753e-07,4,1.3064249431544694e-06,3.4225369979204674e-05,1
9.128116285630126e-07,3.617271141665694e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056102,85,196608,8,768,960,0.9,1,2.186588824773054e-07,4,1.5129849407092098e-06,3.6108849965810165e-05,1
1.5361713593337451e-06,7.588037977347753e-05,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056102,85,393216,32,768,3264,0.9,4,1.3602593669615979e-06,4,6.639295499471885e-05,2.777940093052269e-06,1
1.5498066442790952e-06,7.598719322413404e-05,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056102,85,393216,32,768,3264,0.9,4,1.3542969427543292e-06,4,6.54836559994544e-05,3.1497907609942145e-06,1
8.635427416971926e-07,3.390267743154003e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056102,96,196608,8,768,960,1.0,1,2.0358835162688753e-07,4,1.3064249431544694e-06,3.4225369979204674e-05,1
9.128116285630126e-07,3.617271141665694e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056102,96,196608,8,768,960,1.0,1,2.186588824773054e-07,4,1.5129849407092098e-06,3.6108849965810165e-05,1
2.6939521811993355e-07,1.8680863710406815e-06,11816,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056102,96,393216,32,768,3264,1.0,1,1.3602593669615979e-06,4,6.639295499471885e-05,2.777940093052269e-06,1
2.8270449217220836e-07,2.157780889650219e-06,11808,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056102,96,393216,32,768,3264,1.0,1,1.3542969427543292e-06,4,6.54836559994544e-05,3.1497907609942145e-06,1
5.632457315421481e-08,1.3159311905490021e-06,8144,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056103,0,196608,8,768,960,0.0,16,7.805737671372941e-07,4,3.63382678279218e-05,1.6736577020374603e-06,16
5.5537747651261444e-08,1.256097662880337e-06,8136,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,130304,195456,202608056103,0,196608,8,768,960,0.0,16,7.790833720981586e-07,4,3.615615572351113e-05,1.6081473559598023e-06,16
5.4493337161218926e-08,1.2063787337346573e-06,8124,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056103,0,393216,32,768,3264,0.0,16,1.3761796188030694e-07,4,1.8602057900118333e-06,1.6736577020374603e-06,16
5.319620584845103e-08,1.135942795937522e-06,8116,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056103,0,393216,32,768,3264,0.0,16,1.3647705057600224e-07,4,1.8052961415482886e-06,1.6081473559598023e-06,16
7.422587148956133e-07,3.441983058119696e-05,16304,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056103,14,196608,8,768,960,0.1,4,7.805737671372941e-07,4,3.63382678279218e-05,5.292205769681786e-06,16
7.430475799397869e-07,3.4398062561681914e-05,16296,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056103,14,196608,8,768,960,0.1,4,7.790833720981586e-07,4,3.615615572351113e-05,5.358416925650456e-06,16
1.6963927227402231e-07,5.802769494786678e-06,8124,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056103,14,393216,32,768,3264,0.1,16,1.3761796188030694e-07,4,1.8602057900118333e-06,5.292205769681786e-06,16
1.736889115761156e-07,5.974084229201564e-06,8116,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056103,14,393216,32,768,3264,0.1,16,1.3647705057600224e-07,4,1.8052961415482886e-06,5.358416925650456e-06,16
3.059265028511858e-07,9.586704476862417e-06,16304,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056103,23,196608,8,768,960,0.3,4,3.1870747697083124e-07,4,1.0073976166934242e-05,1.0073976166934242e-05,4
3.042628148365805e-07,9.506045648052257e-06,16296,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056103,23,196608,8,768,960,0.3,4,3.167825357640718e-07,4,9.956826296330457e-06,9.956826296330457e-06,4
1.4649323407080151e-07,3.199252479745015e-06,8124,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056103,23,393216,32,768,3264,0.3,16,2.0919820448567005e-07,4,1.7853166656964265e-06,2.9801294005464603e-06,16
1.4936065370976162e-07,3.3674096659419226e-06,8116,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,129984,389952,202608056103,23,393216,32,768,3264,0.3,16,2.0651375244179861e-07,4,1.8066362727315858e-06,3.0155855496561536e-06,16
8.53325803697295e-07,3.888016285962796e-05,16304,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056103,42,196608,8,768,960,0.5,4,8.80341263780506e-07,4,4.007600444754541e-05,4.007600444754541e-05,4
8.546698974636457e-07,3.887765682979832e-05,16296,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,65216,195648,202608056103,42,196608,8,768,960,0.5,4,8.823135247099961e-07,4,4.0042299431400865e-05,4.0042299431400865e-05,4
1.0755454371189862e-07,2.058111567696966e-06,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056103,42,393216,32,768,3264,0.5,4,1.2248390964853823e-07,4,2.384978875660892e-06,2.384978875660892e-06,4
1.035455880730494e-07,1.8472379514736786e-06,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056103,42,393216,32,768,3264,0.5,4,1.1849251920415301e-07,4,2.1996723671022616e-06,2.1996723671022616e-06,4
5.983648514763513e-07,1.7479209658342773e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056103,68,196608,8,768,960,0.7,1,8.80341263780506e-07,4,4.007600444754541e-05,2.0904423117593444e-05,1
6.115915892987041e-07,1.7878026369854746e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056103,68,196608,8,768,960,0.7,1,8.823135247099961e-07,4,4.0042299431400865e-05,2.1534712573153302e-05,1
1.0755454371189862e-07,2.058111567696966e-06,10832,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056103,68,393216,32,768,3264,0.7,4,1.2248390964853823e-07,4,2.384978875660892e-06,2.384978875660892e-06,4
1.035455880730494e-07,1.8472379514736786e-06,10824,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,43328,389952,202608056103,68,393216,32,768,3264,0.7,4,1.1849251920415301e-07,4,2.1996723671022616e-06,2.1996723671022616e-06,4
9.477709735417784e-07,3.272013788897839e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056103,86,196608,8,768,960,0.9,1,2.06582317141422e-06,4,9.918107041665634e-05,3.7280952955089116e-05,1
9.443761848772561e-07,3.2479130847011325e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056103,86,196608,8,768,960,0.9,1,2.03628778108129e-06,4,9.771773754224515e-05,3.712335066026766e-05,1
4.2994182487183206e-07,1.6189762084619928e-05,11816,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056103,86,393216,32,768,3264,0.9,1,3.171669758803448e-07,4,1.3370892745128991e-06,2.0908423074192013e-05,1
4.465060631948058e-07,1.7324300076864597e-05,11808,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056103,86,393216,32,768,3264,0.9,1,3.1050592640093414e-07,4,1.42126620042865e-06,2.2258334667389155e-05,1
9.477709735417784e-07,3.272013788897839e-05,21738,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056103,96,196608,8,768,960,1.0,1,2.06582317141422e-06,4,9.918107041665634e-05,3.7280952955089116e-05,1
9.443761848772561e-07,3.2479130847011325e-05,21730,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,21738,195642,202608056103,96,196608,8,768,960,1.0,1,2.03628778108129e-06,4,9.771773754224515e-05,3.712335066026766e-05,1
4.2994182487183206e-07,1.6189762084619928e-05,11816,0,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056103,96,393216,32,768,3264,1.0,1,3.171669758803448e-07,4,1.3370892745128991e-06,2.0908423074192013e-05,1
4.465060631948058e-07,1.7324300076864597e-05,11808,8,3f4859c5e27e416ab37853c9c1d575234e58e18abcc7bf092b869157960e6b2f,131072,asterix,11816,389928,202608056103,96,393216,32,768,3264,1.0,1,3.1050592640093414e-07,4,1.42126620042865e-06,2.2258334667389155e-05,1
