controller_mean_risk,controller_strong_ratio,controller_true_rho_ratio,delay,game,mean_match_count,median_selected_q,overhead,rho,strong_mean_risk,true_rho_full_budget_mean_risk
1.0772488817459291e-05,0.4017137244190774,1.0420904373363236,0,seaquest,67.90625,4.0,32,0.7,2.6816332533914557e-05,1.0337383811902868e-05
1.0811768821059076e-05,0.4026036107946879,1.041948582425577,8,seaquest,67.90625,4.0,32,0.7,2.6854624576560627e-05,1.0376489784064106e-05
7.97541569079505e-06,0.9711772448899344,0.9579314364063908,0,seaquest,67.90625,1.0,8,0.7,8.212111365622987e-06,8.325664434517604e-06
8.021314362575806e-06,0.9708095509749234,0.9527676905044856,8,seaquest,67.90625,1.0,8,0.7,8.262500461105374e-06,8.418961350723975e-06
1.2802485480706516e-05,0.39506018279520416,1.0355822203000211,0,seaquest,86.65625,1.0,32,0.9,3.240641815665644e-05,1.2362596836586742e-05
1.281689637987581e-05,0.3955509383460547,1.0377657860811451,8,seaquest,86.65625,1.0,32,0.9,3.240264435591535e-05,1.2350471129208754e-05
9.300462669909135e-06,0.8904050279074626,0.9934861499336257,0,seaquest,86.65625,1.0,8,0.9,1.0445204573660277e-05,9.361441697531963e-06
9.361515589034104e-06,0.8931462156373037,0.9930694729877911,8,seaquest,86.65625,1.0,8,0.9,1.0481503952131961e-05,9.426848618021304e-06
1.3039882683467098e-05,0.35767105217096695,1.0095027998182924,0,seaquest,96.0,1.0,32,1.0,3.645775246366325e-05,1.2917133747240959e-05
1.2999744210674554e-05,0.3563560495326055,1.013414481462969,8,seaquest,96.0,1.0,32,1.0,3.6479650696894134e-05,1.2827667700098456e-05
8.813845982620457e-06,0.7903018656422754,0.999444366387028,0,seaquest,96.0,1.0,8,1.0,1.1152505600448604e-05,8.818745974308044e-06
8.876990491002668e-06,0.795072892644143,0.9985109260617294,8,seaquest,96.0,1.0,8,1.0,1.116500206852834e-05,8.89022869886341e-06
