original_persistence,decorrelation_gap,target_delta,actual_delta,used_persistence,homogeneous_delay,rho,num_agents,eta,root,lipschitz,monotonicity,effective_monotonicity,curvature,effective_curvature,rms_delay,linear_coefficient,cubic_coefficient,right_hand_side,polynomial_at_eta,contraction_coefficient,exact_boundary,exact_below_radius,exact_below_residual,exact_above_radius,exact_above_residual,exact_operator_dimension,theorem_radius,theorem_residual,theorem_to_exact_ratio,progress_per_raw_transition
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.0,2,0.2303872068278358,0.2303872091317079,2.2,0.655,0.33202371583332824,2.1717625000000003,2.882310325166678,0.0,2.882310325166678,0.0,0.6640474316666565,0.6640474250261821,0.9999999984701196,0.505268816089991,0.9999999502580179,0.0,1.0000000508690639,1.1102230246251568e-16,2,0.8568155678974516,1.5700924586837752e-16,0.45596957399960075,0.0032879274510364737
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.0,4,0.24315695035901788,0.2431569527905874,2.2,0.655,0.33202371583332824,2.02039375,2.7309415751666783,0.0,2.7309415751666783,0.0,0.6640474316666565,0.6640474250261821,0.9999999983853225,0.5419931097191814,0.9999999481279428,0.0,1.0000000530875328,1.1102230246251565e-16,2,0.8489278431483778,2.220446049250313e-16,0.44863476306000066,0.0034847039720225645
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.0,8,0.2500877975152455,0.2500878000161235,2.2,0.655,0.33202371583332824,1.9447093750000004,2.6552572001666785,0.0,2.6552572001666785,0.0,0.6640474316666565,0.6640474250261821,0.9999999983392984,0.5627426543611015,0.9999999467922809,1.5700924586837752e-16,1.0000000537544411,1.5700924586837752e-16,2,0.8446359842253688,0.0,0.4444088173823924,0.0035925432412701893
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.0,16,0.2537035287918045,0.2537035313288398,2.2,0.655,0.33202371583332824,1.9068671875000003,2.617415012666678,0.0,2.617415012666678,0.0,0.6640474316666565,0.664047425026182,0.9999999983152882,0.5738161649456521,0.9999999455497739,1.5700924586837752e-16,1.0000000537203553,1.1102230246251565e-16,2,0.8423936571405921,1.1102230246251565e-16,0.4421338126921425,0.003649103142573117
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.0,32,0.2555508866855559,0.25555088924106484,2.2,0.655,0.33202371583332824,1.8879460937500003,2.5984939189166782,0.0,2.5984939189166782,0.0,0.6640474316666565,0.6640474250261822,0.9999999983030209,0.5795428333707087,0.9999999451403426,0.0,1.000000053927161,1.5700924586837752e-16,2,0.8412470790434138,1.5700924586837752e-16,0.44095254392023686,0.0036780823445018832
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.9,1,0.20848899654793454,0.20848899863282455,2.2,0.655,0.33202371583332824,2.4745000000000004,3.185047825166678,0.0,3.185047825166678,0.0,0.6640474316666565,0.664047425026182,0.9999999986155341,0.44620386298631504,0.9999999532418613,1.5700924586837752e-16,1.000000046179265,1.1102230246251565e-16,2,0.8702935622647725,1.1102230246251568e-16,0.4672505413838805,0.0029558446033819616
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.9,2,0.2104896925118475,0.21048969461674444,2.2,0.655,0.33202371583332824,2.4442262500000003,3.154774075166678,0.0,3.154774075166678,0.0,0.6640474316666565,0.6640474250261821,0.9999999986022485,0.451418119073676,0.9999999527478789,1.1102230246251565e-16,1.000000046399569,1.1102230246251565e-16,2,0.869064216568471,0.0,0.4662854316609596,0.0029859204119181307
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.9,4,0.21150450918052852,0.21150451129557363,2.2,0.655,0.33202371583332824,2.429089375,3.1396372001666784,0.0,3.1396372001666784,0.0,0.6640474316666565,0.6640474250261821,0.9999999985955097,0.4540760290085689,0.9999999530234662,0.0,1.0000000470363837,0.0,2,0.8684405173195833,2.482534153247273e-16,0.46579095937375986,0.0030011954176156676
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.9,8,0.2120155958711471,0.2120155979913031,2.2,0.655,0.33202371583332824,2.4215209375,3.1320687626666777,0.0,3.1320687626666777,0.0,0.6640474316666565,0.6640474250261821,0.9999999985921159,0.45541799148913253,0.9999999534067676,1.1102230246251565e-16,1.0000000476013349,2.220446049250313e-16,2,0.8681263713126925,0.0,0.4655406677674181,0.0030088933159345683
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.9,16,0.21227206659237616,0.21227206871509685,2.2,0.655,0.33202371583332824,2.41773671875,3.1282845439166778,0.0,3.1282845439166778,0.0,0.6640474316666565,0.6640474250261821,0.9999999985904128,0.4560922641536817,0.9999999531222439,1.1102230246251565e-16,1.0000000474078976,1.1102230246251565e-16,2,0.8679687191447554,1.1102230246251565e-16,0.4654147488913568,0.003012757506868727
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,0,0.9,32,0.21240053477916307,0.21240053690316846,2.2,0.655,0.33202371583332824,2.4158446093750006,3.1263924345416783,0.0,3.1263924345416783,0.0,0.6640474316666565,0.6640474250261821,0.9999999985895597,0.456430228608322,0.9999999530525339,0.0,1.0000000473837962,0.0,2,0.8678897476299261,1.1102230246251565e-16,0.46535159475914345,0.003014693430827607
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,2,0.0,1,0.015837595311445952,0.015837595469821907,2.2,0.655,0.33202371583332824,2.4745000000000004,3.185047825166678,2.0,41.90504782516668,93.70240000000003,0.6640474316666565,0.6640474250187374,0.9999999998947129,0.3159872521390263,0.9999999668894115,1.538620514500177e-15,1.0000000326086838,2.0462091044411496e-15,18,0.9796145148687999,1.6174619737278585e-15,0.05012099445226295,0.0004382156782015602
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,2,0.0,2,0.01595264811811016,0.015952648277636643,2.2,0.655,0.33202371583332824,2.1717625000000003,2.882310325166678,2.0,41.602310325166684,93.70240000000003,0.6640474316666565,0.6640474250185741,0.9999999998939455,0.3437263137710891,0.9999999649019484,2.1379001248935344e-15,1.0000000342096802,1.901206280135315e-15,18,0.9793856636923001,1.0280809080416362e-15,0.04641090157774223,0.000443186758902337
0.98,47,0.07443181818181818,0.07340370094697085,0.5734037009469708,2,0.0,4,0.016010802574151387,0.016010802734259415,2.2,0.655,0.33202371583332824,2.02039375,2.7309415751666783,2.0,41.45094157516668,93.70240000000003,0.6640474316666565,0.6640474250184906,0.9999999998935576,0.35965577619071754,0.9999999644153945,2.231348043723767e-15,1.0000000356614733,1.2694952451518828e-15,18,0.9792694971938897,1.1284612883164582e-15,0.04451701775439083,0.0004457105595978437
