policy,scenario,budget,mean_mse,standard_error
fixed_q1_oracle_eta,global_08,15200.0,0.021196517754566775,0.0029788679048684927
fixed_q1_oracle_eta,global_08,15400.0,0.01885666714134381,0.002915253739927459
fixed_q1_oracle_eta,global_08,15600.0,0.019735724868347588,0.002796376810154727
fixed_q1_oracle_eta,global_08,15800.0,0.023647406861725274,0.0027781950705432056
fixed_q1_oracle_eta,global_08,16000.0,0.02359319035530427,0.0030190222895736477
fixed_q1_oracle_eta,clustered_08,0.0,0.0899999999999999,8.620181743291816e-18
fixed_q1_oracle_eta,clustered_08,200.0,0.059018190300934484,0.00209928736241858
fixed_q1_oracle_eta,clustered_08,400.0,0.04289229139447862,0.0023718711895562203
fixed_q1_oracle_eta,clustered_08,600.0,0.03439420597092992,0.0025808599088791456
fixed_q1_oracle_eta,clustered_08,800.0,0.024426493643148976,0.002242449697935028
fixed_q1_oracle_eta,clustered_08,1000.0,0.021418394606076776,0.0021152850125169694
fixed_q1_oracle_eta,clustered_08,1200.0,0.0181461971810463,0.00194353926070528
fixed_q1_oracle_eta,clustered_08,1400.0,0.014685078422514186,0.0017615322018734937
fixed_q1_oracle_eta,clustered_08,1600.0,0.010722467731992622,0.0010387015123160697
fixed_q1_oracle_eta,clustered_08,1800.0,0.009867075505701695,0.001082075257867639
fixed_q1_oracle_eta,clustered_08,2000.0,0.00987969236745908,0.0011750883759074013
fixed_q1_oracle_eta,clustered_08,2200.0,0.008934582980357002,0.0010351205252384574
fixed_q1_oracle_eta,clustered_08,2400.0,0.008121875506553454,0.0009518724932296074
fixed_q1_oracle_eta,clustered_08,2600.0,0.007327511794227194,0.0008325767653652879
fixed_q1_oracle_eta,clustered_08,2800.0,0.005669572585345105,0.000659266750204213
fixed_q1_oracle_eta,clustered_08,3000.0,0.006801873247227121,0.000681659080714272
fixed_q1_oracle_eta,clustered_08,3200.0,0.006255997476081565,0.0006813329688285055
fixed_q1_oracle_eta,clustered_08,3400.0,0.005870126530864964,0.000715370760904851
fixed_q1_oracle_eta,clustered_08,3600.0,0.006312295858685815,0.0007338375088794317
fixed_q1_oracle_eta,clustered_08,3800.0,0.0063017437768282,0.0008170520152276672
fixed_q1_oracle_eta,clustered_08,4000.0,0.005486359941334578,0.0006462271360606424
fixed_q1_oracle_eta,clustered_08,4200.0,0.005676540926618452,0.0006878080768991227
fixed_q1_oracle_eta,clustered_08,4400.0,0.005412819295395089,0.0006557346786378851
fixed_q1_oracle_eta,clustered_08,4600.0,0.0061480512563309685,0.0007779318645262992
fixed_q1_oracle_eta,clustered_08,4800.0,0.005399794828502015,0.0005983922400405642
fixed_q1_oracle_eta,clustered_08,5000.0,0.005007119300966531,0.0005482563054755706
fixed_q1_oracle_eta,clustered_08,5200.0,0.005428946363306024,0.000565120707812246
fixed_q1_oracle_eta,clustered_08,5400.0,0.005223150936846517,0.0006257014921713681
fixed_q1_oracle_eta,clustered_08,5600.0,0.0051348770992928235,0.0006261653274947893
fixed_q1_oracle_eta,clustered_08,5800.0,0.0055373953592376,0.0005685679866752893
fixed_q1_oracle_eta,clustered_08,6000.0,0.005460152111024118,0.0006610935994965859
fixed_q1_oracle_eta,clustered_08,6200.0,0.005799908355274264,0.0006082726841373868
fixed_q1_oracle_eta,clustered_08,6400.0,0.005388191173399492,0.0005606534305204401
fixed_q1_oracle_eta,clustered_08,6600.0,0.005343644922428793,0.0005952282337761619
fixed_q1_oracle_eta,clustered_08,6800.0,0.005350848342024105,0.0006372540604473475
fixed_q1_oracle_eta,clustered_08,7000.0,0.004608139923874238,0.0005177881477342047
fixed_q1_oracle_eta,clustered_08,7200.0,0.003971945958939035,0.0004766522488855617
fixed_q1_oracle_eta,clustered_08,7400.0,0.003944161128835875,0.0005284753191482359
fixed_q1_oracle_eta,clustered_08,7600.0,0.0045189483577521205,0.0006692566138685092
fixed_q1_oracle_eta,clustered_08,7800.0,0.004011356252925851,0.0005185334496530228
fixed_q1_oracle_eta,clustered_08,8000.0,0.003347415973910343,0.0004110696628741016
fixed_q1_oracle_eta,clustered_08,8200.0,0.003770088283737228,0.0005500342554628066
fixed_q1_oracle_eta,clustered_08,8400.0,0.003350378529676724,0.00036454605594141127
fixed_q1_oracle_eta,clustered_08,8600.0,0.0028858263475432457,0.0003180527846116156
fixed_q1_oracle_eta,clustered_08,8800.0,0.0029294781213134876,0.00034440783022769966
fixed_q1_oracle_eta,clustered_08,9000.0,0.003186936916155044,0.00042464391552687425
fixed_q1_oracle_eta,clustered_08,9200.0,0.0029795110187799106,0.00041392562761492834
fixed_q1_oracle_eta,clustered_08,9400.0,0.002646001652822229,0.0003105976866539279
fixed_q1_oracle_eta,clustered_08,9600.0,0.0027849171895316265,0.00036260649139669473
fixed_q1_oracle_eta,clustered_08,9800.0,0.002842072609607084,0.0003437813279709819
fixed_q1_oracle_eta,clustered_08,10000.0,0.0029151535802958007,0.000467610737633473
fixed_q1_oracle_eta,clustered_08,10200.0,0.0036315075744267336,0.00048211902996830663
fixed_q1_oracle_eta,clustered_08,10400.0,0.0037334699116566006,0.0004574550585695423
fixed_q1_oracle_eta,clustered_08,10600.0,0.0033976016689322313,0.0004366831610516744
fixed_q1_oracle_eta,clustered_08,10800.0,0.004345206111357513,0.0004430727629959985
fixed_q1_oracle_eta,clustered_08,11000.0,0.005032762332215965,0.000520089727467347
fixed_q1_oracle_eta,clustered_08,11200.0,0.005897782281895247,0.0006051011870931622
fixed_q1_oracle_eta,clustered_08,11400.0,0.005991848893338275,0.0006039098899134932
fixed_q1_oracle_eta,clustered_08,11600.0,0.0061031892877382666,0.0006477105563638717
fixed_q1_oracle_eta,clustered_08,11800.0,0.006321918736221745,0.0006764321972192759
fixed_q1_oracle_eta,clustered_08,12000.0,0.0063509422577512475,0.0006936254984720095
fixed_q1_oracle_eta,clustered_08,12200.0,0.005528229281687854,0.000662233273015021
fixed_q1_oracle_eta,clustered_08,12400.0,0.005042497849897678,0.0006392344186828289
fixed_q1_oracle_eta,clustered_08,12600.0,0.004285514761941931,0.0005450352306232967
fixed_q1_oracle_eta,clustered_08,12800.0,0.0044636719113718805,0.0005810736516260798
fixed_q1_oracle_eta,clustered_08,13000.0,0.00406183157162415,0.0005613915073826159
fixed_q1_oracle_eta,clustered_08,13200.0,0.004044735238522645,0.00042724072045944835
fixed_q1_oracle_eta,clustered_08,13400.0,0.004519239642344731,0.0005077136683657134
fixed_q1_oracle_eta,clustered_08,13600.0,0.005498712038962193,0.0006011851753564968
fixed_q1_oracle_eta,clustered_08,13800.0,0.005771266048105062,0.0007254142001432455
fixed_q1_oracle_eta,clustered_08,14000.0,0.006036983740524094,0.0009008984571558346
fixed_q1_oracle_eta,clustered_08,14200.0,0.005660065894536123,0.0007394999893689941
fixed_q1_oracle_eta,clustered_08,14400.0,0.005814939871124216,0.0007017271362529358
fixed_q1_oracle_eta,clustered_08,14600.0,0.0058650681007342805,0.0007123763412680636
fixed_q1_oracle_eta,clustered_08,14800.0,0.005142904398856912,0.0006907361935105698
fixed_q1_oracle_eta,clustered_08,15000.0,0.004325628566792398,0.0005385928603619707
fixed_q1_oracle_eta,clustered_08,15200.0,0.0045516171169283776,0.0005801284679315675
fixed_q1_oracle_eta,clustered_08,15400.0,0.004036813841691684,0.0004643159934866615
fixed_q1_oracle_eta,clustered_08,15600.0,0.004152941003223227,0.0005163772965983292
fixed_q1_oracle_eta,clustered_08,15800.0,0.004101650290047894,0.0005204635826578623
fixed_q1_oracle_eta,clustered_08,16000.0,0.0038887075690968043,0.00047761197431289183
fixed_q1_oracle_eta,balanced_08,0.0,0.0899999999999999,8.620181743291816e-18
fixed_q1_oracle_eta,balanced_08,200.0,0.06799846857447282,0.0021575157042189293
fixed_q1_oracle_eta,balanced_08,400.0,0.0552408463763571,0.00287658108380135
fixed_q1_oracle_eta,balanced_08,600.0,0.047730420492738054,0.003311725014317302
fixed_q1_oracle_eta,balanced_08,800.0,0.038950813569993276,0.0033958324709911568
fixed_q1_oracle_eta,balanced_08,1000.0,0.0369987179298639,0.003413398503312665
fixed_q1_oracle_eta,balanced_08,1200.0,0.03277125786855742,0.0031935177624695344
fixed_q1_oracle_eta,balanced_08,1400.0,0.026673760598569397,0.002984943120369011
fixed_q1_oracle_eta,balanced_08,1600.0,0.023898777765200878,0.002663876689335274
fixed_q1_oracle_eta,balanced_08,1800.0,0.02244937198639947,0.0024658598729003544
fixed_q1_oracle_eta,balanced_08,2000.0,0.02514901706277742,0.002867677528962053
fixed_q1_oracle_eta,balanced_08,2200.0,0.024873177470554484,0.0025565761494356107
fixed_q1_oracle_eta,balanced_08,2400.0,0.024730209130162217,0.0023405402591648744
fixed_q1_oracle_eta,balanced_08,2600.0,0.023027143200409134,0.0022314632072874922
fixed_q1_oracle_eta,balanced_08,2800.0,0.02116188075028384,0.0022692229623639346
fixed_q1_oracle_eta,balanced_08,3000.0,0.019353719007361592,0.0022497641114666627
fixed_q1_oracle_eta,balanced_08,3200.0,0.016408817540113696,0.001968717216251576
fixed_q1_oracle_eta,balanced_08,3400.0,0.015625772481923386,0.0016982235816878665
