seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260732,2,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260732,2,balanced_08,16,state_correlation_adaptive,15942,5090,768,2713,True,True
20260732,2,balanced_08,16,correlation_only_adaptive,15970,3806,768,3041,True,True
20260732,2,balanced_08,16,state_oracle,15900,10000,0,1475,True,True
20260732,2,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260732,2,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260732,2,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260732,2,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260733,3,independent,4,state_correlation_adaptive,15866,10086,768,1445,True,True
20260733,3,independent,4,correlation_only_adaptive,15982,5394,768,2647,True,True
20260733,3,independent,4,state_oracle,15840,14080,0,440,True,True
20260733,3,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260733,3,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260733,3,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260733,3,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260733,3,global_08,4,state_correlation_adaptive,15912,6120,768,2448,True,True
20260733,3,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260733,3,global_08,4,state_oracle,15940,7280,0,2165,True,True
20260733,3,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260733,3,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260733,3,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260733,3,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260733,3,clustered_08,4,state_correlation_adaptive,15930,8662,768,1817,True,True
20260733,3,clustered_08,4,correlation_only_adaptive,15990,6666,768,2331,True,True
20260733,3,clustered_08,4,state_oracle,15900,11800,0,1025,True,True
20260733,3,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260733,3,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260733,3,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260733,3,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260733,3,balanced_08,4,state_correlation_adaptive,15978,4886,768,2773,True,True
20260733,3,balanced_08,4,correlation_only_adaptive,15980,5140,768,2710,True,True
20260733,3,balanced_08,4,state_oracle,15960,5920,0,2510,True,True
20260733,3,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260733,3,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260733,3,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260733,3,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260733,3,independent,16,state_correlation_adaptive,15952,6424,768,2382,True,True
