scenario,rho,num_agents,eta,mean_delay,max_delay,stable,spectral_radius,finite_mse,stationary_mse,squared_bias,finite_variance
heterogeneous,0.5,8,0.004743968439144176,0.75,2,True,0.995238983801446,0.05081953712028157,0.0427949189511956,0.008460558771751754,0.042358978348529815
heterogeneous,0.5,16,0.004743968439144176,2.375,6,True,0.9952013167516889,0.05071759623220304,0.04299199017753895,0.008148204335999932,0.0425693918962031
heterogeneous,0.5,32,0.004743968439144176,6.65625,16,True,0.9950968106299288,0.05073570597704401,0.043777768553898276,0.007347798642311621,0.043387907334732384
heterogeneous,0.7,1,0.004329110580107935,0.0,0,True,0.995670889419892,0.06777730745997998,0.05557867921636114,0.013055989151664088,0.054721318308315885
heterogeneous,0.7,2,0.004329110580107935,0.0,0,True,0.995670889419892,0.06729648943078342,0.055091477244422836,0.013055989151664088,0.054240500279119336
heterogeneous,0.7,4,0.004329110580107935,0.0,0,True,0.995670889419892,0.06705608041618515,0.054847876258453686,0.013055989151664088,0.05400009126452106
heterogeneous,0.7,8,0.004329110580107935,0.75,2,True,0.995656705356861,0.06692623265775594,0.0548916718855888,0.0128718051635503,0.05405442749420563
heterogeneous,0.7,16,0.004329110580107935,2.375,6,True,0.9956254202880404,0.06685323740409158,0.055194354106021554,0.012476017571366037,0.054377219832725546
heterogeneous,0.7,32,0.004329110580107935,6.65625,16,True,0.9955390324509341,0.06684188803273675,0.05615365635977006,0.011454354111546751,0.05538753392118999
heterogeneous,0.9,1,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08244223499743167,0.06479078436809782,0.019094483383344366,0.0633477516140873
heterogeneous,0.9,2,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08229687998292703,0.06464259031517111,0.019094483383344366,0.06320239659958267
heterogeneous,0.9,4,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08222420247567472,0.06456849328870777,0.019094483383344366,0.06312971909233035
heterogeneous,0.9,8,0.003950531850119864,0.75,2,True,0.9960376658219722,0.08215505736515541,0.06471067583295081,0.01887016249141968,0.06328489487373573
heterogeneous,0.9,16,0.003950531850119864,2.375,6,True,0.9960116752986712,0.08207389318596196,0.06508568661851277,0.01838704098272861,0.06368685220323335
heterogeneous,0.9,32,0.003950531850119864,6.65625,16,True,0.9959402151078036,0.0819491716363232,0.06614502085882303,0.01713281979479763,0.06481635184152558
heterogeneous,0.99,1,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08848630012983116,0.07097347469905423,0.019094483383344366,0.0693918167464868
heterogeneous,0.99,2,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08847176462838069,0.07095865529376155,0.019094483383344366,0.06937728124503632
heterogeneous,0.99,4,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08846449687765545,0.07095124559111521,0.019094483383344366,0.06937001349431109
heterogeneous,0.99,8,0.003950531850119864,0.75,2,True,0.9960376658219722,0.08844709200139653,0.0711445850405581,0.01887016249141968,0.06957692950997685
heterogeneous,0.99,16,0.003950531850119864,2.375,6,True,0.9960116752986712,0.08842422483850715,0.07157555669973331,0.01838704098272861,0.07003718385577853
