alignment,selection_rule,rho,configured_max_delay,resource,optimal_num_agents,optimal_eta,optimal_horizon,optimal_mse,all_agents_eta,all_agents_horizon,all_agents_mse,optimal_to_all_agents_ratio,selected_stable
server_time,uniform_rank,0.0,16,message_overhead_16,32,0.027085110938737847,133,0.0008487582384864238,0.027085110938737847,133,0.0008487582384864238,1.0,True
server_time,uniform_rank,0.0,16,message_overhead_4,32,0.021810154653305155,177,0.0006762056614100768,0.021810154653305155,177,0.0006762056614100768,1.0,True
server_time,uniform_rank,0.0,16,wallclock,32,0.027085110938737847,141,0.000809130398822228,0.027085110938737847,141,0.000809130398822228,1.0,True
server_time,uniform_rank,0.3,4,message_overhead_0,4,0.0025,1600,0.014659205923000107,0.011387886347566916,200,0.06436291272145263,0.22775858492361373,True
server_time,uniform_rank,0.3,4,message_overhead_16,2,0.007384130729697496,355,0.044887814155739766,0.01414213562373095,133,0.0849810299366404,0.5282098156401132,True
server_time,uniform_rank,0.3,4,message_overhead_4,1,0.0025,1280,0.016906591363713464,0.011387886347566916,177,0.07051159691683342,0.23977036548547248,True
server_time,uniform_rank,0.3,4,wallclock,1,0.0038555270635198514,629,0.03053114878597087,0.007384130729697496,303,0.048501002653857456,0.6294952086633331,True
server_time,uniform_rank,0.3,16,message_overhead_0,4,0.0025,1600,0.014818585929661544,0.011387886347566916,200,0.06501187143475845,0.22793661530775164,True
server_time,uniform_rank,0.3,16,message_overhead_16,1,0.005946035575013605,376,0.04465226113405742,0.01414213562373095,133,0.08390136846758608,0.5321994378590867,True
server_time,uniform_rank,0.3,16,message_overhead_4,1,0.0025,1280,0.016967766526726085,0.011387886347566916,177,0.06984011220771605,0.2429515931512415,True
server_time,uniform_rank,0.3,16,wallclock,1,0.007384130729697496,317,0.050376063929611706,0.01414213562373095,141,0.08100290882728756,0.6219043816935307,True
server_time,uniform_rank,0.6,4,message_overhead_0,2,0.0025,3200,0.028436232238036735,0.009170040432046712,200,0.11321037635282766,0.2511804408229624,True
server_time,uniform_rank,0.6,4,message_overhead_16,1,0.005946035575013605,376,0.07473129548732184,0.011387886347566916,133,0.14841493672015466,0.5035294771457688,True
server_time,uniform_rank,0.6,4,message_overhead_4,1,0.0025,1280,0.03031419153363754,0.009170040432046712,177,0.12433744770901675,0.24380580502650293,True
server_time,uniform_rank,0.6,4,wallclock,1,0.0038555270635198514,629,0.050572400917507164,0.007384130729697496,303,0.08612240974690961,0.5872153492467956,True
server_time,uniform_rank,0.6,16,message_overhead_0,2,0.0025,3200,0.02885706291824681,0.009170040432046712,200,0.1134572259535886,0.2543431031008217,True
server_time,uniform_rank,0.6,16,message_overhead_16,1,0.005946035575013605,376,0.07519491550754837,0.011387886347566916,133,0.14690295953940719,0.5118679415534654,True
server_time,uniform_rank,0.6,16,message_overhead_4,1,0.0025,1280,0.030540674474591162,0.009170040432046712,177,0.1230863049638969,0.24812406614650762,True
server_time,uniform_rank,0.6,16,wallclock,1,0.005946035575013605,317,0.08458520418125523,0.011387886347566916,141,0.14153903782384075,0.5976104224089034,True
server_time,uniform_rank,0.9,4,message_overhead_0,1,0.0025,6400,0.042175244440825974,0.007384130729697496,200,0.15704127973564225,0.2685615177857841,True
server_time,uniform_rank,0.9,4,message_overhead_16,1,0.0047880164034928676,376,0.1018389376269058,0.011387886347566916,133,0.199844544546287,0.5095907814652322,True
server_time,uniform_rank,0.9,4,message_overhead_4,1,0.0025,1280,0.043721791703561594,0.009170040432046712,177,0.16800224771804448,0.2602452782473434,True
server_time,uniform_rank,0.9,4,wallclock,1,0.0031046445301837096,629,0.07044549674309511,0.005946035575013605,303,0.11750201185422612,0.5995258773142568,True
server_time,uniform_rank,0.9,16,message_overhead_0,1,0.0025,6400,0.042690033149561095,0.007384130729697496,200,0.15591893070663826,0.2737963437543223,True
server_time,uniform_rank,0.9,16,message_overhead_16,1,0.0047880164034928676,376,0.10147022455155422,0.011387886347566916,133,0.20187189413570128,0.502646616489091,True
server_time,uniform_rank,0.9,16,message_overhead_4,1,0.0025,1280,0.044113582422456235,0.009170040432046712,177,0.1691072610992405,0.26086155103989417,True
server_time,uniform_rank,0.9,16,wallclock,1,0.005946035575013605,317,0.11471992042496512,0.009170040432046712,141,0.19413502468937666,0.5909285076637836,True
