persistence,rho,delay,seed,policy,pilot_stays,persistence_upper,certificate_covered,gap,delta_upper,num_agents,eta,theorem_contraction,updates,risk_surrogate,exact_radius,exact_residual,expected_final_error,used_persistence,final_error,maximum_error,diverged
0.5,0.0,2,41,online_ucb,1041,0.5342073998887715,True,1,0.03420739988877153,1,0.022978891753565385,0.9884335625377696,1795,0.017177425693821722,0.9704043750492868,1.191874962812805e-15,0.0007567725965832638,0.5,0.00047130693235012034,1.0,False
0.5,0.0,2,41,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,2.7585290773692245e-05,1.0,False
0.5,0.0,2,41,iid_naive,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,2.7585290773692245e-05,1.0,False
0.5,0.0,2,41,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.014988414994969015,0.995028219672209,350,0.7063725675361013,0.9804903918877848,1.5730336272784255e-15,0.0012517178236352516,0.5,0.0009012390213196542,1.0,False
0.5,0.0,2,41,oracle_q1,-1,0.5,True,1,0.0,1,0.0305128368946816,0.9800953143413963,2000,0.0021925897647741065,0.9609915985460662,4.98828777051636e-16,0.0010311421378161165,0.5,0.0003195939896371454,1.0,False
0.5,0.0,2,41,oracle_q32,-1,0.5,True,1,0.0,32,0.031393704964990665,0.9795281387237824,487,0.13453497319962412,0.9592195671578286,7.468261590855957e-16,3.274530344935376e-05,0.5,4.262467987541553e-05,1.0,False
0.5,0.0,2,42,online_ucb,997,0.5127594809520921,True,1,0.012759480952092117,1,0.027655488737261105,0.9834930927883129,1795,0.004393746041196447,0.96454051207829,1.5108316153985367e-15,0.0009254290130200171,0.5,8.502617716473373e-06,1.1054880735279597,False
0.5,0.0,2,42,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.00018439404157081742,1.063386309155316,False
0.5,0.0,2,42,iid_naive,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.00018439404157081742,1.063386309155316,False
0.5,0.0,2,42,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.014988414994969015,0.995028219672209,350,0.7063725675361013,0.9804903918877848,1.5730336272784255e-15,0.0012517178236352516,0.5,0.0014960550426852235,1.0301228931728776,False
0.5,0.0,2,42,oracle_q1,-1,0.5,True,1,0.0,1,0.0305128368946816,0.9800953143413963,2000,0.0021925897647741065,0.9609915985460662,4.98828777051636e-16,0.0010311421378161165,0.5,1.8548849628675554e-07,1.1168109901825034,False
0.5,0.0,2,42,oracle_q32,-1,0.5,True,1,0.0,32,0.031393704964990665,0.9795281387237824,487,0.13453497319962412,0.9592195671578286,7.468261590855957e-16,3.274530344935376e-05,0.5,8.926005335097023e-05,1.036538872509844,False
0.5,0.0,2,43,online_ucb,1025,0.5264136393298189,True,1,0.026413639329818883,1,0.024660940108524716,0.9867478351358316,1795,0.010153670556721993,0.9682877408219969,8.233634315563857e-16,0.0008168211366243278,0.5,0.00022516051971999473,1.0,False
0.5,0.0,2,43,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,7.205277232975297e-05,1.0,False
0.5,0.0,2,43,iid_naive,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,7.205277232975297e-05,1.0,False
0.5,0.0,2,43,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.014988414994969015,0.995028219672209,350,0.7063725675361013,0.9804903918877848,1.5730336272784255e-15,0.0012517178236352516,0.5,0.0020975921825519056,1.0,False
0.5,0.0,2,43,oracle_q1,-1,0.5,True,1,0.0,1,0.0305128368946816,0.9800953143413963,2000,0.0021925897647741065,0.9609915985460662,4.98828777051636e-16,0.0010311421378161165,0.5,0.000750836958598054,1.0,False
0.5,0.0,2,43,oracle_q32,-1,0.5,True,1,0.0,32,0.031393704964990665,0.9795281387237824,487,0.13453497319962412,0.9592195671578286,7.468261590855957e-16,3.274530344935376e-05,0.5,9.086356487547246e-05,1.0,False
0.5,0.0,2,44,online_ucb,1082,0.5541502812038701,True,1,0.05415028120387011,1,0.018757622263266528,0.9921945705476866,1795,0.06181919654254813,0.9757510787749138,8.409527189913788e-16,0.0006090257544929112,0.5,0.0023918544083564035,1.0094393656303011,False
0.5,0.0,2,44,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.00040957332140933636,1.0,False
0.5,0.0,2,44,iid_naive,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.00040957332140933636,1.0,False
0.5,0.0,2,44,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.014988414994969015,0.995028219672209,350,0.7063725675361013,0.9804903918877848,1.5730336272784255e-15,0.0012517178236352516,0.5,0.001589598845858754,1.0,False
0.5,0.0,2,44,oracle_q1,-1,0.5,True,1,0.0,1,0.0305128368946816,0.9800953143413963,2000,0.0021925897647741065,0.9609915985460662,4.98828777051636e-16,0.0010311421378161165,0.5,0.0010621192866428993,1.0139555340293798,False
0.5,0.0,2,44,oracle_q32,-1,0.5,True,1,0.0,32,0.031393704964990665,0.9795281387237824,487,0.13453497319962412,0.9592195671578286,7.468261590855957e-16,3.274530344935376e-05,0.5,0.00017135765877805684,1.0,False
0.5,0.0,2,45,online_ucb,1018,0.5230018988718769,True,1,0.02300189887187687,1,0.025403357735351843,0.9859708550502938,1795,0.008109051608276073,0.9673561590563573,5.53721994457912e-16,0.0008435426433198172,0.5,4.379627180137818e-07,1.2144886722743131,False
0.5,0.0,2,45,oracle,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.0004785827173813914,1.2587252749004623,False
0.5,0.0,2,45,iid_naive,-1,0.5,True,1,0.0,2,0.03096099414405573,0.9798066497338122,1818,0.0015574822008010793,0.960095380813632,7.211110073938365e-16,0.0005198324698563746,0.5,0.0004785827173813914,1.2587252749004623,False
0.5,0.0,2,45,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.014988414994969015,0.995028219672209,350,0.7063725675361013,0.9804903918877848,1.5730336272784255e-15,0.0012517178236352516,0.5,0.0006412040517027938,1.1206481073109975,False
