persistence,rho,num_agents,homogeneous_delay,curvature,monotonicity,stationary_mean_boundary,mixing_inflation,iid_eta,gap_eta,iid_rule_radius,iid_rule_residual,gap_rule_radius,gap_rule_residual,markov_boundary,markov_below_radius,markov_below_residual,markov_above_radius,markov_above_residual,markov_operator_dimension,iid_boundary,iid_below_radius,iid_below_residual,iid_above_radius,iid_above_residual,markov_mean_boundary,markov_mean_below_radius,markov_mean_below_residual,markov_mean_above_radius,markov_mean_above_residual,markov_to_iid_ratio,iid_to_markov_ratio,gap_to_markov_ratio,ms_to_markov_mean_ratio,required_inflation,required_to_gap_inflation
0.9,0.0,2,0,2.1717625000000003,0.655,3.0534351144731042,9.000000000000002,0.5036935928051893,0.06558234683422956,1.5198562889966571,0.0,0.9942547650868769,1.1102230246251565e-16,0.07411658009795104,0.9999999943817708,0.0,1.000000006318638,1.1102230246251563e-16,2,0.6031967124671793,0.9999999199087247,0.0,1.0000000804043538,0.0,0.16197235334326032,0.9999999943625204,0.0,1.0000000055852483,0.0,0.12287298416266454,6.795963765995647,0.8848539253640305,0.45758784488905513,7.940938575502345,0.8823265083891493
0.98,0.0,2,0,2.1717625000000003,0.655,3.0534351144731042,48.99999999999996,0.5036935928051893,0.012260707089484308,1.6537811165502014,6.938893903907228e-18,0.999292691080972,1.2412670766236366e-16,0.01329384453281367,0.999999998332959,5.551115123125783e-17,1.000000001254559,0.0,2,0.6031967124671793,0.9999999199087247,0.0,1.0000000804043538,0.0,0.026995391790717263,0.9999999987037039,1.1102230246251565e-16,1.0000000009831527,1.1102230246251565e-16,0.022038987046927923,37.88923449209177,0.9222845249333831,0.49244866071493515,45.17658926874385,0.9219712095662017
0.5,0.9,2,0,2.4442262500000003,0.655,3.0534351144731042,1.0,0.45592949798526405,0.45592949798526405,0.9108178408463268,0.0,0.9108178408463268,0.0,0.5359569308972532,0.9999999283386961,0.0,1.0000000709844072,1.5700924586837754e-16,2,0.5359569308972532,0.999999928338696,0.0,1.0000000709844072,0.0,3.0534351163770697,0.9999997998189762,1.5700924586837754e-16,1.0000002026349866,1.5700924586837754e-16,1.0,0.8506830898184038,0.8506830898184038,0.17552589476116698,0.8244741055268294,0.8244741055268294
0.9,0.9,2,0,2.4442262500000003,0.655,3.0534351144731042,9.000000000000002,0.45592949798526405,0.058411576327226,1.4932807705038393,2.775557561562892e-17,0.9907880120030849,0.0,0.072457293222148,0.9999999940870342,1.1102230246251565e-16,1.000000005906006,0.0,2,0.5359569308972532,0.999999928338696,0.0,1.0000000709844072,0.0,0.16197235354734402,0.9999999942869922,1.1102230246251565e-16,1.0000000057975404,0.0,0.1351923802922862,6.292389319421888,0.8061517858270112,0.44734358447763717,7.221340691164914,0.8023711879072125
0.98,0.9,2,0,2.4442262500000003,0.655,3.0534351144731042,48.99999999999996,0.45592949798526405,0.010898855099190691,1.6238823764894859,2.2204460492503136e-16,0.9984759655325687,1.1102230246251565e-16,0.013236958453401507,0.9999999982699489,0.0,1.0000000010815597,5.551115123125784e-17,2,0.5359569308972532,0.999999928338696,0.0,1.0000000709844072,0.0,0.026995392426577856,0.9999999988627258,1.1102230246251565e-16,1.0000000012704284,1.1102230246251565e-16,0.024697802547755703,34.443675228738336,0.8233655138798148,0.49034139768123114,40.31390625385468,0.8227327806909126
0.5,0.0,2,2,2.1717625000000003,0.655,0.9435633416101334,1.0,0.367965479904068,0.367965479904068,0.9868108414162389,1.762205845617923e-15,0.9868108414162389,1.762205845617923e-15,0.38118349755933817,0.9999999606240173,1.0407415628883964e-15,1.0000000383913865,1.8398408817761947e-15,18,0.38118349755933817,0.999999960624018,8.972394979902885e-16,1.000000038391386,1.609105408987926e-15,0.9435633417349205,0.9999999707945985,1.2114283377992583e-15,1.0000000292865823,6.679415241647846e-16,1.0,0.9653237410855844,0.9653237410855844,0.4039829449695024,0.9431560662180977,0.9431560662180977
0.9,0.0,2,2,2.1717625000000003,0.655,0.9435633416101334,9.000000000000002,0.367965479904068,0.06257697755217198,1.227848576647373,9.394965106442229e-16,0.9859640924790143,3.070254730930861e-15,0.08657838122061562,0.9999999942193885,1.839055620512448e-15,1.0000000069201482,4.06026695316457e-15,18,0.38118349755933817,0.999999960624018,8.972394979902885e-16,1.000000038391386,1.609105408987926e-15,0.2530818023589157,0.9999999934223309,3.0570533288019466e-16,1.0000000066477552,1.2945826499709367e-15,0.22713045495139284,4.250085006399379,0.7227783272213856,0.3420964305360519,6.327783984578476,0.7030871093976083
0.98,0.0,2,2,2.1717625000000003,0.655,0.9435633416101334,48.99999999999996,0.367965479904068,0.012151601912722052,1.3116062974275067,3.257546958598119e-15,0.9988990017602888,6.156484492430791e-16,0.013820559526131263,0.9999999984341912,5.174014517469252e-16,1.0000000013669106,1.9850573458256274e-15,18,0.38118349755933817,0.999999960624018,8.972394979902885e-16,1.000000038391386,1.609105408987926e-15,0.02929187602466464,0.9999999989963316,8.120581339769891e-16,1.0000000015213883,1.9580963544438024e-15,0.03625697233647907,26.624499479079425,0.8792409518403633,0.4718222729911166,43.005608366756256,0.8776654768725775
0.5,0.9,2,2,2.4442262500000003,0.655,0.9435633416101334,1.0,0.34180627479673187,0.34180627479673187,0.9908075385623057,1.7087158323404888e-15,0.9908075385623057,1.7087158323404888e-15,0.3507540694408785,0.9999999635498316,7.666771282795544e-16,1.000000037230472,2.631954563432281e-15,18,0.3507540694408785,0.99999996354983,1.0099368784966121e-15,1.0000000372304698,4.775249788392737e-16,0.943563342214677,0.9999999709589461,1.0003565359928467e-15,1.0000000294172255,7.319015604649206e-16,1.0,0.9744898336934197,0.9744898336934197,0.3717334637202087,0.9599997090308682,0.9599997090308682
0.9,0.9,2,2,2.4442262500000003,0.655,0.9435633416101334,9.000000000000002,0.34180627479673187,0.05601548517787953,1.2171780591520425,2.6500761389454564e-15,0.9837568430937622,2.8591274278967742e-15,0.08442917099677895,0.9999999935894053,1.9268147689373974e-15,1.00000000588796,1.9785462352347225e-15,18,0.3507540694408785,0.99999996354983,1.0099368784966121e-15,1.0000000372304698,4.775249788392737e-16,0.25308180166906846,0.999999993268422,6.493336685210275e-16,1.0000000064520358,1.0806199487010183e-15,0.24070760214233222,4.048438125843639,0.663461271934277,0.33360427513938407,5.779992829905052,0.6422214255450057
