scenario_id,family,matrix_name,rho,delay,markov_lambda,step_size,q,stride,updates,binding,risk,bias_risk,noise_risk,spectral_radius,fixed_sequence_minimax_risk,scalar_reference_risk
speedup-0-scalar-D1-L0.6-E0.04,speedup,scalar,0.0,1,0.6,0.04,1,4,23,environment,0.023335481619741257,0.0,0.023335481619741257,0.9582575694955839,0.043478260869565216,0.023335481619741277
speedup-0-scalar-D1-L0.6-E0.04,speedup,scalar,0.0,1,0.6,0.04,4,1,95,environment,0.019720657956430684,0.0,0.019720657956430684,0.9582575694955839,0.002631578947368421,0.019720657956430708
speedup-0-scalar-D1-L0.6-E0.04,speedup,scalar,0.0,1,0.6,0.04,4,4,23,environment,0.005833870404935314,0.0,0.005833870404935314,0.9582575694955839,0.010869565217391304,0.005833870404935319
speedup-0-scalar-D1-L0.6-E0.04,speedup,scalar,0.0,1,0.6,0.04,16,1,95,environment,0.004930164489107671,0.0,0.004930164489107671,0.9582575694955839,0.0006578947368421052,0.004930164489107677
speedup-0-scalar-D1-L0.6-E0.04,speedup,scalar,0.0,1,0.6,0.04,16,4,23,environment,0.0014584676012338285,0.0,0.0014584676012338285,0.9582575694955839,0.002717391304347826,0.0014584676012338298
speedup-0-scalar-D1-L0.6-E0.08,speedup,scalar,0.0,1,0.6,0.08,1,1,95,environment,0.1560799620046172,0.0,0.1560799620046172,0.912310562561766,0.010526315789473684,0.15607996200461732
speedup-0-scalar-D1-L0.6-E0.08,speedup,scalar,0.0,1,0.6,0.08,1,4,23,environment,0.05652918618579406,0.0,0.05652918618579406,0.912310562561766,0.043478260869565216,0.05652918618579406
speedup-0-scalar-D1-L0.6-E0.08,speedup,scalar,0.0,1,0.6,0.08,4,1,95,environment,0.0390199905011543,0.0,0.0390199905011543,0.912310562561766,0.002631578947368421,0.03901999050115433
speedup-0-scalar-D1-L0.6-E0.08,speedup,scalar,0.0,1,0.6,0.08,4,4,23,environment,0.014132296546448516,0.0,0.014132296546448516,0.912310562561766,0.010869565217391304,0.014132296546448516
speedup-0-scalar-D1-L0.6-E0.08,speedup,scalar,0.0,1,0.6,0.08,16,1,95,environment,0.009754997625288576,0.0,0.009754997625288576,0.912310562561766,0.0006578947368421052,0.009754997625288583
speedup-0-scalar-D1-L0.6-E0.08,speedup,scalar,0.0,1,0.6,0.08,16,4,23,environment,0.003533074136612129,0.0,0.003533074136612129,0.912310562561766,0.002717391304347826,0.003533074136612129
