cell_id,rho,state_signal,noise_scale,delay_curvature,resource_price,mean_normalized_regret,mean_observable_score,oracle_score,q_only_score,eta_only_score,fixed_score,median_observable_q,median_observable_eta
R0.9-S10-N1-D0-P0.01,0.9,10.0,1.0,0.0,0.01,0.0,-1.93,-1.93,-0.46749999999999997,-1.8635,-0.39771874999999995,1.0,0.2
R0.9-S10-N1-D0.5-P0.0001,0.9,10.0,1.0,0.5,0.0001,4.165476906429091e-06,-1.7625176339285713,-1.7625333333333333,-0.484725,-1.7625000000000002,-0.48421875,6.0,0.2
R0.9-S10-N1-D0.5-P0.001,0.9,10.0,1.0,0.5,0.001,6.813622885050705e-06,-1.757973958333333,-1.758,-0.482,-1.7535,-0.47521874999999997,2.0,0.2
R0.9-S10-N1-D0.5-P0.01,0.9,10.0,1.0,0.5,0.01,0.0,-1.7300000000000002,-1.73,-0.45499999999999996,-1.6635,-0.38521874999999994,1.0,0.2
R0.9-S10-N1-D2-P0.0001,0.9,10.0,1.0,2.0,0.0001,4.789804591070943e-06,-1.1625181547619048,-1.1625333333333336,-0.44722500000000004,-1.1625,-0.44671875,6.0,0.2
R0.9-S10-N1-D2-P0.001,0.9,10.0,1.0,2.0,0.001,6.4659631698730726e-06,-1.1579791666666663,-1.158,-0.4445,-1.1535,-0.43771875,2.0,0.2
R0.9-S10-N1-D2-P0.01,0.9,10.0,1.0,2.0,0.01,0.0,-1.13,-1.13,-0.4175,-1.0635,-0.34771874999999997,1.0,0.2
R0.9-S10-N10-D0-P0.0001,0.9,10.0,10.0,0.0,0.0001,1.7432491199445608e-05,-1.6357365073805532,-1.6358,-0.4763,-1.6340000000000001,-0.4761875,20.0,0.2
R0.9-S10-N10-D0-P0.001,0.9,10.0,10.0,0.0,0.001,3.509151221020064e-05,-1.6252038690476192,-1.6253333333333333,-0.47225,-1.625,-0.4671875,6.0,0.2
R0.9-S10-N10-D0-P0.01,0.9,10.0,10.0,0.0,0.01,0.00011107819905213198,-1.5795312499999998,-1.5799999999999998,-0.44499999999999995,-1.535,-0.37718749999999995,2.0,0.2
R0.9-S10-N10-D0.5-P0.0001,0.9,10.0,10.0,0.5,0.0001,8.98285758232678e-06,-1.43576907920763,-1.4357999999999997,-0.46380000000000005,-1.4340000000000002,-0.4636875,19.0,0.2
R0.9-S10-N10-D0.5-P0.001,0.9,10.0,10.0,0.5,0.001,3.1985233910119985e-05,-1.4252217261904758,-1.4253333333333331,-0.45975,-1.425,-0.45468749999999997,6.0,0.2
R0.9-S10-N10-D0.5-P0.01,0.9,10.0,10.0,0.5,0.01,0.00019434079601990156,-1.3792187499999997,-1.38,-0.4325,-1.335,-0.36468749999999994,2.0,0.2
R0.9-S10-N10-D2-P0.0001,0.9,10.0,10.0,2.0,0.0001,0.0004982966611712615,-0.85699635446212,-0.8584238866396762,-0.4263,-0.8573690987124464,-0.4261875,17.5,0.1732827279179265
R0.9-S10-N10-D2-P0.001,0.9,10.0,10.0,2.0,0.001,0.0008913408316314456,-0.8465677611973209,-0.8491643835616438,-0.42225,-0.8483690987124464,-0.4171875,5.5,0.1707309028246875
R0.9-S10-N10-D2-P0.01,0.9,10.0,10.0,2.0,0.01,0.001048069191048195,-0.8038444529922169,-0.807457627118644,-0.39499999999999996,-0.7583690987124464,-0.32718749999999996,2.0,0.17115161028490308
