policy,persistence,rho,delay,seed,decision,covered_so_far,persistence_upper,rho_upper,certified_persistence,certified_rho,transition_trials,sharing_trials,q,gap,eta,updates,exact_radius
correlation_blind,0.98,0.0,0,21381257,4,True,0.9988678776010766,0.012511734753946235,1.0,0.0,928,928,1,12721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381257,5,True,0.9984444228812559,0.009957989399683943,1.0,0.0,1128,1128,1,10721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381257,6,True,0.9984167419870715,0.008285426423517428,1.0,0.0,1328,1328,1,8721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381257,7,True,0.9977461197001274,0.007103035201865461,0.998,0.0,3206,1338,16,935,0.29747783816625706,2,0.7790485524466472
correlation_blind,0.98,0.0,0,21381257,8,True,0.9936418355664025,0.007052918934569477,0.994,0.0,4798,1375,16,312,0.29731177755041066,5,0.7790789925456478
correlation_blind,0.98,0.0,0,21381257,9,True,0.9897569546966138,0.006873633385584107,0.99,0.0,6433,1402,16,202,0.3089385629550559,8,0.7774054619025699
correlation_blind,0.98,0.0,0,21381257,10,True,0.9885180910698732,0.006748593884760963,0.99,0.0,7096,1405,8,221,0.31274695092847526,3,0.7805696667064213
dual_ucb,0.98,0.0,0,20381258,1,True,0.9983186396695305,0.06276907731421694,1.0,0.08,328,328,1,18721,0.0,0,1.0
dual_ucb,0.98,0.0,0,20381258,2,True,0.9973052963407696,0.026376301972316142,0.998,0.04,2203,335,32,935,0.29463290249917845,2,0.7779207553826774
dual_ucb,0.98,0.0,0,20381258,3,True,0.9912685983518994,0.025863016808756842,0.992,0.04,3855,349,32,235,0.17993090493259722,7,0.8254249985530607
dual_ucb,0.98,0.0,0,20381258,4,True,0.9889702523911323,0.024895681852036743,0.99,0.04,5362,376,32,186,0.17080734921373353,8,0.8314038368991105
dual_ucb,0.98,0.0,0,20381258,5,True,0.9889833581498981,0.023225530002396223,0.99,0.04,6869,403,32,186,0.20353565863091852,8,0.8116910647577165
dual_ucb,0.98,0.0,0,20381258,6,True,0.9882084721232041,0.021770592925801108,0.99,0.04,8491,417,32,202,0.25240188487299986,8,0.7897132289756034
dual_ucb,0.98,0.0,0,20381258,7,True,0.9872263079158314,0.021087492818658064,0.988,0.04,10199,431,16,155,0.23980268060058207,11,0.7960418291802431
dual_ucb,0.98,0.0,0,20381258,8,True,0.9865293454450981,0.020447058864964715,0.988,0.04,11907,445,16,155,0.2805966413855206,11,0.7832436680826912
dual_ucb,0.98,0.0,0,20381258,9,True,0.9867776253190725,0.019845380345770748,0.988,0.02,13621,467,8,142,0.2729664450846709,12,0.7884298493178495
dual_ucb,0.98,0.0,0,20381258,10,True,0.9860078198205293,0.01897004004740164,0.988,0.02,14241,471,16,155,0.29632539501026456,4,0.780005566902809
correlation_blind,0.98,0.0,0,21381258,1,True,0.9998916376850624,0.06276907731421694,1.0,0.0,328,328,1,18721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381258,2,True,0.9963296485018818,0.026376301972316142,0.998,0.0,2203,335,32,935,0.2997644146494552,2,0.7769570065632019
