policy,persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,final_error,median_q,initial_p_upper,final_p_upper,initial_rho_upper,final_rho_upper,random_seed,oracle_error,to_oracle
dual_ucb,0.98,0.5,0,20401262,True,0.8822906215076818,0.008466334009587819,6.0,0.9993703412465136,0.9859452478028119,0.649161317137962,0.6055046692385939,20401262,0.007954716687928715,1.0643162216494126
correlation_blind,0.98,0.5,0,20401262,True,0.809089911808812,0.009021845795234138,8.0,0.9999990230334976,0.9857091277407914,0.6993419954966986,0.6038649386727464,21401262,0.007954716687928715,1.1341504857017461
dual_ucb,0.98,0.5,2,20411231,True,0.9668520415220427,0.0320818561243723,2.0,0.9983186396695305,0.9841813910025095,0.6344582199550199,0.6385096321605803,20411231,0.0012661849587895914,25.337416861309844
correlation_blind,0.98,0.5,2,20411231,True,0.9683196045907222,0.04748752519700724,4.0,0.9983186396695305,0.9849268015489703,0.6852076324875245,0.5762126565082839,21411231,0.0012661849587895914,37.504414238503436
dual_ucb,0.98,0.5,2,20411232,True,0.967393406585392,0.022100665859015454,2.0,0.9983186396695305,0.9841498278891254,0.6852076324875245,0.594244306978922,20411232,0.0012661849587895914,17.454531982549035
correlation_blind,0.98,0.5,2,20411232,True,0.9664555852967129,0.02786578511189645,4.0,0.9998916376850624,0.984845762678547,0.6780795109382056,0.6048114285680732,21411232,0.0012661849587895914,22.00767345912459
dual_ucb,0.98,0.5,2,20411233,True,0.9686793157480788,0.05752031072095751,4.0,0.9998916376850624,0.9848557523736987,0.6852076324875245,0.5739622216685079,20411233,0.0012661849587895914,45.42804771266909
correlation_blind,0.98,0.5,2,20411233,True,0.9659486476180503,0.08877894481584342,4.0,0.9993703412465136,0.9851396390299043,0.6418301725565638,0.5634854078136164,21411233,0.0012661849587895914,70.11530519262493
dual_ucb,0.98,0.5,2,20411234,True,0.9690441398613022,0.06077346922456995,4.0,0.9983186396695305,0.985542762564172,0.6993419954966986,0.5798617541755442,20411234,0.0012661849587895914,47.9973078203885
correlation_blind,0.98,0.5,2,20411234,True,0.9664555852967129,0.027755164898697313,3.0,0.9993703412465136,0.9841587987600515,0.6637015798253265,0.5772552807794793,21411234,0.0012661849587895914,21.92030848733967
dual_ucb,0.98,0.5,2,20411235,True,0.9688379716214991,0.023289233394755842,3.0,0.9967693945447871,0.9844204211887297,0.6637015798253265,0.5844243812355907,20411235,0.0012661849587895914,18.393231757403885
correlation_blind,0.98,0.5,2,20411235,True,0.9670127151702637,0.2991396331936077,3.0,0.9999990230334976,0.9879180964325256,0.7063480729282505,0.5705243031031599,21411235,0.0012661849587895914,236.25271420027767
dual_ucb,0.98,0.5,2,20411236,True,0.968920067867903,0.1312943982395628,4.0,0.9999990230334976,0.9861784596535794,0.7063480729282505,0.5714966063267404,20411236,0.0012661849587895914,103.69290625997768
correlation_blind,0.98,0.5,2,20411236,True,0.9676909367229934,0.016662429054384264,3.0,0.9967693945447871,0.9843270896890484,0.6709108235462167,0.624429627957007,21411236,0.0012661849587895914,13.159553775076194
dual_ucb,0.98,0.5,2,20411237,True,0.967393406585392,0.010981369599636602,2.0,0.9897522603044175,0.9836060677798875,0.6564517604415314,0.6455458899631656,20411237,0.0012661849587895914,8.672800544190823
