scenario_id,task,ray,budget,budget_index,message_budget,environment_budget,delay,rho,q,normalized_step,step_size,updates,spectral_radius,bias_risk,noise_risk,risk
cliffwalking-environment-B0-D0-R1,cliffwalking,environment,64,0,1000000,64,0,1.0,4,0.12,0.1316838876552719,64,0.9868133059285584,2138.0140837218123,114509.52888831712,116647.54297203892
cliffwalking-environment-B0-D0-R1,cliffwalking,environment,64,0,1000000,64,0,1.0,16,0.04,0.043894629218423964,64,0.9956044353095195,6653.4098651033955,20620.544011766477,27273.953876869873
cliffwalking-environment-B0-D0-R1,cliffwalking,environment,64,0,1000000,64,0,1.0,16,0.08,0.08778925843684793,64,0.991208870619039,3776.3654631920303,64225.434279865534,68001.79974305756
cliffwalking-environment-B0-D0-R1,cliffwalking,environment,64,0,1000000,64,0,1.0,16,0.12,0.1316838876552719,64,0.9868133059285584,2138.0140837218123,114509.52888831712,116647.54297203892
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,1,0.04,0.043894629218423964,128,0.9956044353095195,3785.7992448495515,36758.79789722768,40544.59714207723
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,1,0.08,0.08778925843684793,128,0.991208870619039,1219.5989981650837,95107.42363199157,96327.02263015664
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,1,0.12,0.1316838876552719,128,0.9868133059285584,390.9220324859275,148627.43888940653,149018.36092189245
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,4,0.04,0.043894629218423964,128,0.9956044353095195,3785.7992448495515,36758.79789722768,40544.59714207723
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,4,0.08,0.08778925843684793,128,0.991208870619039,1219.5989981650837,95107.42363199157,96327.02263015664
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,4,0.12,0.1316838876552719,128,0.9868133059285584,390.9220324859275,148627.43888940653,149018.36092189245
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,16,0.04,0.043894629218423964,128,0.9956044353095195,3785.7992448495515,36758.79789722768,40544.59714207723
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,16,0.08,0.08778925843684793,128,0.991208870619039,1219.5989981650837,95107.42363199157,96327.02263015664
cliffwalking-environment-B1-D0-R1,cliffwalking,environment,128,1,1000000,128,0,1.0,16,0.12,0.1316838876552719,128,0.9868133059285584,390.9220324859275,148627.43888940653,149018.36092189245
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,1,0.04,0.043894629218423964,256,0.9956044353095195,1225.699997496062,51230.33717063322,52456.03716812928
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,1,0.08,0.08778925843684793,256,0.991208870619039,127.20469546210568,108395.30700934514,108522.51170480724
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,1,0.12,0.1316838876552719,256,0.9868133059285584,13.069209532680386,156087.87481222654,156100.9440217592
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,4,0.04,0.043894629218423964,256,0.9956044353095195,1225.699997496062,51230.33717063322,52456.03716812928
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,4,0.08,0.08778925843684793,256,0.991208870619039,127.20469546210568,108395.30700934514,108522.51170480724
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,4,0.12,0.1316838876552719,256,0.9868133059285584,13.069209532680386,156087.87481222654,156100.9440217592
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,16,0.04,0.043894629218423964,256,0.9956044353095195,1225.699997496062,51230.33717063322,52456.03716812928
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,16,0.08,0.08778925843684793,256,0.991208870619039,127.20469546210568,108395.30700934514,108522.51170480724
cliffwalking-environment-B2-D0-R1,cliffwalking,environment,256,2,1000000,256,0,1.0,16,0.12,0.1316838876552719,256,0.9868133059285584,13.069209532680386,156087.87481222654,156100.9440217592
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,1,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,20448.924881169212,27144.93853680419
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,1,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,64282.83770382939,68088.84637294922
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,1,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,115440.22582599604,117587.0353700642
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,4,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,5112.231220292303,11808.244875927281
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,4,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,16070.709425957348,19876.718095077176
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,4,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,28860.05645649901,31006.866000567174
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,16,0.04,0.043894629218423964,63,0.9955849425774752,6696.013655634977,1278.0578050730758,7974.071460708053
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,16,0.08,0.08778925843684793,63,0.9911301972176411,3806.008669119828,4017.677356489337,7823.686025609165
cliffwalking-environment-B0-D1-R0,cliffwalking,environment,64,0,1000000,64,1,0.0,16,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,7215.014114124752,9361.823658192916
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,1,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,36816.504187935934,40617.00862098785
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,1,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,95864.01504437742,97080.76242840468
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,1,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,150427.13167340448,150810.6705599736
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,4,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,9204.126046983984,13004.630480035896
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,4,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,23966.003761094355,25182.751145121612
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,4,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,37606.78291835112,37990.32180492025
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,16,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,2301.031511745996,6101.535944797909
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,16,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,5991.500940273589,7208.2483243008455
cliffwalking-environment-B1-D1-R0,cliffwalking,environment,128,1,1000000,128,1,0.0,16,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,9401.69572958778,9785.234616156906
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,1,0.04,0.043894629218423964,255,0.9955849425774752,1224.3090759841386,51448.14504258855,52672.454118572685
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,1,0.08,0.08778925843684793,255,0.9911301972176411,124.35456059172813,109288.93904131762,109413.29360190935
cliffwalking-environment-B2-D1-R0,cliffwalking,environment,256,2,1000000,256,1,0.0,1,0.12,0.1316838876552719,255,0.9866346739891829,12.24168428241137,157882.18317445088,157894.42485873328
