persistence,policy,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,eta,sharp_boundary,sharp_factor,contraction,update_cost,updates,blocks,omega,initial_error,risk_surrogate,resource_budget
0.0,q1,1,0.9,8,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
0.0,q32,32,0.9,8,0.1,68,1.9079553609862025e-05,0.0006296252691254468,8.360831544774337,0.10000000000000003,7.412688455006394,0.09066556807314705,8.430024780552563,3.9764934301467165,8,0.00020354947791322963,0.00040709924049267803,0.9999907725258502,0.9999815451368468,104,1230,72,1.3583146888220214,0.696136173289883,0.6982612944233708,128000
0.9,joint,32,0.0,0,0.25,228,5.0600331378075896e-05,0.0016698109354765045,0.07204725804228582,0.1,7.412688455006394,0.07524442351309979,0.25555263406375883,0.0,0,0.294438075425412,0.5888761333943182,0.9888605449764191,0.9778451774110605,264,484,484,0.09775239292858043,9.107393995413027,0.3826916369456835,128000
0.9,q1,1,0.0,0,0.25,161,0.0008227777867717563,0.0016455555735435125,0.9510768321962353,0.1,7.412688455006394,0.07560401839584516,1.1319166433819023,0.0,0,0.06679292996435712,0.13358584103853754,0.9974718977536906,0.994950186808349,166,771,771,3.1280765737145737,9.107393995413027,2.947272084462294,128000
0.9,q32,32,0.0,0,0.25,228,5.0600331378075896e-05,0.0016698109354765045,0.07204725804228582,0.1,7.412688455006394,0.07524442351309979,0.25555263406375883,0.0,0,0.294438075425412,0.5888761333943182,0.9888605449764191,0.9778451774110605,264,484,484,0.09775239292858043,9.107393995413027,0.3826916369456835,128000
0.9,joint,2,0.9,0,0.25,171,0.0005426464518202909,0.0016279393554608727,0.9057075506611154,0.1,7.412688455006394,0.07586518546864929,1.0846114117013794,0.0,0,0.06994688318706603,0.13989376222705013,0.9973432041636263,0.9946934668913688,177,723,723,2.971672745028845,9.107393995413027,2.9342668075146454,128000
0.9,q1,1,0.9,0,0.25,161,0.0008227777867717563,0.0016455555735435125,0.9510768321962353,0.1,7.412688455006394,0.07560401839584516,1.1319166433819023,0.0,0,0.06679292996435712,0.13358584103853754,0.9974718977536906,0.994950186808349,166,771,771,3.1280765737145737,9.107393995413027,2.947272084462294,128000
0.9,q32,32,0.9,0,0.1,250,2.0252058628797924e-05,0.0006683179347503315,0.8631738493232626,0.1,7.412688455006394,0.09009193472160501,0.9366192504238708,0.0,0,0.09618844165746196,0.19237685896554735,0.9956576712354825,0.9913341982900642,286,447,447,2.825044155635975,9.107393995413027,3.202326511116664,128000
0.9,joint,4,0.0,8,0.5,166,0.0006681896700227425,0.0033409483501137126,0.2705376470669298,0.1,7.412688455006394,0.050469181472678856,0.6376941737314201,0.0,0,0.07914324756313394,0.1582864750899699,0.9980008544996376,0.9960057055820069,174,735,735,0.7820191434286434,9.107393995413027,1.706981771507356,128000
0.9,q1,1,0.0,8,0.25,161,0.0008227777867717563,0.0016455555735435125,0.9510768321962353,0.1,7.412688455006394,0.07560401839584516,1.1319166433819023,0.0,0,0.06679292996435712,0.13358584103853754,0.9974718977536906,0.994950186808349,166,771,771,3.1280765737145737,9.107393995413027,2.947272084462294,128000
0.9,q32,32,0.0,8,0.1,250,2.0252058628797924e-05,0.0006683179347503315,0.07204725804228582,0.1,7.412688455006394,0.09009193472160501,0.1454926591428941,3.9764934301467165,8,0.00020609507758449262,0.00041219017880357557,0.9999907162472753,0.9999814325807387,286,447,26,0.09775239292858043,9.107393995413027,9.10322201504624,128000
0.9,joint,2,0.9,8,0.25,171,0.0005426464518202909,0.0016279393554608727,0.9057075506611154,0.1,7.412688455006394,0.07586518546864929,1.0846114117013794,0.0,0,0.06994688318706603,0.13989376222705013,0.9973432041636263,0.9946934668913688,177,723,723,2.971672745028845,9.107393995413027,2.9342668075146454,128000
0.9,q1,1,0.9,8,0.25,161,0.0008227777867717563,0.0016455555735435125,0.9510768321962353,0.1,7.412688455006394,0.07560401839584516,1.1319166433819023,0.0,0,0.06679292996435712,0.13358584103853754,0.9974718977536906,0.994950186808349,166,771,771,3.1280765737145737,9.107393995413027,2.947272084462294,128000
0.9,q32,32,0.9,8,0.1,250,2.0252058628797924e-05,0.0006683179347503315,0.8631738493232626,0.1,7.412688455006394,0.09009193472160501,0.9366192504238708,3.9764934301467165,8,0.0002057228194076589,0.0004114455220594074,0.9999907330188577,0.9999814661235923,286,447,26,2.825044155635975,9.107393995413027,9.109457287342762,128000
0.98,joint,32,0.0,0,0.1,1266,2.0401972509792026e-05,0.0006732650928231369,0.021444795539708055,0.09999999999999992,7.412688455006394,0.09001859123854217,0.09543386903046559,0.0,0,0.9432562410584426,1.886512454185532,0.9566030541766667,0.9150894032601267,1302,98,98,0.042930467462265504,16.805355696005744,0.4526562892175807,128000
0.98,q1,1,0.0,0,0.1,924,0.0003355012384313969,0.0006710024768627938,0.22637437532646476,0.09999999999999992,7.412688455006394,0.09005213537295687,0.3001147965993133,0.0,0,0.3000589798621073,0.600117930827559,0.9863970039627498,0.972979049426689,929,137,137,1.3737749587924961,16.805355696005744,4.971616179583951,128000
