persistence,rho,maximum_delay,policy,direct_pair_tv,iterated_pair_tv,absolute_tv_difference,stationary_state_residual,stationary_pair_residual,transition_row_residual,pair_row_residual
0.9,0.0,0,joint,5.0600331378075896e-05,5.060033137912687e-05,1.0509713758988237e-15,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.0,0,q1,0.0008227777867717563,0.0008227777867725306,7.743371915891473e-16,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.0,0,q32,5.0600331378075896e-05,5.060033137912687e-05,1.0509713758988237e-15,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.9,0,joint,0.0005426464518202909,0.0005426464518209642,6.733979693307468e-16,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.9,0,q1,0.0008227777867717563,0.0008227777867725306,7.743371915891473e-16,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.9,0,q32,2.0252058628797924e-05,2.02520586300305e-05,1.2325752397901457e-15,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.0,8,joint,0.0006681896700227425,0.0006681896700235347,7.922265274351581e-16,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.0,8,q1,0.0008227777867717563,0.0008227777867725306,7.743371915891473e-16,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.0,8,q32,2.0252058628797924e-05,2.02520586300305e-05,1.2325752397901457e-15,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.9,8,joint,0.0005426464518202909,0.0005426464518209642,6.733979693307468e-16,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.9,8,q1,0.0008227777867717563,0.0008227777867725306,7.743371915891473e-16,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.9,0.9,8,q32,2.0252058628797924e-05,2.02520586300305e-05,1.2325752397901457e-15,0.0,2.7755575615628914e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.98,0.0,0,joint,2.0401972509792026e-05,2.040197251251429e-05,2.7222622485216508e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.0,0,q1,0.0003355012384313969,0.00033550123843263625,1.2393515033681801e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.0,0,q32,2.0401972509792026e-05,2.040197251251429e-05,2.7222622485216508e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.9,0,joint,0.00022463051114961498,0.00022463051115106583,1.4508522421657899e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.9,0,q1,0.0003355012384313969,0.00033550123843263625,1.2393515033681801e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.9,0,q32,2.0401972509792026e-05,2.040197251251429e-05,2.7222622485216508e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.0,8,joint,0.0003355012384313969,0.00033550123843263625,1.2393515033681801e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.0,8,q1,0.0003355012384313969,0.00033550123843263625,1.2393515033681801e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.0,8,q32,2.0401972509792026e-05,2.040197251251429e-05,2.7222622485216508e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.9,8,joint,0.00022463051114961498,0.00022463051115106583,1.4508522421657899e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
0.98,0.9,8,q1,0.0003355012384313969,0.00033550123843263625,1.2393515033681801e-15,2.7755575615628914e-17,4.336808689942018e-19,1.1102230246251565e-16,0.0
