persistence,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,eta,sharp_boundary,sharp_factor,contraction,update_cost,updates,blocks,omega,initial_error,risk_surrogate,resource_budget
0.0,16,0.9,0,0.25,58,9.041371420756398e-05,0.0015370331415285876,8.384859688790538,0.10000000000000003,7.412688455006394,0.0772129043536577,8.553773329611307,0.0,0,0.009026765576747831,0.0180535306182037,0.9996514478724898,0.9993030172335653,78,1641,1641,1.3630147396483954,0.696136173289883,0.38106272909243455,128000
0.0,16,0.9,0,0.5,53,0.00019681915438076608,0.0033459256244730232,8.384859688790538,0.10000000000000003,7.412688455006394,0.05039539150431756,8.752563197501596,0.0,0,0.005757786950939394,0.011515573293706487,0.9998549065178074,0.9997098340877334,73,1753,1753,1.3630147396483954,0.696136173289883,0.574283487691654,128000
0.0,16,0.9,0,0.75,51,0.0002686584979512118,0.004567194465170601,8.384859688790538,0.10000000000000003,7.412688455006394,0.03228962063252161,8.886775636211949,0.0,0,0.0036334463027368497,0.007266892280017784,0.9999413369806003,0.9998826774025504,71,1802,1802,1.3630147396483954,0.696136173289883,0.716847594026824,128000
0.0,32,0.9,0,0.1,68,1.9079553609862025e-05,0.0006296252691254468,8.360831544774337,0.10000000000000003,7.412688455006394,0.09066556807314705,8.430024780552563,0.0,0,0.010755079654503737,0.021510154580400336,0.9995123234897173,0.9990248848078133,104,1230,1230,1.3583146888220214,0.696136173289883,0.3708053095800976,128000
0.0,32,0.9,0,0.25,62,4.85252599041608e-05,0.0016013335768373066,8.360831544774337,0.10000000000000003,7.412688455006394,0.07625962616472803,8.536811539820594,0.0,0,0.00893303421576308,0.017866067631692913,0.9996593270613178,0.9993187701806867,98,1306,1306,1.3583146888220214,0.696136173289883,0.44498803895480377,128000
0.0,32,0.9,0,0.5,58,9.041371420756398e-05,0.0029836525688496113,8.360831544774337,0.10000000000000003,7.412688455006394,0.05576622609827667,8.688722729897005,0.0,0,0.006418230887190849,0.012836461199616407,0.9998210237343582,0.9996420795012201,94,1361,1361,1.3583146888220214,0.696136173289883,0.5839906991682262,128000
0.0,32,0.9,0,0.75,55,0.00014418966774889402,0.004758259035713502,8.360831544774337,0.10000000000000003,7.412688455006394,0.029457016360073363,8.883744705183727,0.0,0,0.0033158334302666637,0.006631666563511853,0.9999511615297879,0.999902325444772,91,1406,1406,1.3583146888220214,0.696136173289883,0.7597043104100671,128000
0.0,1,0.0,8,0.1,50,0.00031388256269316976,0.0006277651253863395,9.1057040309513,0.10000000000000003,7.412688455006394,0.09069314540518611,9.1746928445587,0.0,0,0.009885142859986436,0.01977028483497892,0.9995516421583127,0.9991034853413796,55,2327,2327,1.5040162644396087,0.696136173289883,0.2502819454564151,128000
0.0,1,0.0,8,0.25,44,0.0007983013019689016,0.0015966026039378031,9.1057040309513,0.10000000000000003,7.412688455006394,0.07632976462111424,9.28116411147165,0.0,0,0.008224158857826824,0.016448316979282458,0.9996860766852157,0.9993722519182789,49,2612,2612,1.5040162644396087,0.696136173289883,0.2970608886331594,128000
0.0,1,0.0,8,0.5,40,0.00148741867493181,0.00297483734986362,9.1057040309513,0.10000000000000003,7.412688455006394,0.05589691504228829,9.432626459647496,0.0,0,0.0059259127997207265,0.011851824151292309,0.9998343661807987,0.9996687597961594,45,2844,2844,1.5040162644396087,0.696136173289883,0.4307800506193361,128000
0.0,1,0.0,8,0.75,37,0.0023721017329521705,0.004744203465904341,9.1057040309513,0.10000000000000003,7.412688455006394,0.029665395480179185,9.627072541862816,0.0,0,0.003081455724919676,0.006162910968245684,0.9999542926576238,0.9999085874044088,42,3047,3047,1.5040162644396087,0.696136173289883,0.683121283200042,128000
0.0,2,0.0,8,0.1,53,0.00019681915438076608,0.0005904574631422982,5.26120162052503,0.10000000000000003,7.412688455006394,0.09124624555958548,5.326090475003452,0.0,0,0.017131936285161208,0.03426387365660585,0.9992180818446258,0.9984367750852533,59,2169,2169,0.7520081322198043,0.696136173289883,0.16458206721035218,128000
0.0,2,0.0,8,0.25,47,0.000500572545289632,0.0015017176358688962,5.26120162052503,0.10000000000000003,7.412688455006394,0.07773647003583031,5.42623423205812,0.0,0,0.014326048906828495,0.028652087879496108,0.9994430168421539,0.9988863439145459,53,2415,2415,0.7520081322198043,0.696136173289883,0.18579575558769154,128000
0.0,2,0.0,8,0.5,42,0.0010896826653167585,0.0032690479959502756,5.26120162052503,0.10000000000000003,7.412688455006394,0.05153513132311524,5.620456593039576,0.0,0,0.009169207793367943,0.01833841449356076,0.9997637039322883,0.9995274637004082,48,2666,2666,0.7520081322198043,0.696136173289883,0.3312445498161996,128000
0.0,2,0.0,8,0.75,40,0.00148741867493181,0.00446225602479543,5.26120162052503,0.10000000000000003,7.412688455006394,0.033845372563432424,5.751585263569324,0.0,0,0.0058845329108233565,0.011769058794209523,0.9999004129963116,0.9998008359101945,46,2782,2782,0.7520081322198043,0.696136173289883,0.5307285583909418,128000
0.0,4,0.0,8,0.1,56,0.0001234148815085895,0.0006170744075429475,3.3389520242634765,0.10000000000000003,7.412688455006394,0.090851639326653,3.4067659718090306,0.0,0,0.026668002482448005,0.053336002577487954,0.9987878495282931,0.9975771683653524,64,2000,2000,0.37600406610990217,0.696136173289883,0.11581102127191643,128000
0.0,4,0.0,8,0.25,50,0.00031388256269316976,0.0015694128134658488,3.3389520242634765,0.10000000000000003,7.412688455006394,0.07673286351296524,3.5114240582819773,0.0,0,0.02185234966782801,0.043704697717715665,0.9991612515993479,0.9983232066975753,58,2206,2206,0.37600406610990217,0.696136173289883,0.12425488123660891,128000
0.0,4,0.0,8,0.5,46,0.0005848353627195289,0.0029241768135976447,3.3389520242634765,0.10000000000000003,7.412688455006394,0.056647976586894744,3.660307067718969,0.0,0,0.015476291490058575,0.0309525815943062,0.9995615536030139,0.9991232994412709,54,2370,2370,0.37600406610990217,0.696136173289883,0.18980704142641366,128000
0.0,4,0.0,8,0.75,43,0.0009326817580449679,0.0046634087902248395,3.3389520242634765,0.10000000000000003,7.412688455006394,0.030863206999450027,3.8514415315548205,0.0,0,0.008013418003033956,0.01602683397714151,0.9998763324795266,0.9997526802527088,51,2509,2509,0.37600406610990217,0.696136173289883,0.47188407900017687,128000
0.0,8,0.0,8,0.1,60,6.623706651910611e-05,0.000596133598671955,2.3778285846336367,0.10000000000000003,7.412688455006394,0.09116209471096601,2.443341223136099,0.5,1,0.0015886468597440815,0.0031772834521854657,0.9999275876152279,0.9998551804740093,72,1777,592,0.18800203305495108,0.696136173289883,0.6422133915885634,128000
0.0,8,0.0,8,0.25,54,0.00016846153382633954,0.0015161538044370557,2.3778285846336367,0.10000000000000003,7.412688455006394,0.07752244839567086,2.544447671907858,0.5,1,0.0013485269983943764,0.0026970471076648095,0.9999477293428244,0.9998954614178703,66,1939,646,0.18800203305495108,0.696136173289883,0.653945141786752,128000
