original_persistence,decorrelation_gap,target_delta,actual_delta,used_persistence,homogeneous_delay,rho,num_agents,eta,root,lipschitz,monotonicity,effective_monotonicity,curvature,effective_curvature,rms_delay,linear_coefficient,cubic_coefficient,right_hand_side,polynomial_at_eta,contraction_coefficient,sharp_root,sharp_safe_eta,sharp_safe_factor,sharp_root_factor,rate_eta,rate_factor,rate_contraction_coefficient,coarse_eta,exact_boundary,exact_below_radius,exact_below_residual,exact_above_radius,exact_above_residual,sharp_radius,sharp_residual,rate_radius,rate_residual,sharp_to_exact_ratio,rate_to_exact_ratio,exact_window_contraction,theorem_envelope_slack
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,4,0.03176248683288692,0.03176248715051179,2.2,0.655,0.655,2.429089375,2.429089375,2.0,41.149089375,93.70240000000003,1.31,1.3099999868399483,0.999999999582004,0.06110289664114266,0.061102896030113686,0.9999999995983205,0.9999999999999999,0.030579202603114697,0.9899760368103969,0.9800525534588204,0.03176248683288692,0.35230874426992653,0.9999999634247446,2.2294483623700686e-15,1.0000000371920814,1.859209257772296e-15,0.9249173670639909,2.7264114167449077e-15,0.9608595740656585,1.495456402381045e-15,0.17343564990626179,0.08679660411632018,0.8190296218618914,0.16102293159692893
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,8,0.03176828988451858,0.03176829020220148,2.2,0.655,0.655,2.4215209375,2.4215209375,2.0,41.141520937500005,93.70240000000003,1.31,1.3099999868399153,0.9999999995819266,0.06112520332851358,0.061125202717261545,0.9999999995981776,1.0,0.03059029294812913,0.9899724280936654,0.9800454083856674,0.03176828988451858,0.3530915873353928,0.9999999631974241,1.688305753616065e-15,1.0000000370713793,1.8511117084211232e-15,0.9248539172739924,2.420629930989809e-15,0.9608374883427072,1.0436982210128658e-15,0.17311429926309815,0.0866355757127461,0.81893549765131,0.16110991073435743
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,16,0.03177119220012939,0.031771192517841315,2.2,0.655,0.655,2.41773671875,2.41773671875,2.0,41.137736718750006,93.70240000000003,1.31,1.3099999868398988,0.9999999995818879,0.06113636309048337,0.06113636247911974,0.9999999995981064,1.0,0.030595841730762158,0.9899706227394922,0.980041833887218,0.03177119220012939,0.35348439762890704,0.9999999635489201,1.1941350555210705e-15,1.000000037476291,8.400361489980556e-16,0.9248221591932555,2.078149491084301e-15,0.9608264361391954,1.3749519385820403e-15,0.1729534963613912,0.08655499913431004,0.8188883989812805,0.16115343490593748
0.5,1,0.07443181818181818,0.0,0.5,2,0.9,32,0.031772643555445665,0.03177264387317211,2.2,0.655,0.655,2.4158446093750006,2.4158446093750006,2.0,41.135844609375006,93.70240000000003,1.31,1.3099999868398906,0.9999999995818686,0.06114194457718515,0.0611419439657657,0.9999999995980706,1.0,0.03059861608839773,0.9899697198132894,0.9800400461472027,0.031772643555445665,0.353681151054703,0.9999999634208979,5.488309788105658e-16,1.000000037375001,2.5693029166257706e-15,0.9248062718465019,1.6837365821701475e-15,0.9608209088628451,1.72285902797925e-15,0.17287306316278367,0.08651469267488647,0.8188648454536301,0.1611752006935726
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,1,0.23028674204984795,0.2302867443527154,2.2,0.655,0.3597209983999999,2.4745000000000004,3.1241138035200007,0.0,3.1241138035200007,0.0,0.7194419967999998,0.7194419896055797,0.9999999983432205,0.2302867443527154,0.23028674204984795,0.9999999991716102,1.0,0.1151433652991363,0.9790712492978118,0.9585805112015778,0.23028674204984795,0.45413932261927537,0.9999999520419538,1.1102230246251568e-16,1.0000000485355902,1.1102230246251568e-16,0.867690507905776,0.0,0.8931516995994088,0.0,0.5070839070302381,0.25354194090712107,0.8931516995994088,0.06542881160216907
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,2,0.2549968214831856,0.2549968240331538,2.2,0.655,0.3597209983999999,2.1717625000000003,2.8213763035200006,0.0,2.8213763035200006,0.0,0.7194419967999998,0.7194419896055796,0.9999999981654457,0.2549968240331538,0.2549968214831856,0.9999999990827229,1.0,0.12749840223230907,0.9767989270750571,0.9541361439349827,0.2549968214831856,0.5147857851474923,0.9999999469443233,0.0,1.000000051877442,1.5700924586837752e-16,0.8533441718003993,1.1102230246251568e-16,0.8819852587255768,1.1102230246251568e-16,0.4953454987303621,0.24767273283542446,0.8819852587255768,0.07215088520940593
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,4,0.26945316639913786,0.26945316909366956,2.2,0.655,0.3597209983999999,2.02039375,2.6700075535200005,0.0,2.6700075535200005,0.0,0.7194419967999998,0.7194419896055797,0.9999999980614407,0.26945316909366945,0.26945316639913774,0.9999999990307203,0.9999999999999999,0.13472658062377685,0.9754670770947581,0.9515360184957907,0.26945316639913786,0.5524778690248712,0.9999999450209475,1.1102230246251565e-16,1.0000000547928134,1.5700924586837754e-16,0.8448831588788974,1.1102230246251565e-16,0.8754783501741952,1.1102230246251565e-16,0.4877175747776562,0.24385878272657432,0.8754783501741952,0.07605766832159555
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,8,0.27731394282804966,0.27731394560118916,2.2,0.655,0.3597209983999999,1.9447093750000004,2.5943231785200007,0.0,2.5943231785200007,0.0,0.7194419967999998,0.7194419896055796,0.9999999980048869,0.27731394560118905,0.27731394282804955,0.9999999990024434,1.0,0.13865696390513105,0.9747421070770712,0.9501221753090485,0.27731394282804966,0.5737633274617369,0.9999999438651282,1.5700924586837752e-16,1.0000000562499944,0.0,0.8402587085321,1.1102230246251568e-16,0.8719481161601659,0.0,0.48332462106780966,0.24166229744681234,0.8719481161601659,0.07817405914888265
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,16,0.28141886919273834,0.28141887200692706,2.2,0.655,0.3597209983999999,1.9068671875000003,2.556480991020001,0.0,2.556480991020001,0.0,0.7194419967999998,0.7194419896055797,0.9999999979753544,0.28141887200692695,0.28141886919273823,0.9999999989876772,0.9999999999999999,0.14070942534305803,0.9743633106785853,0.9493838611965333,0.28141886919273834,0.5851186354893534,0.9999999431090384,1.1102230246251565e-16,1.0000000568558902,1.1102230246251565e-16,0.8378367628466286,1.1102230246251565e-16,0.8701068309815012,1.1102230246251568e-16,0.48096035935922404,0.24048016386519333,0.8701068309815012,0.07927703021503207
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.0,32,0.28351724441246945,0.28351724724764193,2.2,0.655,0.3597209983999999,1.8879460937500003,2.537559897270001,0.0,2.537559897270001,0.0,0.7194419967999998,0.7194419896055797,0.9999999979602578,0.28351724724764193,0.28351724441246945,0.9999999989801289,1.0,0.14175861601674217,0.9741696188951027,0.9490064463782296,0.28351724441246945,0.5909897380428307,0.9999999423188204,0.0,1.000000056761643,1.1102230246251565e-16,0.8365967792994686,0.0,0.8691661779416856,1.1102230246251565e-16,0.4797329397823184,0.2398664594180627,0.8691661779416856,0.07984026843654402
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,1,0.23028674204984795,0.2302867443527154,2.2,0.655,0.3597209983999999,2.4745000000000004,3.1241138035200007,0.0,3.1241138035200007,0.0,0.7194419967999998,0.7194419896055797,0.9999999983432205,0.2302867443527154,0.23028674204984795,0.9999999991716102,1.0,0.1151433652991363,0.9790712492978118,0.9585805112015778,0.23028674204984795,0.45413932261927537,0.9999999520419538,1.1102230246251568e-16,1.0000000485355902,1.1102230246251568e-16,0.867690507905776,0.0,0.8931516995994088,0.0,0.5070839070302381,0.25354194090712107,0.8931516995994088,0.06542881160216907
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,2,0.23254013690431033,0.23254013922971173,2.2,0.655,0.3597209983999999,2.4442262500000003,3.0938400535200006,0.0,3.0938400535200006,0.0,0.7194419967999998,0.7194419896055797,0.9999999983270086,0.23254013922971162,0.23254013690431022,0.9999999991635042,1.0,0.11627006552653452,0.9788642472141409,0.9581752144741067,0.23254013690431033,0.45949341046119163,0.9999999514849667,1.5700924586837752e-16,1.0000000487592868,2.220446049250313e-16,0.8663876621678726,0.0,0.8921310641815926,0.0,0.5060793726528323,0.25303967995935944,0.8921310641815926,0.06604415029251409
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,4,0.23368345302824262,0.23368345536507718,2.2,0.655,0.3597209983999999,2.429089375,3.0787031785200005,0.0,3.0787031785200005,0.0,0.7194419967999998,0.7194419896055798,0.9999999983187831,0.23368345536507706,0.2336834530282425,0.9999999991593915,0.9999999999999999,0.11684172253272876,0.9787592027987561,0.9579695770632565,0.23368345302824262,0.46222262453181084,0.9999999513056236,1.5700924586837752e-16,1.0000000489751117,1.1102230246251563e-16,0.8657262410043884,1.1102230246251565e-16,0.8916134000318612,1.1102230246251565e-16,0.5055647227673946,0.2527823527701153,0.8916134000318612,0.06635617703139529
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,8,0.23425933743520322,0.23425933977779662,2.2,0.655,0.3597209983999999,2.4215209375,3.0711347410200003,0.0,3.0711347410200003,0.0,0.7194419967999998,0.7194419896055797,0.9999999983146399,0.23425933977779656,0.23425933743520316,0.99999999915732,0.9999999999999999,0.11712966130509886,0.9787062880176581,0.9578659982053032,0.23425933743520322,0.46360059220122796,0.9999999506967152,1.5700924586837754e-16,1.0000000485650142,2.220446049250313e-16,0.8653929847009635,1.1102230246251565e-16,0.8913527016767477,2.4825341532472736e-16,0.5053042238857233,0.252652095953877,0.8913527016767477,0.06651329652855542
0.9,9,0.07443181818181818,0.06710886400000003,0.567108864,0,0.9,16,0.23454834534957383,0.23454834769505734,2.2,0.655,0.3597209983999999,2.41773671875,3.0673505222700004,0.0,3.0673505222700004,0.0,0.7194419967999998,0.7194419896055797,0.9999999983125607,0.23454834769505722,0.23454834534957372,0.9999999991562802,0.9999999999999999,0.11727416827960349,0.9786797316267625,0.9578140170970318,0.23454834534957383,0.46429295831019496,0.9999999515054545,1.5700924586837752e-16,1.0000000494734689,1.1102230246251565e-16,0.8652257142337888,1.1102230246251568e-16,0.8912218789570834,0.0,0.505173169550574,0.2525865753088859,0.8912218789570834,0.06659213813994846
