cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,safe_dynamic_risk,common_scalar_risk,recipient_static_risk,recipient_static_alpha,static_to_scalar_ratio,dynamic_to_static_ratio
H0.2-I1.5-N0.5-S0-T0-D3,0.2,1.5,0.5,0.0,0.0,3,0.008105149278072987,0.009095641989152154,0.008050230602645586,"[0.1,0.5,0.5,0.1]",0.8850645850228748,1.0068220002802595
H0.2-I1.5-N0.5-S0-T0.6-D0,0.2,1.5,0.5,0.0,0.6,0,0.02251954543110828,0.026219158896477593,0.022725668793125965,"[0.1,0.75,0.75,0.1]",0.8667581169500842,0.9909299319683813
H0.2-I1.5-N0.5-S0-T0.6-D1,0.2,1.5,0.5,0.0,0.6,1,0.02174146664900388,0.025129793762732607,0.021710434438127993,"[0.25,0.75,0.75,0.25]",0.8639320578239081,1.0014293684893467
H0.2-I1.5-N0.5-S0-T0.6-D3,0.2,1.5,0.5,0.0,0.6,3,0.01996540583889398,0.023800268574465717,0.02011809499187882,"[0.25,0.75,0.75,0.25]",0.845288570124064,0.9924103572904652
H0.2-I1.5-N0.5-S0-T0.9-D0,0.2,1.5,0.5,0.0,0.9,0,0.039724063634458705,0.04705994823770214,0.04222077171924782,"[0.25,0.75,0.75,0.25]",0.8971699566261442,0.9408654085862931
H0.2-I1.5-N0.5-S0-T0.9-D1,0.2,1.5,0.5,0.0,0.9,1,0.03858376397810545,0.04378997195759658,0.03975628729269467,"[0.25,0.75,0.75,0.25]",0.9078856531626036,0.9705072230221892
H0.2-I1.5-N0.5-S0-T0.9-D3,0.2,1.5,0.5,0.0,0.9,3,0.034827336025667066,0.0392022557122062,0.03611691425063031,"[0.25,0.75,0.75,0.5]",0.9212968385231152,0.9642943409834428
H0.2-I1.5-N0.5-S0.5-T0-D0,0.2,1.5,0.5,0.5,0.0,0,0.009786493424089278,0.01019026699444417,0.009776842288156548,"[0.0,0.25,0.25,0.0]",0.9594294529757637,1.0009871424380468
H0.2-I1.5-N0.5-S0.5-T0-D1,0.2,1.5,0.5,0.5,0.0,1,0.009413515563178031,0.009788598284785354,0.009357858324264858,"[0.0,0.25,0.25,0.0]",0.9559957464808823,1.005947647098787
H0.2-I1.5-N0.5-S0.5-T0-D3,0.2,1.5,0.5,0.5,0.0,3,0.008771184719057329,0.009329164363484643,0.008705861370574254,"[0.1,0.25,0.25,0.1]",0.9331876930639079,1.0075033756801903
H0.2-I1.5-N0.5-S0.5-T0.6-D0,0.2,1.5,0.5,0.5,0.6,0,0.028618826412406463,0.03130255042074617,0.029292553742999935,"[0.1,0.5,0.5,0.1]",0.9357880859313595,0.9770000479813246
H0.2-I1.5-N0.5-S0.5-T0.6-D1,0.2,1.5,0.5,0.5,0.6,1,0.026792868762769654,0.029027185808485793,0.02680663996288398,"[0.1,0.5,0.5,0.1]",0.9235011667940384,0.9994862765294944
H0.2-I1.5-N0.5-S0.5-T0.6-D3,0.2,1.5,0.5,0.5,0.6,3,0.023407386497901368,0.025700462578162865,0.023481565006527903,"[0.25,0.5,0.5,0.25]",0.9136631270784864,0.9968409895760392
H0.2-I1.5-N0.5-S0.5-T0.9-D0,0.2,1.5,0.5,0.5,0.9,0,0.05740816322624348,0.06536895259663152,0.061286417402104096,"[0.25,0.75,0.75,0.25]",0.9375462657368967,0.9367191893366006
H0.2-I1.5-N0.5-S0.5-T0.9-D1,0.2,1.5,0.5,0.5,0.9,1,0.05416686915962109,0.059311298317971994,0.055066989277707985,"[0.25,0.75,0.75,0.25]",0.9284401259013085,0.9836540887763536
H0.2-I1.5-N0.5-S0.5-T0.9-D3,0.2,1.5,0.5,0.5,0.9,3,0.04380842691181558,0.048118013244673685,0.04544650712311239,"[0.25,0.5,0.75,0.25]",0.9444801241485794,0.9639558611873222
H0.2-I1.5-N0.5-S0.9-T0-D0,0.2,1.5,0.5,0.9,0.0,0,0.010202478036948917,0.01020408871192565,0.010202664800902097,"[0.0,0.1,0.1,0.0]",0.9998604568165024,0.9999816945908913
