alignment,horizon,num_agents,eta,rho,mean_delay,max_delay,stable,spectral_radius,finite_mse,stationary_mse,squared_bias,finite_variance
server_time,25,4,0.02,0.9,0.0,0,True,0.98,0.46114889386450564,0.25478934925722646,0.3641696800871165,0.09697921377738919
server_time,25,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.45783258275038347,0.25747138422750976,0.3587079313544932,0.09912465139589027
server_time,25,16,0.02,0.9,2.375,6,True,0.978945387467499,0.45112680127401894,0.26398387864300615,0.3470599148575173,0.10406688641650166
server_time,25,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.4359499290645492,0.28389687386512946,0.31920242734583837,0.11674750171871082
server_time,50,1,0.02,0.9,0.0,0,True,0.98,0.3200299657073548,0.25591629030954066,0.13261955589475277,0.18741040981260204
server_time,50,2,0.02,0.9,0.0,0,True,0.98,0.31937999974548814,0.25516499627466455,0.13261955589475277,0.18676044385073537
server_time,50,4,0.02,0.9,0.0,0,True,0.98,0.31905501676455483,0.25478934925722646,0.13261955589475277,0.18643546086980203
server_time,50,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.31830854172923084,0.25747138422750976,0.12855962230867404,0.18974891942055677
server_time,50,16,0.02,0.9,2.375,6,True,0.978945387467499,0.31734772331736444,0.26398387864300615,0.11976438210223089,0.19758334121513355
server_time,50,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.3174148516055763,0.28389687386512946,0.09666425824442927,0.22075059336114705
server_time,100,1,0.02,0.9,0.0,0,True,0.98,0.2634505269303801,0.25591629030954066,0.01758794660572145,0.24586258032465866
server_time,100,2,0.02,0.9,0.0,0,True,0.98,0.2627126709795462,0.25516499627466455,0.01758794660572145,0.24512472437382474
server_time,100,4,0.02,0.9,0.0,0,True,0.98,0.2623437430041292,0.25478934925722646,0.01758794660572145,0.24475579639840775
server_time,100,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.26433024564843705,0.25747138422750976,0.016513221438362632,0.2478170242100744
server_time,100,16,0.02,0.9,2.375,6,True,0.978945387467499,0.2694100640604421,0.26398387864300615,0.014261792805052105,0.25514827125538997
server_time,100,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.28609801678759605,0.28389687386512946,0.00886044878232911,0.27723756800526694
server_time,200,1,0.02,0.9,0.0,0,True,0.98,0.25604444258081616,0.25591629030954066,0.00030933586580570875,0.25573510671501043
server_time,200,2,0.02,0.9,0.0,0,True,0.98,0.2552933848942447,0.25516499627466455,0.00030933586580570875,0.25498404902843896
server_time,200,4,0.02,0.9,0.0,0,True,0.98,0.2549178560509589,0.25478934925722646,0.00030933586580570875,0.2546085201851532
server_time,200,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.2575804363518566,0.25747138422750976,0.0002724496400449933,0.25730798671181165
server_time,200,16,0.02,0.9,2.375,6,True,0.978945387467499,0.2640572344761631,0.26398387864300615,0.0002022399791600176,0.26385499449700306
server_time,200,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.28391303465514545,0.28389687386512946,7.444483970981085e-05,0.28383858981543564
server_time,500,1,0.02,0.9,0.0,0,True,0.98,0.2559162910056555,0.25591629030954066,1.682967357215902e-09,0.2559162893226881
server_time,500,2,0.02,0.9,0.0,0,True,0.98,0.25516499697206524,0.25516499627466455,1.682967357215902e-09,0.25516499528909786
server_time,500,4,0.02,0.9,0.0,0,True,0.98,0.2547893499552701,0.25478934925722646,1.682967357215902e-09,0.2547893482723027
server_time,500,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.2574713847163935,0.25747138422750976,1.2236283757893323e-09,0.25747138349276516
server_time,500,16,0.02,0.9,2.375,6,True,0.978945387467499,0.26398387885164726,0.26398387864300615,5.766943269335879e-10,0.26398387827495295
server_time,500,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.2838968738746191,0.28389687386512946,4.415412046080976e-11,0.28389687383046497
server_time,1000,1,0.02,0.9,0.0,0,True,0.98,0.25591629030954066,0.25591629030954066,2.8323791254542753e-18,0.25591629030954066
server_time,1000,2,0.02,0.9,0.0,0,True,0.98,0.25516499627466455,0.25516499627466455,2.8323791254542753e-18,0.25516499627466455
server_time,1000,4,0.02,0.9,0.0,0,True,0.98,0.25478934925722646,0.25478934925722646,2.8323791254542753e-18,0.25478934925722646
server_time,1000,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.25747138422750976,0.25747138422750976,1.4959659491991186e-18,0.25747138422750976
server_time,1000,16,0.02,0.9,2.375,6,True,0.978945387467499,0.26398387864300615,0.26398387864300615,3.3068167191508156e-19,0.26398387864300615
server_time,1000,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.28389687386512946,0.28389687386512946,1.8486965743423446e-21,0.28389687386512946
server_time,2000,1,0.02,0.9,0.0,0,True,0.98,0.25591629030954066,0.25591629030954066,8.022371510309123e-36,0.25591629030954066
server_time,2000,2,0.02,0.9,0.0,0,True,0.98,0.25516499627466455,0.25516499627466455,8.022371510309123e-36,0.25516499627466455
server_time,2000,4,0.02,0.9,0.0,0,True,0.98,0.25478934925722646,0.25478934925722646,8.022371510309123e-36,0.25478934925722646
server_time,2000,8,0.02,0.9,0.75,2,True,0.9796868352611688,0.25747138422750976,0.25747138422750976,2.2359703777081672e-36,0.25747138422750976
server_time,2000,16,0.02,0.9,2.375,6,True,0.978945387467499,0.26398387864300615,0.26398387864300615,1.0872740325088755e-37,0.26398387864300615
server_time,2000,32,0.02,0.9,6.65625,16,True,0.9763867886273772,0.28389687386512946,0.28389687386512946,3.240816438808503e-42,0.28389687386512946
