cell_id,task,delay,message_overhead,rho,oracle_active,controller_mean_risk,strong_fixed_mean_risk,true_rho_oracle_mean_risk,controller_to_strong_ratio,controller_to_oracle_ratio,median_selected_q
cliffwalking-D8-H32-R0.7,cliffwalking,8,32,0.7,True,11.858142286816323,10.796459930873514,11.459909776966331,1.0983361548822894,1.0347500562919276,4.0
cliffwalking-D8-H32-R0.9,cliffwalking,8,32,0.9,True,10.576083856333844,14.854050133082314,9.275019670239951,0.7120000108777899,1.1402761646175823,1.0
cliffwalking-D8-H32-R1,cliffwalking,8,32,1.0,True,7.701284135647596,8.453478264453153,7.694972065579286,0.9110195702556507,1.0008202849879786,1.0
cliffwalking-D8-H8-R0,cliffwalking,8,8,0.0,True,0.9780174392387053,1.9367302492020193,0.9544119047354822,0.5049838198384482,1.0247330679616422,16.0
cliffwalking-D8-H8-R0.1,cliffwalking,8,8,0.1,True,1.8044965130300366,2.134394397176968,1.942001626362659,0.8454372422532278,0.9291941307020595,16.0
cliffwalking-D8-H8-R0.3,cliffwalking,8,8,0.3,False,4.049777254786551,4.080733217284674,4.080733217284674,0.9924141175495119,0.9924141175495119,4.0
cliffwalking-D8-H8-R0.5,cliffwalking,8,8,0.5,False,7.58928350004292,7.460850145392511,7.460850145392511,1.0172143056283907,1.0172143056283907,4.0
cliffwalking-D8-H8-R0.7,cliffwalking,8,8,0.7,True,7.412757399339299,2.5249403091612352,7.2079696865477825,2.9358149071657684,1.0284112894056299,1.0
cliffwalking-D8-H8-R0.9,cliffwalking,8,8,0.9,True,4.710988511173112,2.2231671340721757,4.432920711540042,2.1190437907131137,1.0627278983152546,1.0
cliffwalking-D8-H8-R1,cliffwalking,8,8,1.0,True,3.8173166083908154,6.005406110827805,3.7619800518205113,0.6356467053090975,1.0147094231782343,1.0
frozenlake8x8-D0-H32-R0,frozenlake8x8,0,32,0.0,False,2.1865132914061117e-05,2.360464561400321e-05,2.360464561400321e-05,0.9263063412013207,0.9263063412013207,16.0
frozenlake8x8-D0-H32-R0.1,frozenlake8x8,0,32,0.1,False,0.00016562148686120147,0.00016080486366386166,0.00016080486366386166,1.0299532183765798,1.0299532183765798,16.0
