seed,rho,delay,num_agents,updates,teacher_mse,maximum_loss,finite
20270705,0.25,8,32,666,0.0140621764585375,3.0897107124328613,True
20270705,0.5,0,1,984,0.2715098261833191,6.295945167541504,True
20270705,0.5,0,4,941,0.0185145661234855,5.700818061828613,True
20270705,0.5,0,16,800,0.2180145382881164,5.75104284286499,True
20270705,0.5,0,32,666,0.0155110480263829,4.943624973297119,True
20270705,0.5,8,1,984,0.246155172586441,6.403594017028809,True
20270705,0.5,8,4,941,0.0434262976050376,5.596413612365723,True
20270705,0.5,8,16,800,0.1698133200407028,5.666858196258545,True
20270705,0.5,8,32,666,0.0301356799900531,4.884063720703125,True
20270705,0.9,0,1,984,0.1655493825674057,5.979212284088135,True
20270705,0.9,0,4,941,0.037447415292263,7.565684795379639,True
20270705,0.9,0,16,800,0.3770491778850555,7.593177318572998,True
20270705,0.9,0,32,666,0.0295099578797817,7.376683235168457,True
20270705,0.9,8,1,984,0.2342588305473327,5.917226791381836,True
20270705,0.9,8,4,941,0.1069851890206337,7.440510272979736,True
20270705,0.9,8,16,800,0.3237650394439697,7.446423053741455,True
20270705,0.9,8,32,666,0.0432310663163661,7.245876789093018,True
20270706,0.0,0,1,984,0.2390124350786209,5.585423946380615,True
20270706,0.0,0,4,941,0.1248865872621536,2.267258405685425,True
20270706,0.0,0,16,800,0.0877486988902092,1.2398319244384766,True
20270706,0.0,0,32,666,0.0056457268074154,0.9333372116088868,True
20270706,0.0,8,1,984,0.2644186019897461,5.549560546875,True
20270706,0.0,8,4,941,0.0670067965984344,2.2545228004455566,True
20270706,0.0,8,16,800,0.0941825360059738,1.2470128536224363,True
20270706,0.0,8,32,666,0.0064735813066363,0.9353844523429872,True
20270706,0.25,0,1,984,0.4935821294784546,6.518547534942627,True
20270706,0.25,0,4,941,0.1368949711322784,3.194915294647217,True
20270706,0.25,0,16,800,0.089318074285984,2.6765401363372803,True
20270706,0.25,0,32,666,0.0525687634944915,3.2435061931610107,True
20270706,0.25,8,1,984,0.6943007707595825,6.491706371307373,True
20270706,0.25,8,4,941,0.1257809698581695,3.143099784851074,True
20270706,0.25,8,16,800,0.0731281712651252,2.7048964500427246,True
20270706,0.25,8,32,666,0.1072173342108726,3.233683824539185,True
20270706,0.5,0,1,984,0.3027270138263702,6.518547534942627,True
20270706,0.5,0,4,941,0.1428819894790649,3.9313888549804688,True
20270706,0.5,0,16,800,0.0859631821513176,4.18568229675293,True
20270706,0.5,0,32,666,0.0380135998129844,5.000463962554932,True
20270706,0.5,8,1,984,0.4976453781127929,6.491706371307373,True
20270706,0.5,8,4,941,0.1686691790819168,3.881782770156861,True
20270706,0.5,8,16,800,0.0732821971178054,4.171099662780762,True
20270706,0.5,8,32,666,0.1136248260736465,4.990056037902832,True
20270706,0.9,0,1,984,0.1844972372055053,6.518547534942627,True
20270706,0.9,0,4,941,0.1146929040551185,6.518547534942627,True
20270706,0.9,0,16,800,0.0889339223504066,6.129666328430176,True
20270706,0.9,0,32,666,0.0108652990311384,6.13068151473999,True
20270706,0.9,8,1,984,0.3756178617477417,6.491706371307373,True
20270706,0.9,8,4,941,0.13208968937397,6.491706371307373,True
20270706,0.9,8,16,800,0.0880275443196296,6.104576110839844,True
20270706,0.9,8,32,666,0.0705504864454269,6.104276657104492,True
20270707,0.0,0,1,984,0.0440885126590728,4.395222187042236,True
20270707,0.0,0,4,941,0.046830266714096,2.3137047290802,True
20270707,0.0,0,16,800,0.0525369904935359,1.247372269630432,True
20270707,0.0,0,32,666,0.0046958555467426,0.9906761646270752,True
20270707,0.0,8,1,984,0.1159405261278152,4.649768829345703,True
20270707,0.0,8,4,941,0.0293481964617967,2.3080646991729736,True
20270707,0.0,8,16,800,0.075294092297554,1.2477662563323977,True
20270707,0.0,8,32,666,0.0024025756865739,0.9931371808052064,True
20270707,0.25,0,1,984,0.1940905600786209,5.191943168640137,True
20270707,0.25,0,4,941,0.018951604142785,4.504555702209473,True
20270707,0.25,0,16,800,0.1119925081729888,4.086707592010498,True
20270707,0.25,0,32,666,0.056753009557724,3.6377694606781006,True
20270707,0.25,8,1,984,0.0995080173015594,5.337037563323975,True
20270707,0.25,8,4,941,0.019483720883727,4.611337184906006,True
20270707,0.25,8,16,800,0.1007988601922988,4.120694160461426,True
20270707,0.25,8,32,666,0.0688627958297729,3.66733455657959,True
20270707,0.5,0,1,984,0.0394673682749271,5.907851696014404,True
20270707,0.5,0,4,941,0.0360756628215312,5.631504535675049,True
20270707,0.5,0,16,800,0.1139624640345573,4.816631317138672,True
20270707,0.5,0,32,666,0.1360106617212295,4.542139053344727,True
20270707,0.5,8,1,984,0.0289932452142238,6.132826328277588,True
20270707,0.5,8,4,941,0.0590297020971775,5.5893635749816895,True
20270707,0.5,8,16,800,0.1057716533541679,4.9218573570251465,True
20270707,0.5,8,32,666,0.1461050361394882,4.602114677429199,True
20270707,0.9,0,1,984,0.0225670021027326,6.036940574645996,True
20270707,0.9,0,4,941,0.0313729606568813,5.808659076690674,True
20270707,0.9,0,16,800,0.1813147366046905,5.602201461791992,True
20270707,0.9,0,32,666,0.2240475118160247,5.905556678771973,True
20270707,0.9,8,1,984,0.0287284553050994,6.246023654937744,True
20270707,0.9,8,4,941,0.0407184213399887,6.009032726287842,True
20270707,0.9,8,16,800,0.1650460213422775,5.712542533874512,True
20270707,0.9,8,32,666,0.2151319682598114,6.096405506134033,True
20270708,0.0,0,1,984,0.1728184521198272,6.471635818481445,True
20270708,0.0,0,4,941,0.1647613793611526,2.7683441638946533,True
20270708,0.0,0,16,800,0.0570931434631347,1.3689383268356323,True
20270708,0.0,0,32,666,0.0291043892502784,1.028102159500122,True
20270708,0.0,8,1,984,0.0753357410430908,6.459651470184326,True
20270708,0.0,8,4,941,0.2271051555871963,2.7928757667541504,True
20270708,0.0,8,16,800,0.0813746899366378,1.3702198266983032,True
20270708,0.0,8,32,666,0.0327639169991016,1.0237095355987549,True
20270708,0.25,0,1,984,0.0943784937262535,5.589366436004639,True
20270708,0.25,0,4,941,0.0774630010128021,4.770104885101318,True
20270708,0.25,0,16,800,0.0687738507986068,2.7317397594451904,True
20270708,0.25,0,32,666,0.1405743062496185,3.9488277435302734,True
