cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_continuous_auc,mean_strong_static_auc,continuous_to_static_ratio
Falternating-H0.3-I0.5-N0.1-S0-T0.9-D3,alternating,0.3,0.5,0.1,0.0,0.9,3,0.0481598826710766,0.04911401123378294,0.9805731900380793
Falternating-H0.3-I0.5-N0.1-S0.9-T0-D0,alternating,0.3,0.5,0.1,0.9,0.0,0,0.015011789809350098,0.02399559399215315,0.6256060931127246
Falternating-H0.3-I0.5-N0.1-S0.9-T0-D1,alternating,0.3,0.5,0.1,0.9,0.0,1,0.014674061124919691,0.022619623046590223,0.648731461823884
Falternating-H0.3-I0.5-N0.1-S0.9-T0-D3,alternating,0.3,0.5,0.1,0.9,0.0,3,0.015124933393998265,0.021794537412037775,0.6939781793966552
Falternating-H0.3-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.3,0.5,0.1,0.9,0.9,0,0.04895741617348117,0.0529810248359101,0.9240556656861465
Falternating-H0.3-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.3,0.5,0.1,0.9,0.9,1,0.04368110873201678,0.04467309767084286,0.9777944895127894
Falternating-H0.3-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.3,0.5,0.1,0.9,0.9,3,0.04462141522446829,0.04398302023781532,1.0145145781986133
Falternating-H0.3-I0.5-N0.5-S0-T0-D0,alternating,0.3,0.5,0.5,0.0,0.0,0,0.02700672496198054,0.03261380752125141,0.8280764196079451
Falternating-H0.3-I0.5-N0.5-S0-T0-D1,alternating,0.3,0.5,0.5,0.0,0.0,1,0.028749584506020123,0.030886890247856475,0.930802171255014
Falternating-H0.3-I0.5-N0.5-S0-T0-D3,alternating,0.3,0.5,0.5,0.0,0.0,3,0.028446604789873355,0.029335369714110993,0.9697032990243815
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D0,alternating,0.3,0.5,0.5,0.0,0.9,0,0.15762976417180868,0.1193630414987554,1.3205910488922343
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D1,alternating,0.3,0.5,0.5,0.0,0.9,1,0.1581559248475698,0.13586581582733953,1.1640597297009345
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D3,alternating,0.3,0.5,0.5,0.0,0.9,3,0.16991619662024793,0.1439502093535197,1.1803817263159355
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D0,alternating,0.3,0.5,0.5,0.9,0.0,0,0.02869673221386293,0.03199543436668381,0.8969008479454884
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D1,alternating,0.3,0.5,0.5,0.9,0.0,1,0.02779868136966194,0.029994392939561108,0.9267959323489713
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D3,alternating,0.3,0.5,0.5,0.9,0.0,3,0.026045910467807853,0.02809071123623119,0.9272072269289512
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.3,0.5,0.5,0.9,0.9,0,0.15870718249642182,0.14547928223758017,1.0909263508548204
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D1,alternating,0.3,0.5,0.5,0.9,0.9,1,0.15548659991001829,0.15082823548885663,1.0308852278624305
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.3,0.5,0.5,0.9,0.9,3,0.13021546511103574,0.11439272836656089,1.1383194279077982
Falternating-H0.3-I1.5-N0.1-S0-T0-D0,alternating,0.3,1.5,0.1,0.0,0.0,0,0.07669978254289021,0.08680898251184714,0.8835466137668727
