cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,continuous_auc,continuous_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,qp_iterations,mean_iterations_per_recipient_decision,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,3736052005,0.03343522189770256,0.034775378623244584,0.0197908060042586,240,0,30,12,945,39.375,0.00996641647269606,0.05519652654363018,0.7916666666666666,0.20833333333333334
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,2446090982,0.02087391952673678,0.021033344595832656,0.00622972314368939,240,0,30,12,809,33.708333333333336,0.013838243757991234,0.07863241760942312,0.9583333333333334,0.041666666666666664
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,2759634938,0.011469950907842438,0.011435709420727455,0.0036892747714945646,240,0,30,11,607,25.291666666666668,0.02012451845500079,0.0683646762757617,0.9166666666666666,0.08333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,1796341307,0.01963917582077012,0.020070031604653208,0.00139003246422358,240,0,30,12,771,32.125,0.003767128712910636,0.02404637568776021,0.7083333333333334,0.25
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,702779833,0.017958378663614428,0.017960224377373723,0.008052689589980466,240,0,30,12,526,21.916666666666668,0.05318899386952464,0.14641864690275125,0.9166666666666666,0.08333333333333333
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,3081155260,0.013193640092136779,0.013193640092136779,0.0013284243417714264,240,0,30,12,847,35.291666666666664,0.022449620178991922,0.06139269843770257,1.0,0.0
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,3689771675,0.017145387251330555,0.018267863648912197,0.01603458916096073,240,0,30,11,721,30.041666666666668,0.0026670101227485236,0.01096379609081211,0.8333333333333334,0.16666666666666666
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,1151854685,0.015820387611221478,0.01628932964149767,0.0012056027342564877,240,0,30,11,762,31.75,0.02172312693513335,0.10706282383831514,0.8333333333333334,0.16666666666666666
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,2094958580,0.023380004723719195,0.023778813409413558,0.0020416349459311026,240,0,30,11,575,23.958333333333332,0.04021930750611258,0.21767773554643127,0.9166666666666666,0.041666666666666664
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,1636281357,0.015331769497471864,0.01635854640964055,0.0041532811720912345,240,0,30,11,530,22.083333333333332,0.019992501522553215,0.07873335025431767,0.75,0.25
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D1,alternating,0.1,0.5,0.5,0.9,0.0,1,830070239,0.02159031196484462,0.021324491812274225,0.0010121583164757568,240,0,30,12,783,32.625,0.017450613675943718,0.05684894758637244,0.875,0.125
