coupling,method,training_seed,budget_fraction,team_return,win_rate
shared,fixed_q8,81102,0.05,9.146162787631818,0.03125
shared,fixed_q8,81102,0.1,9.376560706698749,0.05208333333333334
shared,fixed_q8,81102,0.15000000000000002,9.837356544832613,0.09375000000000003
shared,fixed_q8,81102,0.2,10.352191256282516,0.13541666666666669
shared,fixed_q8,81102,0.25,10.662761019698339,0.13541666666666666
shared,fixed_q8,81102,0.30000000000000004,10.769065835080081,0.09375000000000004
shared,fixed_q8,81102,0.35000000000000003,10.957616384760792,0.13541666666666669
shared,fixed_q8,81102,0.4,11.009973179824076,0.14457070707070707
shared,fixed_q8,81102,0.45,10.926136220269937,0.12121212121212122
shared,fixed_q8,81102,0.5,12.167547219053255,0.29040404040404033
shared,fixed_q8,81102,0.55,12.561324394869972,0.30208333333333326
shared,fixed_q8,81102,0.6000000000000001,12.107467747720088,0.15625000000000006
shared,fixed_q8,81102,0.65,11.207240705787822,0.17708333333333334
shared,fixed_q8,81102,0.7000000000000001,11.154944918119234,0.19791666666666669
shared,fixed_q8,81102,0.75,11.950580384714325,0.21875
shared,fixed_q8,81102,0.8,11.891410601791327,0.26041666666666674
shared,fixed_q8,81102,0.8500000000000001,12.091974518553737,0.29166666666666674
shared,fixed_q8,81102,0.9,12.552272135001557,0.3125
shared,fixed_q8,81102,0.9500000000000001,12.631769492917925,0.29166666666666663
shared,fixed_q8,81102,1.0,12.671518171876109,0.28125
