persistence,rho,delay,seed,policy,pilot_stays,persistence_upper,certificate_covered,gap,delta_upper,num_agents,eta,theorem_contraction,updates,risk_surrogate,exact_radius,exact_residual,expected_final_error,used_persistence,final_error,maximum_error,diverged
0.98,0.9,0,91,oracle_q1,-1,0.98,True,47,0.07340370094697085,1,0.037995707148039806,0.9793672182288734,357,0.0033843488905090317,0.9552169368023165,1.1102230246251565e-16,0.00128743635065237,0.5734037009469708,0.0031281934294794035,1.0,False
0.98,0.9,0,91,oracle_q32,-1,0.98,True,47,0.07340370094697085,32,0.058320106652688775,0.9719062778345725,229,0.005839057274835302,0.935133771107723,1.1102230246251565e-16,0.0018871632185368317,0.5734037009469708,0.00013818080550266702,1.0,False
0.98,0.9,0,92,online_ucb,2003,0.9848746370307765,True,63,0.07219650661976132,2,0.053652197461940984,0.9728499954180082,245,0.005207180027555825,0.9381058987409139,1.1102230246251568e-16,0.0017648804318899556,0.5381995006541467,0.006541097036414786,1.0,False
0.98,0.9,0,92,oracle,-1,0.98,True,47,0.07340370094697085,2,0.03896610202907855,0.9789147336646126,350,0.0033127646524471845,0.9541577820252294,1.1102230246251565e-16,0.0012565058520472361,0.5734037009469708,3.3043458348248363e-06,1.0,False
0.98,0.9,0,92,iid_naive,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9968108607602348,1.1102230246251565e-16,0.0018129182429336285,0.98,0.00019107063236616152,1.0,False
0.98,0.9,0,92,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.03896610202907855,0.9789147336646126,350,0.0033127646524471845,0.9541577820252294,1.1102230246251565e-16,0.0012565058520472361,0.5734037009469708,3.3043458348248363e-06,1.0,False
0.98,0.9,0,92,oracle_q1,-1,0.98,True,47,0.07340370094697085,1,0.037995707148039806,0.9793672182288734,357,0.0033843488905090317,0.9552169368023165,1.1102230246251565e-16,0.00128743635065237,0.5734037009469708,0.00015796137920586243,1.0,False
0.98,0.9,0,92,oracle_q32,-1,0.98,True,47,0.07340370094697085,32,0.058320106652688775,0.9719062778345725,229,0.005839057274835302,0.935133771107723,1.1102230246251565e-16,0.0018871632185368317,0.5734037009469708,0.0019374599913180358,1.0,False
0.98,0.9,0,93,online_ucb,2007,0.986488592262657,True,70,0.07347776933131908,2,0.05909334315435173,0.9718167823913009,224,0.006363770767955473,0.9323307885938502,1.5700924586837754e-16,0.0019586170883087646,0.5287049184315495,5.189145990380823e-06,1.0,False
0.98,0.9,0,93,oracle,-1,0.98,True,47,0.07340370094697085,2,0.03896610202907855,0.9789147336646126,350,0.0033127646524471845,0.9541577820252294,1.1102230246251565e-16,0.0012565058520472361,0.5734037009469708,0.001366515076316249,1.0,False
0.98,0.9,0,93,iid_naive,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9968108607602348,1.1102230246251565e-16,0.0018129182429336285,0.98,1.396327945877959e-06,1.0,False
0.98,0.9,0,93,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.03896610202907855,0.9789147336646126,350,0.0033127646524471845,0.9541577820252294,1.1102230246251565e-16,0.0012565058520472361,0.5734037009469708,0.001366515076316249,1.0,False
0.98,0.9,0,93,oracle_q1,-1,0.98,True,47,0.07340370094697085,1,0.037995707148039806,0.9793672182288734,357,0.0033843488905090317,0.9552169368023165,1.1102230246251565e-16,0.00128743635065237,0.5734037009469708,0.0037577957751998153,1.0,False
0.98,0.9,0,93,oracle_q32,-1,0.98,True,47,0.07340370094697085,32,0.058320106652688775,0.9719062778345725,229,0.005839057274835302,0.935133771107723,1.1102230246251565e-16,0.0018871632185368317,0.5734037009469708,1.786330044310687e-07,1.0,False
0.98,0.9,0,94,online_ucb,2010,0.987687462581975,True,77,0.07331319941706028,2,0.0635401009426862,0.9704891275676839,206,0.007288406825848856,0.9276628284538324,1.5700924586837752e-16,0.00211880180128139,0.5215702385646883,0.015895791848600994,1.1275571757901917,False
0.98,0.9,0,94,oracle,-1,0.98,True,47,0.07340370094697085,2,0.03896610202907855,0.9789147336646126,350,0.0033127646524471845,0.9541577820252294,1.1102230246251565e-16,0.0012565058520472361,0.5734037009469708,0.0021547060102125497,1.0773169800184403,False
0.98,0.9,0,94,iid_naive,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9968108607602348,1.1102230246251565e-16,0.0018129182429336285,0.98,0.0009331817254957796,1.198684322981435,False
0.98,0.9,0,94,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.03896610202907855,0.9789147336646126,350,0.0033127646524471845,0.9541577820252294,1.1102230246251565e-16,0.0012565058520472361,0.5734037009469708,0.0021547060102125497,1.0773169800184403,False
0.98,0.9,0,94,oracle_q1,-1,0.98,True,47,0.07340370094697085,1,0.037995707148039806,0.9793672182288734,357,0.0033843488905090317,0.9552169368023165,1.1102230246251565e-16,0.00128743635065237,0.5734037009469708,8.942401048156234e-05,1.0757120503980138,False
0.98,0.9,0,94,oracle_q32,-1,0.98,True,47,0.07340370094697085,32,0.058320106652688775,0.9719062778345725,229,0.005839057274835302,0.935133771107723,1.1102230246251565e-16,0.0018871632185368317,0.5734037009469708,7.424785435452675e-05,1.143350331997022,False
0.98,0.9,0,95,online_ucb,2003,0.9848746370307765,True,63,0.07219650661976132,2,0.053652197461940984,0.9728499954180082,245,0.005207180027555825,0.9381058987409139,1.1102230246251568e-16,0.0017648804318899556,0.5381995006541467,0.002107763194579683,1.078776108946045,False
0.98,0.9,0,95,oracle,-1,0.98,True,47,0.07340370094697085,2,0.03896610202907855,0.9789147336646126,350,0.0033127646524471845,0.9541577820252294,1.1102230246251565e-16,0.0012565058520472361,0.5734037009469708,0.0004993895390570201,1.056916059499817,False
0.98,0.9,0,95,iid_naive,-1,0.5,True,1,0.0,1,0.004348850699777914,0.9943498045705017,2000,0.00014586722226623574,0.9968108607602348,1.1102230246251565e-16,0.0018129182429336285,0.98,2.5557465760660972e-05,1.0747461390825748,False
0.98,0.9,0,95,worst_mixing,-1,0.98,True,47,0.07340370094697085,2,0.03896610202907855,0.9789147336646126,350,0.0033127646524471845,0.9541577820252294,1.1102230246251565e-16,0.0012565058520472361,0.5734037009469708,0.0004993895390570201,1.056916059499817,False
0.98,0.9,0,95,oracle_q1,-1,0.98,True,47,0.07340370094697085,1,0.037995707148039806,0.9793672182288734,357,0.0033843488905090317,0.9552169368023165,1.1102230246251565e-16,0.00128743635065237,0.5734037009469708,0.0024072644015909707,1.1490942275246174,False
0.98,0.9,0,95,oracle_q32,-1,0.98,True,47,0.07340370094697085,32,0.058320106652688775,0.9719062778345725,229,0.005839057274835302,0.935133771107723,1.1102230246251565e-16,0.0018871632185368317,0.5734037009469708,0.0009757106779912741,1.0825973558132753,False
0.98,0.9,0,96,online_ucb,2020,0.9915936663966265,True,113,0.07359851094693716,2,0.08280195018741945,0.9668001015710733,145,0.015326028457565706,0.9086741667584224,1.1102230246251565e-16,0.002852614066027971,0.5049615724546095,7.872913601191759e-07,1.2855052599702264,False
