seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260831,1,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260831,1,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260831,1,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260832,2,independent,4,lyapunov_state_adaptive,15950,7562,768,2097,True,True
20260832,2,independent,4,raw_state_adaptive,15916,9540,768,1594,True,True
20260832,2,independent,4,correlation_only_adaptive,15946,7054,768,2223,True,True
20260832,2,independent,4,state_oracle,15840,14080,0,440,True,True
20260832,2,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260832,2,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260832,2,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260832,2,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260832,2,global_08,4,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260832,2,global_08,4,raw_state_adaptive,15940,4836,768,2776,True,True
20260832,2,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260832,2,global_08,4,state_oracle,15900,10000,0,1475,True,True
20260832,2,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260832,2,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260832,2,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260832,2,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260832,2,clustered_08,4,lyapunov_state_adaptive,16000,8128,768,1968,True,True
20260832,2,clustered_08,4,raw_state_adaptive,16000,8128,768,1968,True,True
20260832,2,clustered_08,4,correlation_only_adaptive,15998,7810,768,2047,True,True
20260832,2,clustered_08,4,state_oracle,15860,13320,0,635,True,True
20260832,2,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260832,2,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260832,2,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260832,2,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260832,2,balanced_08,4,lyapunov_state_adaptive,15974,4378,768,2899,True,True
20260832,2,balanced_08,4,raw_state_adaptive,15984,5648,768,2584,True,True
20260832,2,balanced_08,4,correlation_only_adaptive,15976,4632,768,2836,True,True
20260832,2,balanced_08,4,state_oracle,15860,12720,0,785,True,True
