cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,best_static_graph,best_static_auc,best_static_terminal,dynamic_auc,dynamic_terminal,dynamic_to_static_auc_ratio,dynamic_to_static_terminal_ratio,charged_shadow_auc,checkpoint_safe,selected_actions,action_change_count,environment_used,message_used
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D3,alternating,0.3,1.5,0.1,0.9,0.0,3,"[0,0,0,0]",0.09040761950192223,0.0022837784088213394,0.09423757545502794,0.001970595522308039,1.0423631987459228,0.8628663423283109,0.10667664600905474,True,"[[0,0,0,0],[0,0,0,0],[0,6,4,0],[0,5,1,0],[3,2,4,3],[1,1,5,5]]",4,240,16
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.3,1.5,0.1,0.9,0.9,0,"[0,0,3,3]",0.09896339527635327,0.01818952725884963,0.0946974600387625,0.014527020540706552,0.9568938067890838,0.7986475038068303,0.11835620508779793,True,"[[1,1,2,2],[1,1,1,1],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D1,alternating,0.3,1.5,0.1,0.9,0.9,1,"[0,0,0,0]",0.10262616817978616,0.014919365936607362,0.103643697276714,0.014423926270932363,1.0099149087895913,0.9667921768404817,0.11835620508779793,True,"[[0,0,0,0],[0,0,1,1],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.3,1.5,0.1,0.9,0.9,3,"[0,0,0,0]",0.10262616817978616,0.014919365936607362,0.10507456174011158,0.014124154082284018,1.0238574001519396,0.9466993531962274,0.11835620508779793,True,"[[0,0,0,0],[0,0,0,0],[0,3,2,0],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",4,240,16
Falternating-H0.3-I1.5-N0.5-S0-T0-D0,alternating,0.3,1.5,0.5,0.0,0.0,0,"[0,0,3,3]",0.09377662375347647,0.01353048971579528,0.08983973970743253,0.009782470228376368,0.9580184923655028,0.7229945429806924,0.11452044301202909,True,"[[1,1,2,2],[1,1,1,1],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.5-S0-T0-D1,alternating,0.3,1.5,0.5,0.0,0.0,1,"[0,0,0,0]",0.09830145538295777,0.010447043689705733,0.09891693888528406,0.009769105261574046,1.0062611840275255,0.9351071510498504,0.11452044301202909,True,"[[0,0,0,0],[0,0,1,1],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I1.5-N0.5-S0-T0-D3,alternating,0.3,1.5,0.5,0.0,0.0,3,"[0,0,0,0]",0.09830145538295777,0.010447043689705733,0.10117935101970198,0.009750671115851187,1.029276226130454,0.93334261877925,0.11452044301202909,True,"[[0,0,0,0],[0,0,0,0],[0,3,4,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",4,240,16
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D0,alternating,0.3,1.5,0.5,0.0,0.9,0,"[1,1,3,3]",0.14558919939863554,0.07422035832179016,0.13989608965050895,0.07002018394333041,0.9608960707824323,0.9434094031148509,0.17291823840574513,True,"[[1,1,2,2],[1,1,1,1],[1,6,2,5],[3,5,1,3],[3,2,6,3],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D1,alternating,0.3,1.5,0.5,0.0,0.9,1,"[0,0,0,0]",0.15939419877227742,0.07362498132863582,0.15063402158944958,0.07013984379594346,0.9450408029256868,0.9526636547840204,0.17291823840574513,True,"[[0,0,0,0],[1,1,1,1],[1,5,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D3,alternating,0.3,1.5,0.5,0.0,0.9,3,"[0,0,0,0]",0.15939419877227742,0.07362498132863582,0.1517623948615255,0.06996964043785474,0.9521199393106189,0.9503518938162452,0.17291823840574513,True,"[[0,0,0,0],[0,0,1,1],[1,3,4,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
