scenario_id,task,ray,budget,budget_index,message_budget,environment_budget,delay,rho,q,mixing_step_multiplier,step_size,updates,burn_in,averaged_count,spectral_radius,bias_risk,noise_risk,risk
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,1,0.5,0.1569692899867301,128,64,64,0.965943434766432,6.000153932888284e-07,0.043390944712201264,0.04339154472759455
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,1,1.0,0.3139385799734602,128,64,64,0.931886869532864,1.7384221791633573e-09,0.05667664466560247,0.056676646404024644
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,4,0.1,0.03139385799734602,64,32,32,0.9931886869532864,0.00016793123183951025,0.0020873720393120043,0.0022553032711515146
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,4,0.25,0.07848464499336505,64,32,32,0.982971717383216,6.290635735010034e-05,0.008246568904870107,0.008309475262220208
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,4,0.5,0.1569692899867301,64,32,32,0.965943434766432,1.2463506391502902e-05,0.017488346528321274,0.017500810034712776
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,4,1.0,0.3139385799734602,64,32,32,0.931886869532864,5.206474098384679e-07,0.028033981066499333,0.02803450171390917
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,16,0.1,0.03139385799734602,21,10,11,0.9931886869532864,0.0002609401537889277,0.0003745009513863473,0.000635441105175275
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,16,0.25,0.07848464499336505,21,10,11,0.982971717383216,0.0001878949074898075,0.0019949082557574518,0.002182803163247259
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,16,0.5,0.1569692899867301,21,10,11,0.965943434766432,0.00010838863260080549,0.006190193045119081,0.006298581677719886
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,16,1.0,0.3139385799734602,21,10,11,0.931886869532864,3.568188922890288e-05,0.015603512560795639,0.01563919445002454
